"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-431-6.local",,,,"User:","a57779"
"Cmdline:","dstat -cdm --output cg.B.16.csv",,,,"Date:","27 Feb 2016 22:52:10 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
0.639,0.092,99.263,0.005,0.000,0.001,4430.396,3453.660,736780288.0,127488000.0,510382080.0,49366343680.0
44.245,8.465,47.081,0.042,0.0,0.167,0.0,0.0,1355264000.0,127488000.0,520310784.0,48737931264.0
66.597,0.083,33.236,0.083,0.0,0.0,0.0,32768.0,1354903552.0,127496192.0,520269824.0,48738324480.0
66.611,0.083,33.222,0.083,0.0,0.0,0.0,139264.0,1354903552.0,127508480.0,520257536.0,48738324480.0
66.611,0.083,33.306,0.0,0.0,0.0,0.0,0.0,1352921088.0,127508480.0,520278016.0,48740286464.0
66.625,0.083,33.292,0.0,0.0,0.0,0.0,0.0,1352540160.0,127508480.0,520278016.0,48740667392.0
66.625,0.083,33.292,0.0,0.0,0.0,0.0,0.0,1352540160.0,127508480.0,520278016.0,48740667392.0
66.569,0.167,33.264,0.0,0.0,0.0,0.0,0.0,1350959104.0,127508480.0,520278016.0,48742248448.0
66.639,0.125,33.236,0.0,0.0,0.0,0.0,0.0,1350062080.0,127508480.0,520278016.0,48743145472.0
66.528,0.167,33.306,0.0,0.0,0.0,0.0,0.0,1349963776.0,127508480.0,520278016.0,48743243776.0
66.597,0.125,33.278,0.0,0.0,0.0,0.0,0.0,1348685824.0,127508480.0,520278016.0,48744521728.0
66.653,0.083,33.264,0.0,0.0,0.0,0.0,0.0,1348124672.0,127508480.0,520278016.0,48745082880.0
66.681,0.125,33.194,0.0,0.0,0.0,0.0,0.0,1347895296.0,127508480.0,520278016.0,48745312256.0
66.681,0.042,33.278,0.0,0.0,0.0,0.0,0.0,1346842624.0,127508480.0,520278016.0,48746364928.0
66.597,0.125,33.278,0.0,0.0,0.0,0.0,147456.0,1345982464.0,127508480.0,520278016.0,48747225088.0
66.625,0.083,33.292,0.0,0.0,0.0,0.0,0.0,1345728512.0,127508480.0,520278016.0,48747479040.0
66.555,0.167,33.278,0.0,0.0,0.0,0.0,0.0,1344581632.0,127508480.0,520278016.0,48748625920.0
66.583,0.083,33.333,0.0,0.0,0.0,0.0,0.0,1344438272.0,127508480.0,520278016.0,48748769280.0
66.583,0.125,33.292,0.0,0.0,0.0,0.0,0.0,1344045056.0,127508480.0,520282112.0,48749158400.0
62.312,0.292,37.270,0.083,0.0,0.042,0.0,24576.0,1304444928.0,127516672.0,510255104.0,48798777344.0
