"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-431-6.local",,,,"User:","a57779"
"Cmdline:","dstat -cdm --output is.C.32.csv",,,,"Date:","27 Feb 2016 22:57:01 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
0.765,0.130,99.099,0.005,0.000,0.001,4420.153,3902.399,739295232.0,127946752.0,511070208.0,49362681856.0
51.965,11.371,36.497,0.0,0.0,0.167,0.0,0.0,1303711744.0,127946752.0,525762560.0,48783572992.0
47.355,43.648,8.163,0.0,0.0,0.833,0.0,0.0,2014949376.0,127946752.0,525770752.0,48072327168.0
36.587,58.031,4.130,0.0,0.0,1.252,0.0,0.0,2137280512.0,127946752.0,525770752.0,47949996032.0
36.375,58.167,4.167,0.0,0.0,1.292,0.0,151552.0,2136391680.0,127946752.0,525770752.0,47950884864.0
36.333,58.333,4.167,0.0,0.0,1.167,0.0,0.0,2136461312.0,127946752.0,525770752.0,47950815232.0
36.140,58.691,4.127,0.0,0.0,1.042,0.0,200704.0,2134929408.0,127963136.0,525762560.0,47952338944.0
35.973,58.483,4.168,0.0,0.0,1.376,0.0,0.0,2133889024.0,127963136.0,525770752.0,47953371136.0
35.750,59.0,4.167,0.0,0.0,1.083,0.0,0.0,2134016000.0,127963136.0,525770752.0,47953244160.0
32.250,62.458,4.167,0.0,0.0,1.125,0.0,0.0,2134339584.0,127963136.0,525770752.0,47952920576.0
36.155,58.549,4.128,0.0,0.0,1.168,0.0,0.0,2132180992.0,127963136.0,525770752.0,47955079168.0
35.890,58.900,4.168,0.0,0.0,1.042,0.0,12288.0,2130903040.0,127971328.0,525770752.0,47956348928.0
36.250,58.458,4.167,0.0,0.0,1.125,0.0,0.0,2130903040.0,127971328.0,525770752.0,47956348928.0
36.390,58.358,4.127,0.0,0.0,1.125,0.0,0.0,2128838656.0,127971328.0,525770752.0,47958413312.0
