"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-431-6.local",,,,"User:","a57779"
"Cmdline:","dstat -cdm --output ep.B.8.csv",,,,"Date:","27 Feb 2016 22:50:59 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
0.624,0.092,99.278,0.005,0.000,0.001,4432.896,3424.977,720728064.0,127352832.0,510164992.0,49382748160.0
23.885,4.043,71.905,0.125,0.0,0.042,0.0,118784.0,749592576.0,127373312.0,515227648.0,49348800512.0
33.347,0.0,66.611,0.0,0.0,0.042,0.0,0.0,749592576.0,127373312.0,515227648.0,49348800512.0
33.347,0.042,66.611,0.0,0.0,0.0,0.0,0.0,749355008.0,127373312.0,515227648.0,49349038080.0
33.361,0.0,66.639,0.0,0.0,0.0,0.0,0.0,748085248.0,127373312.0,515227648.0,49350307840.0
33.347,0.042,66.611,0.0,0.0,0.0,0.0,0.0,748052480.0,127373312.0,515227648.0,49350340608.0
33.361,0.0,66.472,0.167,0.0,0.0,0.0,102400.0,747970560.0,127389696.0,515223552.0,49350410240.0
33.361,0.042,66.597,0.0,0.0,0.0,0.0,0.0,746315776.0,127389696.0,515227648.0,49352060928.0
33.333,0.042,66.625,0.0,0.0,0.0,0.0,0.0,746291200.0,127389696.0,515227648.0,49352085504.0
33.375,0.0,66.625,0.0,0.0,0.0,0.0,0.0,746123264.0,127389696.0,515227648.0,49352253440.0
33.361,0.0,66.639,0.0,0.0,0.0,0.0,0.0,745295872.0,127389696.0,515227648.0,49353080832.0
