"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-641-14.local",,,,"User:","a57779"
"Cmdline:","dstat -cdm --output cg.C.8.csv",,,,"Date:","28 Feb 2016 04:33:47 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
45.353,3.659,50.959,0.023,0.000,0.007,163915.535,608280.759,851693568.0,60649472.0,418402304.0,66327879680.0
17.0,3.469,79.469,0.0,0.0,0.062,0.0,0.0,2077618176.0,60649472.0,423751680.0,65096605696.0
25.023,0.031,74.945,0.0,0.0,0.0,0.0,0.0,2079055872.0,60649472.0,423481344.0,65095438336.0
25.016,0.031,74.953,0.0,0.0,0.0,0.0,0.0,2079428608.0,60649472.0,423481344.0,65095065600.0
25.008,0.094,74.898,0.0,0.0,0.0,0.0,110592.0,2078961664.0,60661760.0,423469056.0,65095532544.0
25.023,0.031,74.945,0.0,0.0,0.0,0.0,0.0,2078072832.0,60661760.0,423469056.0,65096421376.0
25.008,0.063,74.930,0.0,0.0,0.0,0.0,40960.0,2078056448.0,60669952.0,423477248.0,65096421376.0
25.023,0.031,74.945,0.0,0.0,0.0,0.0,0.0,2077671424.0,60669952.0,423481344.0,65096802304.0
25.0,0.062,74.938,0.0,0.0,0.0,0.0,0.0,2076200960.0,60669952.0,423481344.0,65098272768.0
25.047,0.031,74.922,0.0,0.0,0.0,0.0,0.0,2075672576.0,60669952.0,423481344.0,65098801152.0
25.016,0.094,74.891,0.0,0.0,0.0,0.0,0.0,2075291648.0,60669952.0,423481344.0,65099182080.0
25.016,0.063,74.922,0.0,0.0,0.0,0.0,0.0,2074529792.0,60669952.0,423481344.0,65099943936.0
25.016,0.031,74.953,0.0,0.0,0.0,0.0,0.0,2074394624.0,60669952.0,423481344.0,65100079104.0
25.047,0.094,74.859,0.0,0.0,0.0,0.0,20480.0,2074075136.0,60678144.0,423477248.0,65100394496.0
25.023,0.063,74.914,0.0,0.0,0.0,0.0,0.0,2073178112.0,60678144.0,423481344.0,65101287424.0
25.016,0.063,74.922,0.0,0.0,0.0,0.0,0.0,2072924160.0,60678144.0,423481344.0,65101541376.0
25.016,0.031,74.953,0.0,0.0,0.0,0.0,0.0,2072719360.0,60678144.0,423481344.0,65101746176.0
25.016,0.063,74.922,0.0,0.0,0.0,0.0,0.0,2072338432.0,60678144.0,423481344.0,65102127104.0
25.008,0.094,74.898,0.0,0.0,0.0,0.0,0.0,2072338432.0,60678144.0,423481344.0,65102127104.0
25.023,0.063,74.914,0.0,0.0,0.0,0.0,20480.0,2072211456.0,60678144.0,423481344.0,65102254080.0
25.008,0.125,74.867,0.0,0.0,0.0,0.0,0.0,2071900160.0,60678144.0,423481344.0,65102565376.0
25.016,0.063,74.922,0.0,0.0,0.0,0.0,0.0,2071502848.0,60678144.0,423481344.0,65102962688.0
25.016,0.031,74.953,0.0,0.0,0.0,0.0,0.0,2071375872.0,60678144.0,423481344.0,65103089664.0
25.008,0.063,74.930,0.0,0.0,0.0,0.0,0.0,2071375872.0,60678144.0,423481344.0,65103089664.0
25.016,0.063,74.922,0.0,0.0,0.0,0.0,245760.0,2071502848.0,60686336.0,423473152.0,65102962688.0
25.016,0.063,74.922,0.0,0.0,0.0,0.0,0.0,2071367680.0,60686336.0,423481344.0,65103089664.0
25.008,0.063,74.930,0.0,0.0,0.0,0.0,0.0,2071113728.0,60686336.0,423481344.0,65103343616.0
25.016,0.063,74.922,0.0,0.0,0.0,0.0,0.0,2070921216.0,60686336.0,423481344.0,65103536128.0
25.031,0.062,74.875,0.0,0.0,0.031,0.0,0.0,2070913024.0,60686336.0,423481344.0,65103544320.0
25.023,0.031,74.945,0.0,0.0,0.0,0.0,0.0,2070913024.0,60686336.0,423481344.0,65103544320.0
24.992,0.094,74.914,0.0,0.0,0.0,0.0,0.0,2070913024.0,60686336.0,423481344.0,65103544320.0
25.047,0.063,74.891,0.0,0.0,0.0,0.0,0.0,2070921216.0,60686336.0,423481344.0,65103536128.0
25.0,0.031,74.969,0.0,0.0,0.0,0.0,0.0,2070679552.0,60686336.0,423485440.0,65103773696.0
25.047,0.031,74.922,0.0,0.0,0.0,0.0,0.0,2070601728.0,60686336.0,423485440.0,65103851520.0
24.984,0.094,74.891,0.031,0.0,0.0,4096.0,3858432.0,2070724608.0,60690432.0,423485440.0,65103724544.0
