"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-641-14.local",,,,"User:","a57779"
"Cmdline:","dstat -cdm --output ep.C.8.csv",,,,"Date:","28 Feb 2016 04:34:40 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
45.353,3.659,50.959,0.023,0.000,0.007,163915.201,608279.698,850829312.0,60731392.0,418533376.0,66328530944.0
16.953,2.659,80.294,0.031,0.0,0.063,0.0,49152.0,879693824.0,60739584.0,423583744.0,66294607872.0
25.008,0.031,74.961,0.0,0.0,0.0,0.0,0.0,880201728.0,60739584.0,423591936.0,66294091776.0
25.016,0.031,74.953,0.0,0.0,0.0,0.0,110592.0,880111616.0,60751872.0,423579648.0,66294181888.0
25.016,0.063,74.922,0.0,0.0,0.0,0.0,0.0,878841856.0,60751872.0,423579648.0,66295451648.0
25.016,0.094,74.891,0.0,0.0,0.0,0.0,0.0,878526464.0,60751872.0,423591936.0,66295754752.0
25.023,0.031,74.945,0.0,0.0,0.0,0.0,40960.0,877699072.0,60751872.0,423591936.0,66296582144.0
25.008,0.063,74.930,0.0,0.0,0.0,0.0,0.0,876732416.0,60751872.0,423591936.0,66297548800.0
25.023,0.063,74.914,0.0,0.0,0.0,0.0,0.0,876482560.0,60751872.0,423591936.0,66297798656.0
25.008,0.063,74.930,0.0,0.0,0.0,0.0,0.0,876101632.0,60751872.0,423591936.0,66298179584.0
25.016,0.063,74.922,0.0,0.0,0.0,0.0,0.0,875610112.0,60751872.0,423591936.0,66298671104.0
25.008,0.063,74.930,0.0,0.0,0.0,0.0,0.0,875446272.0,60751872.0,423591936.0,66298834944.0
25.016,0.063,74.922,0.0,0.0,0.0,0.0,0.0,874889216.0,60751872.0,423591936.0,66299392000.0
25.039,0.031,74.930,0.0,0.0,0.0,0.0,0.0,874287104.0,60751872.0,423591936.0,66299994112.0
25.008,0.063,74.930,0.0,0.0,0.0,0.0,0.0,874278912.0,60751872.0,423591936.0,66300002304.0
25.023,0.031,74.945,0.0,0.0,0.0,0.0,0.0,874151936.0,60751872.0,423591936.0,66300129280.0
25.008,0.063,74.930,0.0,0.0,0.0,0.0,0.0,873918464.0,60751872.0,423591936.0,66300362752.0
25.023,0.031,74.945,0.0,0.0,0.0,0.0,0.0,873893888.0,60751872.0,423591936.0,66300387328.0
25.016,0.063,74.922,0.0,0.0,0.0,0.0,0.0,873512960.0,60751872.0,423591936.0,66300768256.0
25.016,0.031,74.953,0.0,0.0,0.0,0.0,0.0,873435136.0,60751872.0,423591936.0,66300846080.0
25.023,0.031,74.945,0.0,0.0,0.0,0.0,12288.0,873295872.0,60760064.0,423587840.0,66300981248.0
25.016,0.063,74.922,0.0,0.0,0.0,0.0,147456.0,873291776.0,60760064.0,423591936.0,66300981248.0
25.023,0.031,74.945,0.0,0.0,0.0,0.0,0.0,873164800.0,60760064.0,423591936.0,66301108224.0
25.008,0.063,74.930,0.0,0.0,0.0,0.0,0.0,873164800.0,60760064.0,423591936.0,66301108224.0
25.016,0.063,74.922,0.0,0.0,0.0,0.0,0.0,873037824.0,60760064.0,423591936.0,66301235200.0
25.016,0.063,74.922,0.0,0.0,0.0,0.0,0.0,873037824.0,60760064.0,423591936.0,66301235200.0
25.016,0.031,74.953,0.0,0.0,0.0,0.0,0.0,873037824.0,60760064.0,423591936.0,66301235200.0
25.031,0.031,74.937,0.0,0.0,0.0,0.0,12288.0,873037824.0,60768256.0,423583744.0,66301235200.0
25.008,0.063,74.930,0.0,0.0,0.0,0.0,0.0,872910848.0,60768256.0,423583744.0,66301362176.0
25.016,0.031,74.953,0.0,0.0,0.0,0.0,0.0,872902656.0,60768256.0,423591936.0,66301362176.0
25.016,0.063,74.922,0.0,0.0,0.0,0.0,0.0,872767488.0,60768256.0,423591936.0,66301497344.0
25.023,0.063,74.914,0.0,0.0,0.0,0.0,2932736.0,872894464.0,60768256.0,423591936.0,66301370368.0
25.008,0.063,74.930,0.0,0.0,0.0,0.0,0.0,872894464.0,60768256.0,423591936.0,66301370368.0
25.023,0.031,74.945,0.0,0.0,0.0,0.0,0.0,872902656.0,60768256.0,423591936.0,66301362176.0
25.016,0.063,74.922,0.0,0.0,0.0,0.0,0.0,872861696.0,60768256.0,423591936.0,66301403136.0
25.016,0.031,74.953,0.0,0.0,0.0,0.0,0.0,872861696.0,60768256.0,423591936.0,66301403136.0
25.023,0.031,74.945,0.0,0.0,0.0,0.0,61440.0,872828928.0,60784640.0,423575552.0,66301435904.0
25.016,0.063,74.922,0.0,0.0,0.0,0.0,0.0,872820736.0,60784640.0,423591936.0,66301427712.0
