"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-431-6.local",,,,"User:","a57779"
"Cmdline:","dstat -cdm --output cg.C.16.csv",,,,"Date:","27 Feb 2016 22:52:31 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
0.649,0.092,99.253,0.005,0.000,0.001,4429.653,3455.819,727236608.0,127516672.0,510439424.0,49375801344.0
41.921,9.812,48.142,0.0,0.0,0.125,0.0,0.0,2040446976.0,127516672.0,520335360.0,48052695040.0
66.681,0.042,33.278,0.0,0.0,0.0,0.0,0.0,2046349312.0,127516672.0,520339456.0,48046788608.0
66.694,0.083,33.139,0.083,0.0,0.0,0.0,139264.0,2046222336.0,127528960.0,520327168.0,48046915584.0
66.681,0.083,33.236,0.0,0.0,0.0,0.0,0.0,2045874176.0,127528960.0,520339456.0,48047251456.0
66.681,0.083,33.236,0.0,0.0,0.0,0.0,0.0,2044235776.0,127528960.0,520339456.0,48048889856.0
66.667,0.083,33.125,0.125,0.0,0.0,0.0,36864.0,2044231680.0,127537152.0,520335360.0,48048889856.0
66.653,0.083,33.264,0.0,0.0,0.0,0.0,0.0,2043568128.0,127537152.0,520339456.0,48049549312.0
66.694,0.083,33.222,0.0,0.0,0.0,0.0,32768.0,2042572800.0,127537152.0,520339456.0,48050544640.0
66.722,0.042,33.153,0.083,0.0,0.0,0.0,12288.0,2042175488.0,127545344.0,520339456.0,48050933760.0
66.694,0.042,33.264,0.0,0.0,0.0,0.0,0.0,2041794560.0,127545344.0,520339456.0,48051314688.0
66.653,0.125,33.222,0.0,0.0,0.0,0.0,0.0,2040762368.0,127545344.0,520339456.0,48052346880.0
66.681,0.083,33.236,0.0,0.0,0.0,0.0,0.0,2040459264.0,127545344.0,520339456.0,48052649984.0
66.681,0.042,33.278,0.0,0.0,0.0,0.0,0.0,2039697408.0,127545344.0,520339456.0,48053411840.0
66.722,0.042,33.236,0.0,0.0,0.0,0.0,0.0,2039062528.0,127545344.0,520339456.0,48054046720.0
66.681,0.083,33.236,0.0,0.0,0.0,0.0,0.0,2038427648.0,127545344.0,520339456.0,48054681600.0
66.722,0.042,33.236,0.0,0.0,0.0,0.0,0.0,2038046720.0,127545344.0,520339456.0,48055062528.0
66.667,0.125,33.208,0.0,0.0,0.0,0.0,0.0,2037252096.0,127545344.0,520339456.0,48055857152.0
66.722,0.125,33.153,0.0,0.0,0.0,0.0,0.0,2036871168.0,127545344.0,520339456.0,48056238080.0
66.722,0.042,33.236,0.0,0.0,0.0,0.0,0.0,2036228096.0,127545344.0,520339456.0,48056881152.0
