"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-431-6.local",,,,"User:","a57779"
"Cmdline:","dstat -cdm --output cg.B.32.csv",,,,"Date:","27 Feb 2016 22:54:33 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
0.701,0.096,99.197,0.005,0.000,0.001,4425.354,3629.137,737312768.0,127713280.0,510767104.0,49365200896.0
37.406,27.741,34.686,0.0,0.0,0.167,0.0,0.0,1288577024.0,127713280.0,525484032.0,48799219712.0
48.020,39.516,12.422,0.0,0.0,0.042,0.0,0.0,1288830976.0,127713280.0,525484032.0,48798965760.0
50.250,40.867,8.716,0.0,0.0,0.167,0.0,172032.0,1289715712.0,127725568.0,525484032.0,48798068736.0
50.209,41.368,8.299,0.0,0.0,0.125,0.0,0.0,1287176192.0,127725568.0,525484032.0,48800608256.0
51.083,40.458,8.292,0.0,0.0,0.167,0.0,0.0,1287421952.0,127725568.0,525484032.0,48800362496.0
52.880,38.564,8.222,0.0,0.0,0.334,0.0,36864.0,1286635520.0,127733760.0,525484032.0,48801140736.0
51.835,39.700,8.257,0.0,0.0,0.209,0.0,0.0,1283579904.0,127733760.0,525484032.0,48804196352.0
57.732,37.349,4.377,0.0,0.0,0.542,0.0,12288.0,1283317760.0,127741952.0,525484032.0,48804450304.0
57.982,37.307,4.127,0.0,0.0,0.584,0.0,0.0,1283395584.0,127741952.0,525484032.0,48804372480.0
57.607,37.766,4.168,0.0,0.0,0.459,0.0,0.0,1281077248.0,127741952.0,525484032.0,48806690816.0
59.017,36.152,4.165,0.0,0.0,0.666,0.0,0.0,1280671744.0,127741952.0,525484032.0,48807096320.0
59.299,36.030,4.128,0.0,0.0,0.542,0.0,0.0,1282895872.0,127741952.0,525484032.0,48804872192.0
55.875,39.583,4.167,0.0,0.0,0.375,0.0,0.0,1281015808.0,127741952.0,525484032.0,48806752256.0
53.042,42.542,4.167,0.0,0.0,0.250,0.0,0.0,1281220608.0,127741952.0,525484032.0,48806547456.0
53.083,42.458,4.167,0.0,0.0,0.292,0.0,0.0,1280331776.0,127741952.0,525484032.0,48807436288.0
53.253,42.369,4.128,0.0,0.0,0.250,0.0,0.0,1278156800.0,127741952.0,525484032.0,48809611264.0
53.125,42.500,4.167,0.0,0.0,0.208,0.0,0.0,1278357504.0,127741952.0,525484032.0,48809410560.0
55.315,40.225,4.168,0.0,0.0,0.292,0.0,0.0,1278083072.0,127741952.0,525484032.0,48809684992.0
56.875,38.625,4.167,0.0,0.0,0.333,0.0,0.0,1276022784.0,127741952.0,525484032.0,48811745280.0
55.815,39.642,4.127,0.0,0.0,0.417,0.0,0.0,1275957248.0,127741952.0,525484032.0,48811810816.0
57.256,38.198,4.170,0.0,0.0,0.375,0.0,294912.0,1276252160.0,127741952.0,525484032.0,48811515904.0
55.060,40.358,4.165,0.0,0.0,0.416,0.0,0.0,1276252160.0,127741952.0,525484032.0,48811515904.0
54.087,41.535,4.128,0.0,0.0,0.250,0.0,0.0,1276506112.0,127741952.0,525484032.0,48811261952.0
55.625,39.875,4.167,0.0,0.0,0.333,0.0,0.0,1276379136.0,127741952.0,525484032.0,48811388928.0
55.708,39.833,4.167,0.0,0.0,0.292,0.0,0.0,1276125184.0,127741952.0,525484032.0,48811642880.0
55.505,39.992,4.128,0.0,0.0,0.375,0.0,4096.0,1276633088.0,127741952.0,525484032.0,48811134976.0
56.458,38.958,4.167,0.0,0.0,0.417,0.0,0.0,1276125184.0,127741952.0,525484032.0,48811642880.0
55.833,39.583,4.167,0.0,0.0,0.417,0.0,0.0,1276633088.0,127741952.0,525484032.0,48811134976.0
55.356,39.975,4.127,0.0,0.0,0.542,0.0,0.0,1275863040.0,127741952.0,525484032.0,48811905024.0
55.505,40.075,4.087,0.0,0.0,0.334,0.0,0.0,1275731968.0,127741952.0,525488128.0,48812032000.0
54.212,41.368,4.087,0.0,0.0,0.334,0.0,8560640.0,1276628992.0,127746048.0,525484032.0,48811134976.0
55.231,40.434,4.127,0.0,0.0,0.208,0.0,2289664.0,1276620800.0,127750144.0,525488128.0,48811134976.0
57.030,38.548,4.047,0.0,0.0,0.375,0.0,0.0,1276366848.0,127750144.0,525488128.0,48811388928.0
54.337,41.368,4.128,0.0,0.0,0.167,0.0,0.0,1276366848.0,127750144.0,525488128.0,48811388928.0
54.023,41.642,4.127,0.0,0.0,0.208,0.0,0.0,1276366848.0,127750144.0,525488128.0,48811388928.0
50.729,45.102,4.127,0.0,0.0,0.042,0.0,0.0,1276366848.0,127750144.0,525488128.0,48811388928.0
49.604,46.228,4.127,0.0,0.0,0.042,0.0,3911680.0,1276616704.0,127758336.0,525484032.0,48811134976.0
49.625,46.167,4.167,0.0,0.0,0.042,0.0,0.0,1276358656.0,127758336.0,525488128.0,48811388928.0
55.088,40.575,4.087,0.0,0.0,0.250,0.0,0.0,1276866560.0,127758336.0,525488128.0,48810881024.0
53.897,41.851,4.085,0.0,0.0,0.167,0.0,0.0,1276608512.0,127758336.0,525492224.0,48811134976.0
54.796,40.826,4.128,0.0,0.0,0.250,0.0,0.0,1276981248.0,127758336.0,525492224.0,48810762240.0
