"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-641-14.local",,,,"User:","a57779"
"Cmdline:","dstat -cdm --output cg.A.32.csv",,,,"Date:","28 Feb 2016 04:36:55 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
45.353,3.659,50.959,0.023,0.000,0.007,163914.346,608276.732,859860992.0,60977152.0,77557760.0,66660229120.0
50.188,12.070,37.555,0.031,0.0,0.156,0.0,217088.0,1063424000.0,60989440.0,97415168.0,66436796416.0
81.219,0.031,18.750,0.0,0.0,0.0,0.0,0.0,1064472576.0,60989440.0,97239040.0,66435923968.0
84.308,0.0,15.692,0.0,0.0,0.0,0.0,0.0,1065259008.0,60989440.0,97071104.0,66435305472.0
84.344,0.031,15.625,0.0,0.0,0.0,0.0,0.0,1063321600.0,60989440.0,97071104.0,66437242880.0
92.154,0.063,7.784,0.0,0.0,0.0,0.0,0.0,1062502400.0,60989440.0,97071104.0,66438062080.0
93.719,0.062,6.219,0.0,0.0,0.0,0.0,49152.0,1062113280.0,60997632.0,97071104.0,66438443008.0
93.748,0.031,6.221,0.0,0.0,0.0,0.0,12288.0,1059512320.0,61005824.0,97062912.0,66441043968.0
93.719,0.062,6.219,0.0,0.0,0.0,0.0,0.0,1058942976.0,61005824.0,97062912.0,66441613312.0
93.748,0.031,6.221,0.0,0.0,0.0,0.0,0.0,1058553856.0,61005824.0,97071104.0,66441994240.0
93.748,0.063,6.189,0.0,0.0,0.0,0.0,0.0,1056653312.0,61005824.0,97071104.0,66443894784.0
93.750,0.031,6.219,0.0,0.0,0.0,0.0,0.0,1055379456.0,61005824.0,97071104.0,66445168640.0
93.717,0.063,6.221,0.0,0.0,0.0,0.0,0.0,1054932992.0,61005824.0,97071104.0,66445615104.0
