"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-431-6.local",,,,"User:","a57779"
"Cmdline:","dstat -cdm --output cg.B.8.csv",,,,"Date:","27 Feb 2016 22:50:00 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
0.611,0.092,99.292,0.005,0.000,0.001,4435.013,3390.092,723275776.0,127266816.0,510017536.0,49380433920.0
22.496,4.508,72.955,0.0,0.0,0.042,0.0,0.0,1278885888.0,127266816.0,515117056.0,48819724288.0
33.375,0.083,65.665,0.876,0.0,0.0,0.0,212992.0,1279160320.0,127295488.0,515084288.0,48819453952.0
33.361,0.083,66.555,0.0,0.0,0.0,0.0,0.0,1279119360.0,127295488.0,515100672.0,48819478528.0
33.347,0.083,66.569,0.0,0.0,0.0,0.0,0.0,1278525440.0,127295488.0,515100672.0,48820072448.0
33.361,0.083,66.555,0.0,0.0,0.0,0.0,0.0,1277890560.0,127295488.0,515100672.0,48820707328.0
33.375,0.083,66.542,0.0,0.0,0.0,0.0,0.0,1278337024.0,127295488.0,515100672.0,48820260864.0
33.347,0.083,66.569,0.0,0.0,0.0,0.0,0.0,1277124608.0,127295488.0,515100672.0,48821473280.0
33.361,0.083,66.555,0.0,0.0,0.0,0.0,0.0,1276489728.0,127295488.0,515100672.0,48822108160.0
33.375,0.083,66.542,0.0,0.0,0.0,0.0,0.0,1275932672.0,127295488.0,515100672.0,48822665216.0
33.375,0.042,66.583,0.0,0.0,0.0,0.0,0.0,1275555840.0,127295488.0,515100672.0,48823042048.0
33.375,0.083,66.542,0.0,0.0,0.0,0.0,0.0,1274531840.0,127295488.0,515100672.0,48824066048.0
33.361,0.042,66.597,0.0,0.0,0.0,0.0,0.0,1274269696.0,127295488.0,515104768.0,48824324096.0
