"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-641-1.local",,,,"User:","a57779"
"Cmdline:","dstat -cdm --output ep.C.16.csv",,,,"Date:","28 Feb 2016 22:34:56 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
49.389,5.392,45.090,0.097,0.000,0.032,177686.985,541461.824,820645888.0,16900096.0,123183104.0,66697805824.0
30.175,4.534,64.603,0.657,0.0,0.031,0.0,77824.0,885182464.0,16912384.0,133918720.0,66622521344.0
50.016,0.063,49.922,0.0,0.0,0.0,0.0,0.0,885874688.0,16912384.0,133742592.0,66622005248.0
50.0,0.031,49.969,0.0,0.0,0.0,0.0,0.0,885866496.0,16912384.0,133742592.0,66622013440.0
50.016,0.063,49.922,0.0,0.0,0.0,0.0,0.0,883986432.0,16912384.0,133742592.0,66623893504.0
50.031,0.031,49.937,0.0,0.0,0.0,0.0,0.0,883605504.0,16912384.0,133742592.0,66624274432.0
50.0,0.062,49.125,0.812,0.0,0.0,0.0,0.0,883363840.0,16920576.0,133742592.0,66624507904.0
50.031,0.031,50.125,-0.188,0.0,0.0,0.0,159744.0,881135616.0,16928768.0,133742592.0,66626727936.0
50.0,0.062,49.938,0.0,0.0,0.0,0.0,0.0,880431104.0,16928768.0,133742592.0,66627432448.0
50.031,0.031,49.937,0.0,0.0,0.0,0.0,0.0,880021504.0,16928768.0,133742592.0,66627842048.0
