"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-641-1.local",,,,"User:","a57779"
"Cmdline:","dstat -cdm --output cg.B.32.csv",,,,"Date:","28 Feb 2016 22:35:27 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
49.389,5.392,45.090,0.097,0.000,0.032,177686.768,541461.211,837165056.0,17080320.0,124973056.0,66679316480.0
65.465,9.558,24.820,0.031,0.0,0.125,0.0,0.0,1589141504.0,17100800.0,144101376.0,65908191232.0
96.812,0.063,3.126,0.0,0.0,0.0,0.0,0.0,1592168448.0,17100800.0,145518592.0,65903747072.0
96.843,0.031,3.126,0.0,0.0,0.0,0.0,0.0,1592733696.0,17100800.0,145334272.0,65903366144.0
96.874,0.031,2.501,0.594,0.0,0.0,0.0,217088.0,1592352768.0,17113088.0,145321984.0,65903747072.0
96.874,0.0,3.126,0.0,0.0,0.0,0.0,0.0,1588879360.0,17113088.0,145334272.0,65907208192.0
96.844,0.031,3.062,0.062,0.0,0.0,0.0,36864.0,1588707328.0,17121280.0,145330176.0,65907376128.0
96.874,0.031,3.095,0.0,0.0,0.0,0.0,0.0,1588248576.0,17121280.0,145334272.0,65907830784.0
96.874,0.0,3.126,0.0,0.0,0.0,0.0,0.0,1584820224.0,17121280.0,145334272.0,65911259136.0
96.780,0.031,3.188,0.0,0.0,0.0,0.0,0.0,1584799744.0,17121280.0,145334272.0,65911279616.0
96.845,0.031,3.124,0.0,0.0,0.0,0.0,0.0,1583886336.0,17121280.0,145334272.0,65912193024.0
96.874,0.0,3.126,0.0,0.0,0.0,0.0,0.0,1580400640.0,17121280.0,145334272.0,65915678720.0
96.904,0.0,3.096,0.0,0.0,0.0,0.0,0.0,1580535808.0,17121280.0,145334272.0,65915543552.0
96.844,0.031,3.125,0.0,0.0,0.0,0.0,12288.0,1582243840.0,17121280.0,145334272.0,65913835520.0
96.844,0.031,3.125,0.0,0.0,0.0,0.0,0.0,1578315776.0,17121280.0,145334272.0,65917763584.0
96.874,0.0,3.126,0.0,0.0,0.0,0.0,0.0,1578188800.0,17121280.0,145334272.0,65917890560.0
96.904,0.0,3.096,0.0,0.0,0.0,0.0,0.0,1577807872.0,17121280.0,145334272.0,65918271488.0
96.813,0.031,2.530,0.625,0.0,0.0,0.0,24576.0,1574727680.0,17129472.0,145326080.0,65921351680.0
96.904,0.0,3.096,0.0,0.0,0.0,0.0,0.0,1574473728.0,17129472.0,145326080.0,65921605632.0
96.813,0.031,3.155,0.0,0.0,0.0,0.0,0.0,1574281216.0,17129472.0,145334272.0,65921789952.0
96.904,0.0,3.096,0.0,0.0,0.0,0.0,0.0,1573048320.0,17129472.0,145334272.0,65923022848.0
96.843,0.031,3.126,0.0,0.0,0.0,0.0,0.0,1573048320.0,17129472.0,145334272.0,65923022848.0
96.844,0.031,3.125,0.0,0.0,0.0,0.0,0.0,1572802560.0,17129472.0,145334272.0,65923268608.0
96.844,0.031,3.094,0.0,0.0,0.031,0.0,36864.0,1572802560.0,17129472.0,145334272.0,65923268608.0
96.843,0.031,3.126,0.0,0.0,0.0,0.0,0.0,1572802560.0,17129472.0,145334272.0,65923268608.0
96.844,0.031,3.125,0.0,0.0,0.0,0.0,0.0,1572802560.0,17129472.0,145334272.0,65923268608.0
96.873,0.031,3.096,0.0,0.0,0.0,0.0,0.0,1572651008.0,17129472.0,145334272.0,65923420160.0
96.874,0.0,3.126,0.0,0.0,0.0,0.0,0.0,1572642816.0,17129472.0,145334272.0,65923428352.0
96.843,0.031,3.126,0.0,0.0,0.0,0.0,0.0,1572515840.0,17129472.0,145334272.0,65923555328.0
96.844,0.062,3.094,0.0,0.0,0.0,0.0,0.0,1572511744.0,17129472.0,145334272.0,65923559424.0
96.874,0.0,3.126,0.0,0.0,0.0,0.0,0.0,1572511744.0,17129472.0,145334272.0,65923559424.0
96.812,0.062,3.125,0.0,0.0,0.0,0.0,0.0,1572511744.0,17129472.0,145334272.0,65923559424.0
96.873,0.031,3.096,0.0,0.0,0.0,0.0,0.0,1572515840.0,17129472.0,145338368.0,65923551232.0
96.216,0.125,3.627,0.0,0.0,0.031,0.0,14934016.0,1572769792.0,17129472.0,145338368.0,65923297280.0
96.844,0.031,3.125,0.0,0.0,0.0,0.0,0.0,1572769792.0,17129472.0,145338368.0,65923297280.0
96.904,0.063,3.033,0.0,0.0,0.0,0.0,0.0,1572769792.0,17129472.0,145338368.0,65923297280.0
96.812,0.062,3.125,0.0,0.0,0.0,0.0,0.0,1572769792.0,17129472.0,145338368.0,65923297280.0
96.844,0.0,3.125,0.0,0.0,0.031,0.0,0.0,1572769792.0,17129472.0,145338368.0,65923297280.0
94.936,0.063,3.782,1.219,0.0,0.0,0.0,5238784.0,1572765696.0,17145856.0,145326080.0,65923297280.0
