"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-641-1.local",,,,"User:","a57779"
"Cmdline:","dstat -cdm --output cg.C.32.csv",,,,"Date:","28 Feb 2016 22:36:07 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
49.389,5.391,45.090,0.097,0.000,0.032,177686.493,541461.164,830881792.0,17145856.0,125779968.0,66684727296.0
62.183,12.261,25.399,0.031,0.0,0.125,0.0,0.0,2405126144.0,17158144.0,145559552.0,65090691072.0
93.717,0.031,6.252,0.0,0.0,0.0,0.0,0.0,2407747584.0,17158144.0,146046976.0,65087582208.0
93.717,0.063,6.189,0.031,0.0,0.0,0.0,233472.0,2407993344.0,17170432.0,146034688.0,65087336448.0
93.717,0.031,6.252,0.0,0.0,0.0,0.0,0.0,2408108032.0,17170432.0,146046976.0,65087209472.0
93.777,0.0,6.223,0.0,0.0,0.0,0.0,0.0,2405396480.0,17170432.0,146046976.0,65089921024.0
93.688,0.062,5.656,0.594,0.0,0.0,0.0,40960.0,2404990976.0,17178624.0,146038784.0,65090326528.0
93.688,0.062,6.219,0.0,0.0,0.031,0.0,0.0,2404597760.0,17178624.0,146042880.0,65090715648.0
93.717,0.031,6.252,0.0,0.0,0.0,0.0,0.0,2402140160.0,17178624.0,146046976.0,65093169152.0
93.654,0.125,5.627,0.594,0.0,0.0,0.0,12288.0,2401988608.0,17186816.0,146038784.0,65093320704.0
93.717,0.031,6.252,0.0,0.0,0.0,0.0,0.0,2401464320.0,17186816.0,146046976.0,65093836800.0
93.719,0.031,6.250,0.0,0.0,0.0,0.0,0.0,2398826496.0,17186816.0,146046976.0,65096474624.0
93.748,0.031,6.221,0.0,0.0,0.0,0.0,0.0,2398572544.0,17186816.0,146046976.0,65096728576.0
93.717,0.031,6.252,0.0,0.0,0.0,0.0,0.0,2398314496.0,17186816.0,146046976.0,65096986624.0
93.719,0.031,6.250,0.0,0.0,0.0,0.0,0.0,2395566080.0,17186816.0,146046976.0,65099735040.0
93.717,0.031,6.252,0.0,0.0,0.0,0.0,0.0,2395271168.0,17186816.0,146046976.0,65100029952.0
93.717,0.063,6.221,0.0,0.0,0.0,0.0,0.0,2394755072.0,17186816.0,146046976.0,65100546048.0
93.717,0.031,6.252,0.0,0.0,0.0,0.0,0.0,2392883200.0,17186816.0,146046976.0,65102417920.0
93.719,0.031,6.250,0.0,0.0,0.0,0.0,0.0,2392756224.0,17186816.0,146046976.0,65102544896.0
93.746,0.031,6.223,0.0,0.0,0.0,0.0,0.0,2392121344.0,17186816.0,146046976.0,65103179776.0
