"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-431-8.local",,,,"User:","a57779"
"Cmdline:","dstat -cdm --output cg.C.x.csv",,,,"Date:","25 Feb 2016 01:36:58 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
25.161,1.780,73.044,0.012,0.000,0.003,7375.795,218763.201,1065668608.0,80769024.0,2992033792.0,46602522624.0
3.875,0.333,95.792,0.0,0.0,0.0,0.0,0.0,1546924032.0,80769024.0,2992033792.0,46121267200.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1547132928.0,80769024.0,2992078848.0,46121013248.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1536647168.0,80769024.0,2992078848.0,46131499008.0
4.210,0.042,95.748,0.0,0.0,0.0,0.0,0.0,1536647168.0,80769024.0,2992078848.0,46131499008.0
4.130,0.042,95.828,0.0,0.0,0.0,0.0,0.0,1536647168.0,80769024.0,2992078848.0,46131499008.0
4.212,0.042,95.621,0.125,0.0,0.0,0.0,20480.0,1536643072.0,80777216.0,2992074752.0,46131499008.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,1536495616.0,80777216.0,2992078848.0,46131642368.0
4.168,0.042,95.748,0.0,0.0,0.042,0.0,0.0,1536323584.0,80777216.0,2992078848.0,46131814400.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1536323584.0,80777216.0,2992078848.0,46131814400.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,1536196608.0,80777216.0,2992078848.0,46131941376.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1536180224.0,80777216.0,2992078848.0,46131957760.0
4.168,0.042,95.748,0.0,0.0,0.042,0.0,0.0,1536180224.0,80777216.0,2992078848.0,46131957760.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,1536180224.0,80777216.0,2992078848.0,46131957760.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1536180224.0,80777216.0,2992078848.0,46131957760.0
4.170,0.042,95.663,0.125,0.0,0.0,0.0,12288.0,1536172032.0,80785408.0,2992078848.0,46131957760.0
3.918,0.333,95.748,0.0,0.0,0.0,0.0,8192.0,1976950784.0,80785408.0,2992078848.0,45691179008.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,1976946688.0,80785408.0,2992078848.0,45691183104.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1976946688.0,80785408.0,2992078848.0,45691183104.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1976819712.0,80785408.0,2992078848.0,45691310080.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,1976819712.0,80785408.0,2992078848.0,45691310080.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1976819712.0,80785408.0,2992078848.0,45691310080.0
4.210,0.042,95.748,0.0,0.0,0.0,0.0,0.0,1976692736.0,80785408.0,2992078848.0,45691437056.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,1976692736.0,80785408.0,2992078848.0,45691437056.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1976692736.0,80785408.0,2992078848.0,45691437056.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1976631296.0,80785408.0,2992078848.0,45691498496.0
4.170,0.0,95.788,0.0,0.0,0.042,0.0,0.0,1976504320.0,80785408.0,2992078848.0,45691625472.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1976504320.0,80785408.0,2992078848.0,45691625472.0
4.168,0.042,95.790,0.0,0.0,0.0,0.0,0.0,1976504320.0,80785408.0,2992078848.0,45691625472.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,1976504320.0,80785408.0,2992078848.0,45691625472.0
4.168,0.042,95.748,0.0,0.0,0.042,0.0,0.0,1976504320.0,80785408.0,2992078848.0,45691625472.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,1976504320.0,80785408.0,2992078848.0,45691625472.0
4.210,0.042,95.748,0.0,0.0,0.0,0.0,0.0,1976455168.0,80785408.0,2992078848.0,45691674624.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,1976455168.0,80785408.0,2992078848.0,45691674624.0
4.170,0.083,95.746,0.0,0.0,0.0,0.0,0.0,1959686144.0,80785408.0,2992078848.0,45708443648.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1959686144.0,80785408.0,2992078848.0,45708443648.0
4.210,0.042,95.748,0.0,0.0,0.0,0.0,0.0,1959686144.0,80785408.0,2992078848.0,45708443648.0
4.168,0.042,95.790,0.0,0.0,0.0,0.0,0.0,1959686144.0,80785408.0,2992078848.0,45708443648.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,1959686144.0,80785408.0,2992078848.0,45708443648.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1959686144.0,80785408.0,2992078848.0,45708443648.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,1959559168.0,80785408.0,2992078848.0,45708570624.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1959559168.0,80785408.0,2992078848.0,45708570624.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1959555072.0,80785408.0,2992082944.0,45708570624.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,1959555072.0,80785408.0,2992082944.0,45708570624.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1959555072.0,80785408.0,2992082944.0,45708570624.0
4.210,0.042,95.748,0.0,0.0,0.0,0.0,0.0,1959555072.0,80785408.0,2992082944.0,45708570624.0
4.170,0.0,95.830,0.0,0.0,0.0,0.0,0.0,1959555072.0,80785408.0,2992082944.0,45708570624.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1959546880.0,80785408.0,2992082944.0,45708578816.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1959546880.0,80785408.0,2992082944.0,45708578816.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,1959546880.0,80785408.0,2992082944.0,45708578816.0
4.168,0.042,95.748,0.0,0.0,0.042,0.0,0.0,1959546880.0,80785408.0,2992082944.0,45708578816.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,1959546880.0,80785408.0,2992082944.0,45708578816.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1959546880.0,80785408.0,2992082944.0,45708578816.0
4.210,0.042,95.748,0.0,0.0,0.0,0.0,0.0,1959546880.0,80785408.0,2992082944.0,45708578816.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1959555072.0,80785408.0,2992082944.0,45708570624.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1959546880.0,80785408.0,2992082944.0,45708578816.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1959546880.0,80785408.0,2992082944.0,45708578816.0
4.170,0.0,95.788,0.0,0.0,0.042,0.0,0.0,1959546880.0,80785408.0,2992082944.0,45708578816.0
