"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-641-14.local",,,,"User:","a57779"
"Cmdline:","dstat -cdm --output cg.B.x.csv",,,,"Date:","25 Feb 2016 01:31:37 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
45.789,3.681,50.500,0.023,0.000,0.007,165622.330,614498.496,839671808.0,9379840.0,40525824.0,66769047552.0
3.001,0.156,96.843,0.0,0.0,0.0,0.0,0.0,1016213504.0,9379840.0,40525824.0,66592505856.0
3.158,0.063,96.779,0.0,0.0,0.0,0.0,0.0,1016291328.0,9379840.0,40570880.0,66592382976.0
3.128,0.031,96.810,0.0,0.0,0.031,0.0,0.0,1016274944.0,9379840.0,40570880.0,66592399360.0
3.128,0.063,96.810,0.0,0.0,0.0,0.0,12288.0,1016016896.0,9388032.0,40566784.0,66592653312.0
3.003,0.188,96.778,0.0,0.0,0.031,0.0,0.0,1185685504.0,9388032.0,40566784.0,66422984704.0
3.127,0.031,96.811,0.0,0.0,0.031,0.0,0.0,1185427456.0,9388032.0,40570880.0,66423238656.0
3.159,0.031,96.778,0.0,0.0,0.031,0.0,65536.0,1185165312.0,9388032.0,40570880.0,66423500800.0
3.128,0.063,96.810,0.0,0.0,0.0,0.0,0.0,1183076352.0,9388032.0,40570880.0,66425589760.0
3.128,0.063,96.810,0.0,0.0,0.0,0.0,0.0,1182777344.0,9388032.0,40570880.0,66425888768.0
3.127,0.063,96.779,0.0,0.0,0.031,0.0,0.0,1182507008.0,9388032.0,40570880.0,66426159104.0
3.129,0.063,96.809,0.0,0.0,0.0,0.0,0.0,1182126080.0,9388032.0,40570880.0,66426540032.0
3.156,0.062,96.750,0.0,0.0,0.031,0.0,0.0,1181745152.0,9388032.0,40570880.0,66426920960.0
3.129,0.031,96.809,0.031,0.0,0.0,0.0,28672.0,1181491200.0,9396224.0,40562688.0,66427174912.0
3.127,0.063,96.779,0.0,0.0,0.031,0.0,0.0,1181356032.0,9396224.0,40570880.0,66427301888.0
3.127,0.063,96.779,0.0,0.0,0.031,0.0,0.0,1181229056.0,9396224.0,40570880.0,66427428864.0
3.128,0.063,96.810,0.0,0.0,0.0,0.0,0.0,1181102080.0,9396224.0,40570880.0,66427555840.0
3.158,0.063,96.748,0.0,0.0,0.031,0.0,0.0,1180848128.0,9396224.0,40570880.0,66427809792.0
3.128,0.031,96.810,0.0,0.0,0.031,0.0,0.0,1180434432.0,9396224.0,40570880.0,66428223488.0
3.129,0.063,96.809,0.0,0.0,0.0,0.0,0.0,1180020736.0,9396224.0,40570880.0,66428637184.0
3.127,0.063,96.779,0.0,0.0,0.031,0.0,0.0,1180028928.0,9396224.0,40570880.0,66428628992.0
3.129,0.031,96.840,0.0,0.0,0.0,0.0,0.0,1180024832.0,9396224.0,40570880.0,66428633088.0
3.157,0.063,96.749,0.0,0.0,0.031,0.0,0.0,1179897856.0,9396224.0,40570880.0,66428760064.0
3.128,0.063,96.810,0.0,0.0,0.0,0.0,0.0,1179516928.0,9396224.0,40570880.0,66429140992.0
3.129,0.031,96.809,0.0,0.0,0.031,0.0,0.0,1179361280.0,9396224.0,40570880.0,66429296640.0
3.129,0.031,96.840,0.0,0.0,0.0,0.0,0.0,1179103232.0,9396224.0,40570880.0,66429554688.0
3.158,0.063,96.779,0.0,0.0,0.0,0.0,0.0,1179103232.0,9396224.0,40570880.0,66429554688.0
3.127,0.063,96.779,0.0,0.0,0.031,0.0,0.0,1179103232.0,9396224.0,40570880.0,66429554688.0
3.129,0.031,96.840,0.0,0.0,0.0,0.0,0.0,1179103232.0,9396224.0,40570880.0,66429554688.0
3.127,0.063,96.779,0.0,0.0,0.031,0.0,0.0,1178710016.0,9396224.0,40570880.0,66429947904.0
3.129,0.063,96.809,0.0,0.0,0.0,0.0,0.0,1178591232.0,9396224.0,40570880.0,66430066688.0
3.127,0.063,96.779,0.0,0.0,0.031,0.0,0.0,1178394624.0,9396224.0,40570880.0,66430263296.0
3.128,0.031,96.810,0.0,0.0,0.031,0.0,0.0,1178521600.0,9396224.0,40570880.0,66430136320.0
3.128,0.063,96.810,0.0,0.0,0.0,0.0,0.0,1178521600.0,9396224.0,40570880.0,66430136320.0
3.159,0.031,96.810,0.0,0.0,0.0,0.0,0.0,1178529792.0,9396224.0,40570880.0,66430128128.0
3.130,0.031,96.839,0.0,0.0,0.0,0.0,0.0,1178292224.0,9396224.0,40570880.0,66430365696.0
3.127,0.063,96.811,0.0,0.0,0.0,0.0,0.0,1178288128.0,9396224.0,40570880.0,66430369792.0
3.129,0.031,96.840,0.0,0.0,0.0,0.0,12288.0,1178189824.0,9404416.0,40562688.0,66430468096.0
3.158,0.063,96.779,0.0,0.0,0.0,0.0,0.0,1178181632.0,9404416.0,40570880.0,66430468096.0
3.128,0.063,96.810,0.0,0.0,0.0,0.0,0.0,1178181632.0,9404416.0,40570880.0,66430468096.0
3.129,0.031,96.840,0.0,0.0,0.0,0.0,0.0,1178189824.0,9404416.0,40570880.0,66430459904.0
3.128,0.063,96.810,0.0,0.0,0.0,0.0,0.0,1178083328.0,9404416.0,40570880.0,66430566400.0
3.128,0.063,96.810,0.0,0.0,0.0,0.0,0.0,1178083328.0,9404416.0,40570880.0,66430566400.0
3.127,0.063,96.779,0.0,0.0,0.031,0.0,0.0,1178071040.0,9404416.0,40574976.0,66430574592.0
3.159,0.031,96.810,0.0,0.0,0.0,0.0,0.0,1178071040.0,9404416.0,40574976.0,66430574592.0
3.128,0.094,96.778,0.0,0.0,0.0,0.0,0.0,1178071040.0,9404416.0,40574976.0,66430574592.0
3.128,0.063,96.810,0.0,0.0,0.0,0.0,0.0,1178071040.0,9404416.0,40574976.0,66430574592.0
3.128,0.063,96.810,0.0,0.0,0.0,0.0,24576.0,1178046464.0,9404416.0,40574976.0,66430599168.0
3.159,0.031,96.810,0.0,0.0,0.0,0.0,0.0,1178046464.0,9404416.0,40574976.0,66430599168.0
3.128,0.063,96.778,0.0,0.0,0.031,28672.0,0.0,1178071040.0,9404416.0,40550400.0,66430599168.0
3.128,0.063,96.810,0.0,0.0,0.0,0.0,0.0,1178173440.0,9404416.0,40574976.0,66430472192.0
3.159,0.031,96.810,0.0,0.0,0.0,0.0,0.0,1178173440.0,9404416.0,40574976.0,66430472192.0
3.127,0.094,96.779,0.0,0.0,0.0,0.0,0.0,1178165248.0,9404416.0,40574976.0,66430480384.0
3.129,0.031,96.840,0.0,0.0,0.0,0.0,0.0,1178173440.0,9404416.0,40574976.0,66430472192.0
3.128,0.063,96.810,0.0,0.0,0.0,0.0,0.0,1178165248.0,9404416.0,40574976.0,66430480384.0
3.157,0.063,96.780,0.0,0.0,0.0,0.0,0.0,1178173440.0,9404416.0,40574976.0,66430472192.0
3.129,0.031,96.840,0.0,0.0,0.0,0.0,0.0,1178173440.0,9404416.0,40574976.0,66430472192.0
3.128,0.063,96.778,0.0,0.0,0.031,0.0,0.0,1178173440.0,9404416.0,40574976.0,66430472192.0
3.127,0.063,96.811,0.0,0.0,0.0,0.0,0.0,1178173440.0,9404416.0,40574976.0,66430472192.0
3.129,0.031,96.840,0.0,0.0,0.0,0.0,0.0,1178046464.0,9404416.0,40574976.0,66430599168.0
3.128,0.063,96.810,0.0,0.0,0.0,0.0,0.0,1178054656.0,9404416.0,40574976.0,66430590976.0
3.129,0.031,96.840,0.0,0.0,0.0,0.0,0.0,1178054656.0,9404416.0,40574976.0,66430590976.0
3.128,0.063,96.810,0.0,0.0,0.0,0.0,0.0,1178054656.0,9404416.0,40574976.0,66430590976.0
3.159,0.031,96.810,0.0,0.0,0.0,0.0,0.0,1178054656.0,9404416.0,40574976.0,66430590976.0
3.127,0.063,96.779,0.0,0.0,0.031,0.0,0.0,1178046464.0,9404416.0,40574976.0,66430599168.0
3.129,0.063,96.809,0.0,0.0,0.0,0.0,0.0,1178054656.0,9404416.0,40574976.0,66430590976.0
3.128,0.031,96.810,0.0,0.0,0.031,0.0,0.0,1178054656.0,9404416.0,40574976.0,66430590976.0
3.128,0.063,96.810,0.0,0.0,0.0,0.0,0.0,1178062848.0,9404416.0,40574976.0,66430582784.0
