"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-431-8.local",,,,"User:","a57779"
"Cmdline:","dstat -cdm --output cg.C.x.csv",,,,"Date:","25 Feb 2016 00:12:07 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
25.164,1.780,73.041,0.012,0.000,0.003,7377.276,218806.945,1039130624.0,79310848.0,2991976448.0,46630576128.0
3.752,0.417,95.665,0.167,0.0,0.0,0.0,24576.0,1520259072.0,79319040.0,2991976448.0,46149439488.0
4.210,0.042,95.748,0.0,0.0,0.0,0.0,0.0,1520078848.0,79319040.0,2992013312.0,46149582848.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1520078848.0,79319040.0,2992013312.0,46149582848.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1520078848.0,79319040.0,2992013312.0,46149582848.0
4.210,0.042,95.748,0.0,0.0,0.0,0.0,0.0,1520078848.0,79319040.0,2992013312.0,46149582848.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1519943680.0,79319040.0,2992013312.0,46149718016.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,1519837184.0,79319040.0,2992013312.0,46149824512.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1519710208.0,79319040.0,2992013312.0,46149951488.0
4.210,0.042,95.748,0.0,0.0,0.0,0.0,0.0,1519710208.0,79319040.0,2992013312.0,46149951488.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,1519583232.0,79319040.0,2992013312.0,46150078464.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1519575040.0,79319040.0,2992013312.0,46150086656.0
4.168,0.042,95.748,0.0,0.0,0.042,0.0,8192.0,1519448064.0,79319040.0,2992013312.0,46150213632.0
4.212,0.042,95.746,0.0,0.0,0.0,0.0,0.0,1519443968.0,79319040.0,2992013312.0,46150217728.0
4.128,0.083,95.788,0.0,0.0,0.0,0.0,0.0,1557000192.0,79319040.0,2992013312.0,46112661504.0
3.880,0.334,95.786,0.0,0.0,0.0,0.0,0.0,1960222720.0,79319040.0,2992013312.0,45709438976.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1960222720.0,79319040.0,2992013312.0,45709438976.0
4.170,0.042,95.746,0.0,0.0,0.042,0.0,0.0,1960222720.0,79319040.0,2992013312.0,45709438976.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1960095744.0,79319040.0,2992013312.0,45709565952.0
4.210,0.042,95.748,0.0,0.0,0.0,0.0,0.0,1959968768.0,79319040.0,2992013312.0,45709692928.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,1959948288.0,79319040.0,2992013312.0,45709713408.0
4.168,0.042,95.748,0.0,0.0,0.042,0.0,0.0,1959948288.0,79319040.0,2992013312.0,45709713408.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1959948288.0,79319040.0,2992013312.0,45709713408.0
4.212,0.042,95.746,0.0,0.0,0.0,0.0,0.0,1959948288.0,79319040.0,2992013312.0,45709713408.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1959821312.0,79319040.0,2992013312.0,45709840384.0
4.170,0.042,95.746,0.0,0.0,0.042,0.0,0.0,1959821312.0,79319040.0,2992013312.0,45709840384.0
4.208,0.083,95.708,0.0,0.0,0.0,0.0,0.0,1959821312.0,79319040.0,2992013312.0,45709840384.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1959821312.0,79319040.0,2992013312.0,45709840384.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,1959821312.0,79319040.0,2992013312.0,45709840384.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1959821312.0,79319040.0,2992013312.0,45709840384.0
4.210,0.042,95.748,0.0,0.0,0.0,0.0,0.0,1959694336.0,79319040.0,2992013312.0,45709967360.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1959694336.0,79319040.0,2992013312.0,45709967360.0
4.170,0.0,95.788,0.0,0.0,0.042,0.0,0.0,1959694336.0,79319040.0,2992013312.0,45709967360.0
4.170,0.083,95.746,0.0,0.0,0.0,0.0,0.0,1959694336.0,79319040.0,2992013312.0,45709967360.0
4.212,0.0,95.788,0.0,0.0,0.0,0.0,0.0,1947111424.0,79319040.0,2992013312.0,45722550272.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1947119616.0,79319040.0,2992013312.0,45722542080.0
4.168,0.042,95.748,0.0,0.0,0.042,0.0,0.0,1947058176.0,79319040.0,2992013312.0,45722603520.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1947058176.0,79319040.0,2992013312.0,45722603520.0
4.214,0.0,95.786,0.0,0.0,0.0,0.0,0.0,1947058176.0,79319040.0,2992013312.0,45722603520.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1947058176.0,79319040.0,2992013312.0,45722603520.0
4.212,0.083,95.705,0.0,0.0,0.0,0.0,0.0,1947058176.0,79319040.0,2992013312.0,45722603520.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,1947058176.0,79319040.0,2992013312.0,45722603520.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1947054080.0,79319040.0,2992017408.0,45722603520.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1947054080.0,79319040.0,2992017408.0,45722603520.0
4.175,0.0,95.825,0.0,0.0,0.0,0.0,0.0,1947181056.0,79319040.0,2992017408.0,45722476544.0
4.210,0.042,95.748,0.0,0.0,0.0,0.0,0.0,1947316224.0,79319040.0,2992017408.0,45722341376.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1947299840.0,79319040.0,2992017408.0,45722357760.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1947299840.0,79319040.0,2992017408.0,45722357760.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,1947299840.0,79319040.0,2992017408.0,45722357760.0
4.210,0.042,95.748,0.0,0.0,0.0,0.0,0.0,1947299840.0,79319040.0,2992017408.0,45722357760.0
4.168,0.083,95.748,0.0,0.0,0.0,0.0,0.0,1947172864.0,79319040.0,2992017408.0,45722484736.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1947172864.0,79319040.0,2992017408.0,45722484736.0
4.212,0.042,95.746,0.0,0.0,0.0,0.0,0.0,1947172864.0,79319040.0,2992017408.0,45722484736.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1947172864.0,79319040.0,2992017408.0,45722484736.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,1947172864.0,79319040.0,2992017408.0,45722484736.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1947172864.0,79319040.0,2992017408.0,45722484736.0
4.212,0.042,95.746,0.0,0.0,0.0,0.0,0.0,1947172864.0,79319040.0,2992017408.0,45722484736.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1947172864.0,79319040.0,2992017408.0,45722484736.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1947172864.0,79319040.0,2992017408.0,45722484736.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,1947172864.0,79319040.0,2992017408.0,45722484736.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1947164672.0,79319040.0,2992017408.0,45722492928.0
4.208,0.042,95.583,0.125,0.0,0.042,0.0,12288.0,1947156480.0,79327232.0,2992017408.0,45722492928.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1947156480.0,79327232.0,2992017408.0,45722492928.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1947164672.0,79327232.0,2992017408.0,45722484736.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,1947164672.0,79327232.0,2992017408.0,45722484736.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1947164672.0,79327232.0,2992017408.0,45722484736.0
4.212,0.042,95.746,0.0,0.0,0.0,0.0,0.0,1947164672.0,79327232.0,2992017408.0,45722484736.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,1947164672.0,79327232.0,2992017408.0,45722484736.0
4.168,0.083,95.748,0.0,0.0,0.0,0.0,0.0,1947164672.0,79327232.0,2992017408.0,45722484736.0
