"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-431-8.local",,,,"User:","a57779"
"Cmdline:","dstat -cdm --output ep.B.x.csv",,,,"Date:","25 Feb 2016 01:53:07 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
25.161,1.780,73.044,0.012,0.000,0.003,7375.514,218754.886,979124224.0,81092608.0,2992275456.0,46688501760.0
4.168,0.0,95.832,0.0,0.0,0.0,0.0,0.0,979124224.0,81092608.0,2992275456.0,46688501760.0
4.210,0.083,95.707,0.0,0.0,0.0,0.0,0.0,979357696.0,81092608.0,2992304128.0,46688239616.0
4.170,0.042,95.663,0.125,0.0,0.0,0.0,24576.0,979353600.0,81100800.0,2992300032.0,46688239616.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,979226624.0,81100800.0,2992304128.0,46688362496.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,978718720.0,81100800.0,2992304128.0,46688870400.0
4.210,0.042,95.748,0.0,0.0,0.0,0.0,0.0,978456576.0,81100800.0,2992304128.0,46689132544.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,978456576.0,81100800.0,2992304128.0,46689132544.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,8192.0,977850368.0,81100800.0,2992304128.0,46689738752.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,977723392.0,81100800.0,2992304128.0,46689865728.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,977723392.0,81100800.0,2992304128.0,46689865728.0
4.214,0.042,95.745,0.0,0.0,0.0,0.0,0.0,977342464.0,81100800.0,2992304128.0,46690246656.0
4.168,0.083,95.748,0.0,0.0,0.0,0.0,0.0,976834560.0,81100800.0,2992304128.0,46690754560.0
4.212,0.042,95.746,0.0,0.0,0.0,0.0,0.0,976707584.0,81100800.0,2992304128.0,46690881536.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,976576512.0,81100800.0,2992304128.0,46691012608.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,976576512.0,81100800.0,2992304128.0,46691012608.0
4.214,0.0,95.786,0.0,0.0,0.0,0.0,0.0,976449536.0,81100800.0,2992304128.0,46691139584.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,976146432.0,81100800.0,2992304128.0,46691442688.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,975974400.0,81100800.0,2992304128.0,46691614720.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,975859712.0,81100800.0,2992304128.0,46691729408.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,975859712.0,81100800.0,2992304128.0,46691729408.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,975859712.0,81100800.0,2992304128.0,46691729408.0
4.210,0.042,95.748,0.0,0.0,0.0,0.0,0.0,975781888.0,81100800.0,2992304128.0,46691807232.0
4.174,0.042,95.785,0.0,0.0,0.0,0.0,0.0,975527936.0,81100800.0,2992304128.0,46692061184.0
4.170,0.0,95.830,0.0,0.0,0.0,0.0,0.0,975400960.0,81100800.0,2992304128.0,46692188160.0
4.170,0.083,95.746,0.0,0.0,0.0,0.0,0.0,975400960.0,81100800.0,2992304128.0,46692188160.0
4.214,0.0,95.786,0.0,0.0,0.0,0.0,0.0,975400960.0,81100800.0,2992304128.0,46692188160.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,975400960.0,81100800.0,2992304128.0,46692188160.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,975400960.0,81100800.0,2992304128.0,46692188160.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,975147008.0,81100800.0,2992304128.0,46692442112.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,975118336.0,81100800.0,2992304128.0,46692470784.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,975118336.0,81100800.0,2992304128.0,46692470784.0
4.210,0.042,95.748,0.0,0.0,0.0,0.0,0.0,975118336.0,81100800.0,2992304128.0,46692470784.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,975118336.0,81100800.0,2992304128.0,46692470784.0
4.210,0.042,95.748,0.0,0.0,0.0,0.0,0.0,975118336.0,81100800.0,2992304128.0,46692470784.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,975077376.0,81100800.0,2992304128.0,46692511744.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,975093760.0,81100800.0,2992304128.0,46692495360.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,975093760.0,81100800.0,2992304128.0,46692495360.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,975085568.0,81100800.0,2992304128.0,46692503552.0
4.210,0.042,95.748,0.0,0.0,0.0,0.0,0.0,975085568.0,81100800.0,2992304128.0,46692503552.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,975085568.0,81100800.0,2992304128.0,46692503552.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,975085568.0,81100800.0,2992304128.0,46692503552.0
4.210,0.042,95.748,0.0,0.0,0.0,0.0,0.0,975077376.0,81100800.0,2992308224.0,46692507648.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,975077376.0,81100800.0,2992308224.0,46692507648.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,975077376.0,81100800.0,2992308224.0,46692507648.0
4.210,0.042,95.748,0.0,0.0,0.0,0.0,0.0,975069184.0,81100800.0,2992308224.0,46692515840.0
4.170,0.042,95.746,0.0,0.0,0.042,0.0,0.0,975069184.0,81100800.0,2992308224.0,46692515840.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,975069184.0,81100800.0,2992308224.0,46692515840.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,975069184.0,81100800.0,2992308224.0,46692515840.0
4.214,0.0,95.786,0.0,0.0,0.0,0.0,0.0,975069184.0,81100800.0,2992308224.0,46692515840.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,975069184.0,81100800.0,2992308224.0,46692515840.0
4.168,0.083,95.748,0.0,0.0,0.0,0.0,0.0,975196160.0,81100800.0,2992308224.0,46692388864.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,975196160.0,81100800.0,2992308224.0,46692388864.0
4.212,0.042,95.746,0.0,0.0,0.0,0.0,0.0,975196160.0,81100800.0,2992308224.0,46692388864.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,975196160.0,81100800.0,2992308224.0,46692388864.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,975196160.0,81100800.0,2992308224.0,46692388864.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,975196160.0,81100800.0,2992308224.0,46692388864.0
4.210,0.042,95.748,0.0,0.0,0.0,0.0,0.0,975196160.0,81100800.0,2992308224.0,46692388864.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,975196160.0,81100800.0,2992308224.0,46692388864.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,975196160.0,81100800.0,2992308224.0,46692388864.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,975196160.0,81100800.0,2992308224.0,46692388864.0
4.210,0.042,95.748,0.0,0.0,0.0,0.0,0.0,975196160.0,81100800.0,2992308224.0,46692388864.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,975196160.0,81100800.0,2992308224.0,46692388864.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,975196160.0,81100800.0,2992308224.0,46692388864.0
4.210,0.042,95.748,0.0,0.0,0.0,0.0,0.0,975196160.0,81100800.0,2992308224.0,46692388864.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,975196160.0,81100800.0,2992308224.0,46692388864.0
4.168,0.042,95.748,0.0,0.0,0.042,0.0,0.0,975204352.0,81100800.0,2992308224.0,46692380672.0
4.170,0.042,95.663,0.125,0.0,0.0,0.0,12288.0,975204352.0,81108992.0,2992300032.0,46692380672.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,975196160.0,81108992.0,2992308224.0,46692380672.0
4.212,0.042,95.746,0.0,0.0,0.0,0.0,0.0,975196160.0,81108992.0,2992308224.0,46692380672.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,975196160.0,81108992.0,2992308224.0,46692380672.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,975196160.0,81108992.0,2992308224.0,46692380672.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,975069184.0,81108992.0,2992308224.0,46692507648.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,975060992.0,81108992.0,2992308224.0,46692515840.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,975060992.0,81108992.0,2992308224.0,46692515840.0
4.210,0.042,95.748,0.0,0.0,0.0,0.0,0.0,975060992.0,81108992.0,2992308224.0,46692515840.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,975060992.0,81108992.0,2992308224.0,46692515840.0


"Host:","compute-431-8.local",,,,"User:","a57779"
"Cmdline:","dstat -cdm --output ep.B.x.csv",,,,"Date:","25 Feb 2016 01:54:25 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
25.161,1.780,73.044,0.012,0.000,0.003,7375.491,218754.210,976224256.0,81108992.0,2992312320.0,46691348480.0
8.372,0.042,91.587,0.0,0.0,0.0,0.0,0.0,976470016.0,81108992.0,2992312320.0,46691102720.0
8.340,0.042,91.618,0.0,0.0,0.0,0.0,0.0,976732160.0,81108992.0,2992312320.0,46690840576.0
8.340,0.042,91.618,0.0,0.0,0.0,0.0,0.0,976732160.0,81108992.0,2992312320.0,46690840576.0
8.347,0.0,91.653,0.0,0.0,0.0,0.0,0.0,976695296.0,81108992.0,2992312320.0,46690877440.0
8.337,0.042,91.622,0.0,0.0,0.0,0.0,0.0,976695296.0,81108992.0,2992312320.0,46690877440.0
8.344,0.042,91.489,0.125,0.0,0.0,0.0,28672.0,976601088.0,81117184.0,2992308224.0,46690967552.0
8.340,0.042,91.618,0.0,0.0,0.0,0.0,0.0,976470016.0,81117184.0,2992312320.0,46691094528.0
8.340,0.042,91.618,0.0,0.0,0.0,0.0,0.0,976465920.0,81117184.0,2992316416.0,46691094528.0
8.340,0.042,91.618,0.0,0.0,0.0,0.0,0.0,976465920.0,81117184.0,2992316416.0,46691094528.0
8.340,0.042,91.618,0.0,0.0,0.0,0.0,0.0,976465920.0,81117184.0,2992316416.0,46691094528.0
8.347,0.0,91.653,0.0,0.0,0.0,0.0,0.0,976465920.0,81117184.0,2992316416.0,46691094528.0
8.340,0.042,91.618,0.0,0.0,0.0,0.0,0.0,976465920.0,81117184.0,2992316416.0,46691094528.0
8.344,0.0,91.656,0.0,0.0,0.0,0.0,0.0,976453632.0,81117184.0,2992316416.0,46691106816.0
8.378,0.042,91.580,0.0,0.0,0.0,0.0,0.0,976453632.0,81117184.0,2992316416.0,46691106816.0
8.340,0.042,91.618,0.0,0.0,0.0,0.0,0.0,976453632.0,81117184.0,2992316416.0,46691106816.0
8.344,0.0,91.656,0.0,0.0,0.0,0.0,0.0,976453632.0,81117184.0,2992316416.0,46691106816.0
8.333,0.042,91.583,0.0,0.0,0.042,0.0,0.0,976461824.0,81117184.0,2992316416.0,46691098624.0
8.340,0.042,91.618,0.0,0.0,0.0,0.0,0.0,976461824.0,81117184.0,2992316416.0,46691098624.0
8.340,0.042,91.618,0.0,0.0,0.0,0.0,8192.0,976461824.0,81117184.0,2992316416.0,46691098624.0
8.375,0.042,91.583,0.0,0.0,0.0,0.0,0.0,976461824.0,81117184.0,2992316416.0,46691098624.0
8.340,0.042,91.618,0.0,0.0,0.0,0.0,0.0,976461824.0,81117184.0,2992316416.0,46691098624.0
8.344,0.0,91.656,0.0,0.0,0.0,0.0,0.0,976461824.0,81117184.0,2992316416.0,46691098624.0
8.337,0.083,91.580,0.0,0.0,0.0,0.0,0.0,976461824.0,81117184.0,2992316416.0,46691098624.0
8.344,0.0,91.531,0.125,0.0,0.0,0.0,16384.0,976453632.0,81125376.0,2992316416.0,46691098624.0
8.378,0.042,91.580,0.0,0.0,0.0,0.0,0.0,976453632.0,81125376.0,2992316416.0,46691098624.0
8.340,0.042,91.618,0.0,0.0,0.0,0.0,0.0,976445440.0,81125376.0,2992316416.0,46691106816.0
8.344,0.0,91.656,0.0,0.0,0.0,0.0,0.0,976445440.0,81125376.0,2992316416.0,46691106816.0
8.344,0.042,91.615,0.0,0.0,0.0,0.0,0.0,976445440.0,81125376.0,2992316416.0,46691106816.0
8.344,0.0,91.656,0.0,0.0,0.0,0.0,0.0,976445440.0,81125376.0,2992316416.0,46691106816.0
8.340,0.042,91.618,0.0,0.0,0.0,0.0,0.0,976445440.0,81125376.0,2992316416.0,46691106816.0
8.344,0.0,91.656,0.0,0.0,0.0,0.0,0.0,976445440.0,81125376.0,2992316416.0,46691106816.0
8.375,0.083,91.542,0.0,0.0,0.0,0.0,0.0,976445440.0,81125376.0,2992316416.0,46691106816.0
8.344,0.0,91.656,0.0,0.0,0.0,0.0,0.0,976445440.0,81125376.0,2992316416.0,46691106816.0
8.340,0.042,91.618,0.0,0.0,0.0,0.0,0.0,976445440.0,81125376.0,2992316416.0,46691106816.0
8.347,0.0,91.653,0.0,0.0,0.0,0.0,0.0,976445440.0,81125376.0,2992316416.0,46691106816.0
8.340,0.042,91.618,0.0,0.0,0.0,0.0,0.0,976445440.0,81125376.0,2992316416.0,46691106816.0
8.340,0.042,91.618,0.0,0.0,0.0,0.0,0.0,976445440.0,81125376.0,2992316416.0,46691106816.0
8.344,0.042,91.615,0.0,0.0,0.0,0.0,0.0,976445440.0,81125376.0,2992316416.0,46691106816.0


"Host:","compute-431-8.local",,,,"User:","a57779"
"Cmdline:","dstat -cdm --output ep.B.x.csv",,,,"Date:","25 Feb 2016 01:55:05 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
