"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-431-8.local",,,,"User:","a57779"
"Cmdline:","dstat -cdm --output ep.A.x.csv",,,,"Date:","25 Feb 2016 00:27:03 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
25.164,1.780,73.041,0.012,0.000,0.003,7377.016,218799.245,975421440.0,79556608.0,2992160768.0,46693855232.0
4.207,0.042,95.752,0.0,0.0,0.0,0.0,0.0,975532032.0,79556608.0,2992168960.0,46693736448.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,975638528.0,79556608.0,2992189440.0,46693609472.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,975638528.0,79556608.0,2992189440.0,46693609472.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,975384576.0,79556608.0,2992189440.0,46693863424.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,975196160.0,79556608.0,2992189440.0,46694051840.0
4.174,0.0,95.701,0.125,0.0,0.0,0.0,24576.0,975187968.0,79564800.0,2992189440.0,46694051840.0
4.212,0.042,95.746,0.0,0.0,0.0,0.0,0.0,975028224.0,79564800.0,2992189440.0,46694211584.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,974901248.0,79564800.0,2992189440.0,46694338560.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,974888960.0,79564800.0,2992189440.0,46694350848.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,974753792.0,79564800.0,2992189440.0,46694486016.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,974626816.0,79564800.0,2992189440.0,46694612992.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,974483456.0,79564800.0,2992189440.0,46694756352.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,974356480.0,79564800.0,2992189440.0,46694883328.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,974344192.0,79564800.0,2992189440.0,46694895616.0
4.212,0.042,95.746,0.0,0.0,0.0,0.0,0.0,974344192.0,79564800.0,2992189440.0,46694895616.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,974217216.0,79564800.0,2992189440.0,46695022592.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,974090240.0,79564800.0,2992189440.0,46695149568.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,974090240.0,79564800.0,2992189440.0,46695149568.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,973983744.0,79564800.0,2992189440.0,46695256064.0


"Host:","compute-431-8.local",,,,"User:","a57779"
"Cmdline:","dstat -cdm --output ep.A.x.csv",,,,"Date:","25 Feb 2016 00:27:24 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
25.164,1.780,73.041,0.012,0.000,0.003,7377.009,218799.063,975273984.0,79564800.0,2992193536.0,46693961728.0
8.330,0.042,91.628,0.0,0.0,0.0,0.0,0.0,975282176.0,79564800.0,2992193536.0,46693953536.0
8.340,0.042,91.618,0.0,0.0,0.0,0.0,0.0,975400960.0,79564800.0,2992193536.0,46693834752.0
8.344,0.0,91.656,0.0,0.0,0.0,0.0,0.0,975400960.0,79564800.0,2992193536.0,46693834752.0
8.378,0.042,91.580,0.0,0.0,0.0,0.0,0.0,975183872.0,79564800.0,2992193536.0,46694051840.0
8.340,0.042,91.618,0.0,0.0,0.0,0.0,0.0,975056896.0,79564800.0,2992193536.0,46694178816.0
8.340,0.042,91.493,0.125,0.0,0.0,0.0,20480.0,975056896.0,79572992.0,2992185344.0,46694178816.0
8.340,0.0,91.660,0.0,0.0,0.0,0.0,0.0,975040512.0,79572992.0,2992185344.0,46694195200.0
8.340,0.042,91.618,0.0,0.0,0.0,0.0,0.0,975159296.0,79572992.0,2992193536.0,46694068224.0
8.340,0.042,91.618,0.0,0.0,0.0,0.0,0.0,975159296.0,79572992.0,2992193536.0,46694068224.0


"Host:","compute-431-8.local",,,,"User:","a57779"
"Cmdline:","dstat -cdm --output ep.A.x.csv",,,,"Date:","25 Feb 2016 00:27:36 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
25.164,1.780,73.041,0.012,0.000,0.003,7377.006,218798.963,978571264.0,79572992.0,2992193536.0,46690656256.0
16.667,0.042,83.292,0.0,0.0,0.0,0.0,0.0,978554880.0,79572992.0,2992193536.0,46690672640.0
16.708,0.042,83.250,0.0,0.0,0.0,0.0,0.0,978554880.0,79572992.0,2992193536.0,46690672640.0
16.688,0.0,83.312,0.0,0.0,0.0,0.0,0.0,978554880.0,79572992.0,2992193536.0,46690672640.0
16.681,0.042,83.278,0.0,0.0,0.0,0.0,4096.0,978554880.0,79572992.0,2992193536.0,46690672640.0


"Host:","compute-431-8.local",,,,"User:","a57779"
"Cmdline:","dstat -cdm --output ep.A.x.csv",,,,"Date:","25 Feb 2016 00:27:43 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
25.164,1.780,73.041,0.012,0.000,0.003,7377.004,218798.905,983445504.0,79581184.0,2992193536.0,46685773824.0
33.375,0.0,66.625,0.0,0.0,0.0,0.0,0.0,983969792.0,79581184.0,2992193536.0,46685249536.0
33.361,0.042,66.597,0.0,0.0,0.0,0.0,0.0,984092672.0,79581184.0,2992197632.0,46685122560.0


"Host:","compute-431-8.local",,,,"User:","a57779"
"Cmdline:","dstat -cdm --output ep.A.x.csv",,,,"Date:","25 Feb 2016 00:27:47 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
25.164,1.780,73.041,0.012,0.000,0.003,7377.003,218798.866,986677248.0,79581184.0,2992201728.0,46682533888.0
41.691,0.042,58.142,0.125,0.0,0.0,0.0,20480.0,987070464.0,79589376.0,2992197632.0,46682136576.0
41.719,0.0,58.281,0.0,0.0,0.0,0.0,0.0,986939392.0,79589376.0,2992201728.0,46682263552.0


"Host:","compute-431-8.local",,,,"User:","a57779"
"Cmdline:","dstat -cdm --output ep.A.x.csv",,,,"Date:","25 Feb 2016 00:27:51 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
25.164,1.780,73.041,0.012,0.000,0.003,7377.001,218798.830,989630464.0,79589376.0,2992201728.0,46679572480.0
50.0,0.042,49.958,0.0,0.0,0.0,0.0,0.0,989884416.0,79589376.0,2992201728.0,46679318528.0
40.733,0.042,59.225,0.0,0.0,0.0,0.0,0.0,990011392.0,79589376.0,2992201728.0,46679191552.0


"Host:","compute-431-8.local",,,,"User:","a57779"
"Cmdline:","dstat -cdm --output ep.A.x.csv",,,,"Date:","25 Feb 2016 00:27:56 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
25.164,1.780,73.041,0.012,0.000,0.003,7377.000,218798.793,994488320.0,79589376.0,2992201728.0,46674714624.0
66.681,0.042,33.278,0.0,0.0,0.0,0.0,0.0,994615296.0,79589376.0,2992201728.0,46674587648.0


"Host:","compute-431-8.local",,,,"User:","a57779"
"Cmdline:","dstat -cdm --output ep.A.x.csv",,,,"Date:","25 Feb 2016 00:27:59 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
25.164,1.780,73.041,0.012,0.000,0.003,7376.999,218798.762,1004716032.0,79597568.0,2992205824.0,46664474624.0
93.750,0.042,6.208,0.0,0.0,0.0,0.0,0.0,1004589056.0,79597568.0,2992205824.0,46664601600.0


"Host:","compute-431-8.local",,,,"User:","a57779"
"Cmdline:","dstat -cdm --output ep.A.x.csv",,,,"Date:","25 Feb 2016 00:28:03 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
25.164,1.780,73.041,0.012,0.000,0.003,7376.998,218798.732,1015746560.0,79597568.0,2992205824.0,46653444096.0
74.625,0.0,25.375,0.0,0.0,0.0,0.0,0.0,1016025088.0,79597568.0,2992205824.0,46653165568.0
