"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-641-14.local",,,,"User:","a57779"
"Cmdline:","dstat -cdm --output cg.C.x.csv",,,,"Date:","25 Feb 2016 01:36:40 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
45.788,3.681,50.500,0.023,0.000,0.007,165620.371,614491.241,982556672.0,9519104.0,40669184.0,66625880064.0
2.780,0.406,96.814,0.0,0.0,0.0,0.0,0.0,1463824384.0,9519104.0,40673280.0,66144608256.0
3.127,0.063,96.811,0.0,0.0,0.0,0.0,0.0,1464213504.0,9519104.0,40673280.0,66144219136.0
3.158,0.063,96.779,0.0,0.0,0.0,0.0,0.0,1464442880.0,9519104.0,40697856.0,66143965184.0
3.127,0.094,96.779,0.0,0.0,0.0,0.0,0.0,1464307712.0,9519104.0,40697856.0,66144100352.0
3.130,0.063,96.808,0.0,0.0,0.0,0.0,0.0,1464172544.0,9519104.0,40697856.0,66144235520.0
3.131,0.063,96.807,0.0,0.0,0.0,0.0,20480.0,1463922688.0,9527296.0,40693760.0,66144481280.0
3.160,0.063,96.777,0.0,0.0,0.0,0.0,0.0,1463861248.0,9527296.0,40697856.0,66144538624.0
3.128,0.063,96.810,0.0,0.0,0.0,0.0,0.0,1463762944.0,9527296.0,40697856.0,66144636928.0
3.131,0.094,96.775,0.0,0.0,0.0,0.0,0.0,1463762944.0,9527296.0,40697856.0,66144636928.0
3.130,0.063,96.808,0.0,0.0,0.0,0.0,0.0,1463697408.0,9527296.0,40697856.0,66144702464.0
3.162,0.063,96.775,0.0,0.0,0.0,0.0,0.0,1463689216.0,9527296.0,40697856.0,66144710656.0
3.164,0.094,96.742,0.0,0.0,0.0,0.0,0.0,1463361536.0,9527296.0,40697856.0,66145038336.0
3.132,0.063,96.806,0.0,0.0,0.0,0.0,0.0,1463308288.0,9527296.0,40697856.0,66145091584.0
3.133,0.063,96.805,0.0,0.0,0.0,0.0,4096.0,1463308288.0,9527296.0,40697856.0,66145091584.0
2.849,0.376,96.775,0.0,0.0,0.0,0.0,0.0,1881329664.0,9527296.0,40697856.0,65727070208.0
3.132,0.063,96.774,0.0,0.0,0.031,0.0,0.0,1904332800.0,9527296.0,40697856.0,65704067072.0
3.129,0.094,96.777,0.0,0.0,0.0,0.0,0.0,1904340992.0,9527296.0,40697856.0,65704058880.0
3.130,0.063,96.808,0.0,0.0,0.0,0.0,0.0,1904214016.0,9527296.0,40697856.0,65704185856.0
3.159,0.063,96.778,0.0,0.0,0.0,0.0,0.0,1904214016.0,9527296.0,40697856.0,65704185856.0
3.130,0.063,96.808,0.0,0.0,0.0,0.0,0.0,1904214016.0,9527296.0,40697856.0,65704185856.0
3.160,0.063,96.777,0.0,0.0,0.0,0.0,0.0,1904214016.0,9527296.0,40697856.0,65704185856.0
3.130,0.063,96.808,0.0,0.0,0.0,0.0,0.0,1904214016.0,9527296.0,40697856.0,65704185856.0
3.130,0.063,96.808,0.0,0.0,0.0,0.0,0.0,1904214016.0,9527296.0,40697856.0,65704185856.0
3.130,0.063,96.808,0.0,0.0,0.0,0.0,0.0,1904214016.0,9527296.0,40697856.0,65704185856.0
3.162,0.063,96.775,0.0,0.0,0.0,0.0,0.0,1904214016.0,9527296.0,40697856.0,65704185856.0
3.132,0.063,96.806,0.0,0.0,0.0,0.0,0.0,1904214016.0,9527296.0,40697856.0,65704185856.0
3.131,0.063,96.807,0.0,0.0,0.0,0.0,0.0,1904222208.0,9527296.0,40697856.0,65704177664.0
3.130,0.063,96.808,0.0,0.0,0.0,0.0,0.0,1904205824.0,9527296.0,40697856.0,65704194048.0
3.160,0.063,96.777,0.0,0.0,0.0,0.0,0.0,1904332800.0,9527296.0,40697856.0,65704067072.0
3.131,0.063,96.807,0.0,0.0,0.0,0.0,0.0,1904205824.0,9527296.0,40697856.0,65704194048.0
3.130,0.063,96.808,0.0,0.0,0.0,0.0,0.0,1904214016.0,9527296.0,40697856.0,65704185856.0
3.129,0.063,96.809,0.0,0.0,0.0,0.0,0.0,1904467968.0,9527296.0,40697856.0,65703931904.0
