"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-431-8.local",,,,"User:","a57779"
"Cmdline:","dstat -cdm --output ep.A.x.csv",,,,"Date:","25 Feb 2016 03:24:34 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
25.160,1.779,73.046,0.012,0.000,0.003,7373.937,218707.836,976244736.0,83226624.0,3001843712.0,46679678976.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,976470016.0,83226624.0,3001872384.0,46679425024.0
4.212,0.0,95.788,0.0,0.0,0.0,0.0,0.0,976588800.0,83226624.0,3001872384.0,46679306240.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,976588800.0,83226624.0,3001872384.0,46679306240.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,976453632.0,83226624.0,3001872384.0,46679441408.0
4.168,0.042,95.748,0.0,0.0,0.042,0.0,0.0,976326656.0,83226624.0,3001872384.0,46679568384.0
4.170,0.042,95.580,0.209,0.0,0.0,0.0,20480.0,976322560.0,83234816.0,3001868288.0,46679568384.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,976195584.0,83234816.0,3001868288.0,46679695360.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,976142336.0,83234816.0,3001872384.0,46679744512.0
4.170,0.0,95.788,0.0,0.0,0.042,0.0,0.0,975998976.0,83234816.0,3001872384.0,46679887872.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,975863808.0,83234816.0,3001872384.0,46680023040.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,975863808.0,83234816.0,3001872384.0,46680023040.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,975736832.0,83234816.0,3001872384.0,46680150016.0
4.214,0.083,95.703,0.0,0.0,0.0,0.0,0.0,975609856.0,83234816.0,3001872384.0,46680276992.0
4.167,0.083,95.750,0.0,0.0,0.0,0.0,0.0,975609856.0,83234816.0,3001872384.0,46680276992.0
4.172,0.0,95.703,0.125,0.0,0.0,0.0,24576.0,975609856.0,83243008.0,3001864192.0,46680276992.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,975601664.0,83243008.0,3001872384.0,46680276992.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,975474688.0,83243008.0,3001872384.0,46680403968.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,975474688.0,83243008.0,3001872384.0,46680403968.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,975351808.0,83243008.0,3001872384.0,46680526848.0


"Host:","compute-431-8.local",,,,"User:","a57779"
"Cmdline:","dstat -cdm --output ep.A.x.csv",,,,"Date:","25 Feb 2016 03:24:56 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
25.160,1.779,73.046,0.012,0.000,0.003,7373.931,218707.656,976912384.0,83243008.0,3001876480.0,46678962176.0
8.372,0.042,91.587,0.0,0.0,0.0,0.0,0.0,977039360.0,83243008.0,3001876480.0,46678835200.0
8.340,0.0,91.660,0.0,0.0,0.0,0.0,0.0,976904192.0,83243008.0,3001876480.0,46678970368.0
8.340,0.042,91.618,0.0,0.0,0.0,0.0,0.0,976904192.0,83243008.0,3001876480.0,46678970368.0
8.344,0.042,91.615,0.0,0.0,0.0,0.0,0.0,976900096.0,83243008.0,3001876480.0,46678974464.0
8.337,0.042,91.622,0.0,0.0,0.0,0.0,0.0,976773120.0,83243008.0,3001876480.0,46679101440.0
8.344,0.0,91.448,0.209,0.0,0.0,0.0,20480.0,976773120.0,83251200.0,3001868288.0,46679101440.0
8.337,0.083,91.580,0.0,0.0,0.0,0.0,0.0,976756736.0,83251200.0,3001876480.0,46679109632.0
8.340,0.042,91.618,0.0,0.0,0.0,0.0,0.0,976629760.0,83251200.0,3001876480.0,46679236608.0
8.378,0.0,91.622,0.0,0.0,0.0,0.0,0.0,976502784.0,83251200.0,3001876480.0,46679363584.0


"Host:","compute-431-8.local",,,,"User:","a57779"
"Cmdline:","dstat -cdm --output ep.A.x.csv",,,,"Date:","25 Feb 2016 03:25:07 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
25.160,1.779,73.046,0.012,0.000,0.003,7373.928,218707.556,978440192.0,83251200.0,3001876480.0,46677426176.0
16.667,0.042,83.125,0.167,0.0,0.0,0.0,24576.0,978694144.0,83259392.0,3001868288.0,46677172224.0
16.708,0.042,83.250,0.0,0.0,0.0,0.0,0.0,978628608.0,83259392.0,3001876480.0,46677229568.0
16.681,0.042,83.278,0.0,0.0,0.0,0.0,0.0,978628608.0,83259392.0,3001876480.0,46677229568.0
16.681,0.0,83.278,0.0,0.0,0.042,0.0,0.0,978628608.0,83259392.0,3001876480.0,46677229568.0


"Host:","compute-431-8.local",,,,"User:","a57779"
"Cmdline:","dstat -cdm --output ep.A.x.csv",,,,"Date:","25 Feb 2016 03:25:14 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
25.160,1.779,73.046,0.012,0.000,0.003,7373.926,218707.499,984023040.0,83259392.0,3001880576.0,46671831040.0
33.375,0.0,66.625,0.0,0.0,0.0,0.0,0.0,984285184.0,83259392.0,3001880576.0,46671568896.0
33.361,0.042,66.597,0.0,0.0,0.0,0.0,0.0,984285184.0,83259392.0,3001880576.0,46671568896.0


"Host:","compute-431-8.local",,,,"User:","a57779"
"Cmdline:","dstat -cdm --output ep.A.x.csv",,,,"Date:","25 Feb 2016 03:25:19 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
25.160,1.779,73.046,0.012,0.000,0.003,7373.924,218707.460,987176960.0,83267584.0,3001884672.0,46668664832.0
41.726,0.042,58.233,0.0,0.0,0.0,0.0,0.0,987574272.0,83267584.0,3001884672.0,46668267520.0
41.660,0.042,58.257,0.0,0.0,0.042,0.0,0.0,987447296.0,83267584.0,3001884672.0,46668394496.0


"Host:","compute-431-8.local",,,,"User:","a57779"
"Cmdline:","dstat -cdm --output ep.A.x.csv",,,,"Date:","25 Feb 2016 03:25:23 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
25.160,1.779,73.046,0.012,0.000,0.003,7373.923,218707.424,990756864.0,83267584.0,3001884672.0,46665084928.0
50.021,0.083,49.896,0.0,0.0,0.0,0.0,0.0,990765056.0,83267584.0,3001884672.0,46665076736.0
42.470,0.0,57.447,0.083,0.0,0.0,0.0,28672.0,990887936.0,83275776.0,3001880576.0,46664949760.0


"Host:","compute-431-8.local",,,,"User:","a57779"
"Cmdline:","dstat -cdm --output ep.A.x.csv",,,,"Date:","25 Feb 2016 03:25:27 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
25.160,1.779,73.046,0.012,0.000,0.003,7373.922,218707.390,994463744.0,83275776.0,3001884672.0,46661369856.0
62.432,0.0,37.568,0.0,0.0,0.0,0.0,0.0,994742272.0,83275776.0,3001884672.0,46661091328.0
35.848,0.042,64.110,0.0,0.0,0.0,0.0,0.0,994869248.0,83275776.0,3001884672.0,46660964352.0


"Host:","compute-431-8.local",,,,"User:","a57779"
"Cmdline:","dstat -cdm --output ep.A.x.csv",,,,"Date:","25 Feb 2016 03:25:31 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
25.160,1.779,73.046,0.012,0.000,0.003,7373.921,218707.354,1003732992.0,83275776.0,3001888768.0,46652096512.0
91.875,0.0,8.125,0.0,0.0,0.0,0.0,16384.0,1003999232.0,83283968.0,3001884672.0,46651826176.0


"Host:","compute-431-8.local",,,,"User:","a57779"
"Cmdline:","dstat -cdm --output ep.A.x.csv",,,,"Date:","25 Feb 2016 03:25:34 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
25.160,1.779,73.046,0.012,0.000,0.003,7373.920,218707.325,1012576256.0,83283968.0,3001888768.0,46643245056.0
95.212,0.0,4.788,0.0,0.0,0.0,0.0,0.0,1012719616.0,83283968.0,3001888768.0,46643101696.0
