"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-431-8.local",,,,"User:","a57779"
"Cmdline:","dstat -cdm --output ep.B.x.csv",,,,"Date:","25 Feb 2016 03:25:38 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
25.160,1.779,73.046,0.012,0.000,0.003,7373.919,218707.296,980983808.0,83283968.0,3001888768.0,46674837504.0
4.167,0.042,95.792,0.0,0.0,0.0,0.0,0.0,980963328.0,83283968.0,3001909248.0,46674837504.0
4.172,0.0,95.786,0.0,0.0,0.042,0.0,0.0,980828160.0,83283968.0,3001917440.0,46674964480.0
4.170,0.042,95.663,0.125,0.0,0.0,0.0,20480.0,980815872.0,83292160.0,3001913344.0,46674972672.0
4.210,0.042,95.748,0.0,0.0,0.0,0.0,0.0,980684800.0,83292160.0,3001917440.0,46675099648.0
4.168,0.042,95.748,0.0,0.0,0.042,0.0,0.0,980074496.0,83292160.0,3001917440.0,46675709952.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,979656704.0,83292160.0,3001917440.0,46676127744.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,979529728.0,83292160.0,3001917440.0,46676254720.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,979353600.0,83292160.0,3001917440.0,46676430848.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,979243008.0,83292160.0,3001917440.0,46676541440.0
4.210,0.0,95.748,0.0,0.0,0.042,0.0,0.0,979087360.0,83292160.0,3001917440.0,46676697088.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,978706432.0,83292160.0,3001917440.0,46677078016.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,978452480.0,83292160.0,3001917440.0,46677331968.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,978452480.0,83292160.0,3001917440.0,46677331968.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,978325504.0,83292160.0,3001917440.0,46677458944.0
4.210,0.042,95.707,0.0,0.0,0.042,0.0,0.0,978198528.0,83292160.0,3001917440.0,46677585920.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,978198528.0,83292160.0,3001917440.0,46677585920.0
4.168,0.042,95.748,0.0,0.0,0.042,0.0,0.0,977711104.0,83292160.0,3001917440.0,46678073344.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,977457152.0,83292160.0,3001917440.0,46678327296.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,977457152.0,83292160.0,3001917440.0,46678327296.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,977358848.0,83292160.0,3001917440.0,46678425600.0
4.210,0.042,95.748,0.0,0.0,0.0,0.0,0.0,977231872.0,83292160.0,3001917440.0,46678552576.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,4096.0,977231872.0,83292160.0,3001917440.0,46678552576.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,976986112.0,83292160.0,3001917440.0,46678798336.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,976719872.0,83292160.0,3001917440.0,46679064576.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,976711680.0,83292160.0,3001917440.0,46679072768.0
4.212,0.0,95.788,0.0,0.0,0.0,0.0,0.0,976711680.0,83292160.0,3001917440.0,46679072768.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,976707584.0,83292160.0,3001917440.0,46679076864.0
4.174,0.042,95.785,0.0,0.0,0.0,0.0,0.0,976707584.0,83292160.0,3001917440.0,46679076864.0
4.168,0.042,95.790,0.0,0.0,0.0,0.0,0.0,976457728.0,83292160.0,3001917440.0,46679326720.0
4.168,0.042,95.748,0.0,0.0,0.042,0.0,0.0,976330752.0,83292160.0,3001917440.0,46679453696.0
4.212,0.042,95.746,0.0,0.0,0.0,0.0,0.0,976330752.0,83292160.0,3001917440.0,46679453696.0
