"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-431-8.local",,,,"User:","a57779"
"Cmdline:","dstat -cdm --output ep.C.x.csv",,,,"Date:","25 Feb 2016 03:28:57 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
25.160,1.779,73.046,0.012,0.000,0.003,7373.861,218705.589,977854464.0,83374080.0,3001954304.0,46677811200.0
4.207,0.042,95.752,0.0,0.0,0.0,0.0,0.0,977838080.0,83374080.0,3001958400.0,46677823488.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,977690624.0,83374080.0,3001978880.0,46677950464.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,977678336.0,83374080.0,3001978880.0,46677962752.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,977580032.0,83374080.0,3001978880.0,46678061056.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,977391616.0,83374080.0,3001978880.0,46678249472.0
4.172,0.042,95.703,0.083,0.0,0.0,0.0,20480.0,977264640.0,83382272.0,3001970688.0,46678376448.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,977256448.0,83382272.0,3001978880.0,46678376448.0
4.212,0.042,95.746,0.0,0.0,0.0,0.0,0.0,977252352.0,83382272.0,3001978880.0,46678380544.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,977252352.0,83382272.0,3001978880.0,46678380544.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,977100800.0,83382272.0,3001978880.0,46678532096.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,976973824.0,83382272.0,3001978880.0,46678659072.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,976846848.0,83382272.0,3001978880.0,46678786048.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,976830464.0,83382272.0,3001978880.0,46678802432.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,976830464.0,83382272.0,3001978880.0,46678802432.0
4.214,0.0,95.786,0.0,0.0,0.0,0.0,0.0,976830464.0,83382272.0,3001978880.0,46678802432.0
4.170,0.083,95.746,0.0,0.0,0.0,0.0,0.0,976957440.0,83382272.0,3001978880.0,46678675456.0
4.175,0.0,95.825,0.0,0.0,0.0,0.0,0.0,976830464.0,83382272.0,3001978880.0,46678802432.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,976687104.0,83382272.0,3001978880.0,46678945792.0
