"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-641-1.local",,,,"User:","a57779"
"Cmdline:","dstat -cdm --output cg.B.x.csv",,,,"Date:","25 Feb 2016 03:48:15 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
49.984,5.459,44.426,0.098,0.000,0.032,179938.739,548212.252,880693248.0,55156736.0,52924416.0,66669760512.0
3.031,0.188,96.781,0.0,0.0,0.0,0.0,0.0,1055436800.0,55156736.0,52957184.0,66494984192.0
3.127,0.094,96.779,0.0,0.0,0.0,0.0,0.0,1055567872.0,55156736.0,52961280.0,66494849024.0
3.127,0.094,96.779,0.0,0.0,0.0,0.0,0.0,1055567872.0,55156736.0,52961280.0,66494849024.0
3.158,0.063,96.185,0.594,0.0,0.0,0.0,36864.0,1055436800.0,55164928.0,52957184.0,66494976000.0
3.001,0.219,96.780,0.0,0.0,0.0,0.0,0.0,1225236480.0,55164928.0,52961280.0,66325172224.0
3.128,0.063,96.810,0.0,0.0,0.0,0.0,0.0,1225162752.0,55164928.0,52961280.0,66325245952.0
3.158,0.063,96.779,0.0,0.0,0.0,0.0,0.0,1224511488.0,55164928.0,52961280.0,66325897216.0
3.131,0.063,96.807,0.0,0.0,0.0,0.0,0.0,1223852032.0,55164928.0,52961280.0,66326556672.0
3.130,0.063,96.182,0.626,0.0,0.0,0.0,204800.0,1221627904.0,55173120.0,52953088.0,66328780800.0
3.130,0.063,96.808,0.0,0.0,0.0,0.0,0.0,1221509120.0,55173120.0,52953088.0,66328899584.0
3.160,0.063,96.746,0.0,0.0,0.031,0.0,0.0,1221373952.0,55173120.0,52961280.0,66329026560.0
3.131,0.063,96.807,0.0,0.0,0.0,0.0,0.0,1221365760.0,55173120.0,52961280.0,66329034752.0
3.131,0.094,96.775,0.0,0.0,0.0,0.0,0.0,1220796416.0,55173120.0,52961280.0,66329604096.0
3.129,0.094,96.777,0.0,0.0,0.0,0.0,0.0,1220542464.0,55173120.0,52961280.0,66329858048.0
3.159,0.094,96.747,0.0,0.0,0.0,0.0,0.0,1220198400.0,55173120.0,52961280.0,66330202112.0
3.130,0.063,96.808,0.0,0.0,0.0,0.0,0.0,1220198400.0,55173120.0,52961280.0,66330202112.0
3.129,0.094,96.777,0.0,0.0,0.0,0.0,0.0,1220071424.0,55173120.0,52961280.0,66330329088.0
