"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-641-14.local",,,,"User:","a57779"
"Cmdline:","dstat -cdm --output ep.C.x.csv",,,,"Date:","25 Feb 2016 03:26:55 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
45.780,3.681,50.510,0.023,0.000,0.007,165577.616,614332.906,803160064.0,12001280.0,50216960.0,66793246720.0
3.157,0.094,96.749,0.0,0.0,0.0,0.0,0.0,803418112.0,12001280.0,50229248.0,66792976384.0
3.128,0.125,96.747,0.0,0.0,0.0,0.0,0.0,803418112.0,12001280.0,50229248.0,66792976384.0
3.129,0.094,96.777,0.0,0.0,0.0,0.0,0.0,803155968.0,12001280.0,50229248.0,66793238528.0
3.158,0.125,96.717,0.0,0.0,0.0,0.0,0.0,803155968.0,12001280.0,50229248.0,66793238528.0
3.130,0.094,96.776,0.0,0.0,0.0,0.0,0.0,802689024.0,12001280.0,50229248.0,66793705472.0
3.129,0.094,96.777,0.0,0.0,0.0,0.0,20480.0,802435072.0,12009472.0,50221056.0,66793959424.0
3.160,0.094,96.746,0.0,0.0,0.0,0.0,0.0,802426880.0,12009472.0,50229248.0,66793959424.0
3.130,0.063,96.808,0.0,0.0,0.0,0.0,0.0,802299904.0,12009472.0,50229248.0,66794086400.0
3.129,0.094,96.777,0.0,0.0,0.0,0.0,0.0,801742848.0,12009472.0,50229248.0,66794643456.0
3.130,0.063,96.808,0.0,0.0,0.0,0.0,0.0,801742848.0,12009472.0,50229248.0,66794643456.0
3.160,0.094,96.746,0.0,0.0,0.0,0.0,0.0,801488896.0,12009472.0,50229248.0,66794897408.0
3.131,0.094,96.775,0.0,0.0,0.0,0.0,0.0,801308672.0,12009472.0,50229248.0,66795077632.0
3.160,0.063,96.777,0.0,0.0,0.0,0.0,0.0,801730560.0,12009472.0,50229248.0,66794655744.0
3.131,0.031,96.838,0.0,0.0,0.0,0.0,0.0,801595392.0,12009472.0,50229248.0,66794790912.0
3.130,0.094,96.776,0.0,0.0,0.0,0.0,0.0,801468416.0,12009472.0,50229248.0,66794917888.0
3.129,0.063,96.809,0.0,0.0,0.0,0.0,0.0,801341440.0,12009472.0,50229248.0,66795044864.0
3.132,0.063,96.806,0.0,0.0,0.0,0.0,0.0,801284096.0,12009472.0,50229248.0,66795102208.0
3.128,0.094,96.778,0.0,0.0,0.0,0.0,0.0,801148928.0,12009472.0,50229248.0,66795237376.0
3.161,0.063,96.776,0.0,0.0,0.0,0.0,0.0,801148928.0,12009472.0,50229248.0,66795237376.0
3.130,0.063,96.808,0.0,0.0,0.0,0.0,0.0,801148928.0,12009472.0,50229248.0,66795237376.0
3.131,0.063,96.807,0.0,0.0,0.0,0.0,0.0,801021952.0,12009472.0,50229248.0,66795364352.0
3.129,0.094,96.777,0.0,0.0,0.0,0.0,0.0,800940032.0,12009472.0,50229248.0,66795446272.0
3.159,0.094,96.747,0.0,0.0,0.0,0.0,0.0,800948224.0,12009472.0,50229248.0,66795438080.0
3.130,0.063,96.808,0.0,0.0,0.0,0.0,0.0,800940032.0,12009472.0,50229248.0,66795446272.0
3.129,0.094,96.777,0.0,0.0,0.0,0.0,0.0,800878592.0,12009472.0,50229248.0,66795507712.0
3.132,0.031,96.837,0.0,0.0,0.0,0.0,12288.0,800878592.0,12017664.0,50221056.0,66795507712.0
3.130,0.063,96.808,0.0,0.0,0.0,0.0,0.0,800870400.0,12017664.0,50229248.0,66795507712.0
3.130,0.063,96.808,0.0,0.0,0.0,0.0,0.0,800870400.0,12017664.0,50229248.0,66795507712.0
3.161,0.031,96.808,0.0,0.0,0.0,0.0,0.0,800870400.0,12017664.0,50229248.0,66795507712.0
3.129,0.094,96.777,0.0,0.0,0.0,0.0,8192.0,800870400.0,12017664.0,50229248.0,66795507712.0
3.131,0.063,96.807,0.0,0.0,0.0,0.0,0.0,800743424.0,12017664.0,50229248.0,66795634688.0
3.129,0.094,96.777,0.0,0.0,0.0,0.0,0.0,800616448.0,12017664.0,50229248.0,66795761664.0
