"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-641-14.local",,,,"User:","a57779"
"Cmdline:","dstat -cdm --output is.C.x.csv",,,,"Date:","25 Feb 2016 03:39:37 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
45.779,3.680,50.511,0.023,0.000,0.007,165575.044,614314.997,866119680.0,57884672.0,65191936.0,66669428736.0
3.128,0.063,96.810,0.0,0.0,0.0,0.0,0.0,895344640.0,57884672.0,65208320.0,66640187392.0
3.101,0.094,96.806,0.0,0.0,0.0,0.0,0.0,924827648.0,57884672.0,65208320.0,66610704384.0
3.129,0.063,96.809,0.0,0.0,0.0,0.0,4096.0,951578624.0,57884672.0,65208320.0,66583953408.0
3.131,0.125,96.744,0.0,0.0,0.0,0.0,0.0,980807680.0,57884672.0,65208320.0,66554724352.0
3.099,0.188,96.714,0.0,0.0,0.0,0.0,0.0,1009913856.0,57884672.0,65208320.0,66525618176.0
3.131,0.094,96.775,0.0,0.0,0.0,0.0,16384.0,1038376960.0,57892864.0,65200128.0,66497155072.0
3.131,0.094,96.775,0.0,0.0,0.0,0.0,0.0,1066688512.0,57892864.0,65208320.0,66468835328.0
3.101,0.094,96.806,0.0,0.0,0.0,0.0,0.0,1095532544.0,57892864.0,65208320.0,66439991296.0
3.131,0.094,96.775,0.0,0.0,0.0,0.0,0.0,1122648064.0,57892864.0,65208320.0,66412875776.0
3.102,0.063,96.836,0.0,0.0,0.0,0.0,0.0,1151365120.0,57892864.0,65208320.0,66384158720.0
3.101,0.094,96.806,0.0,0.0,0.0,0.0,0.0,1180573696.0,57892864.0,65208320.0,66354950144.0
3.131,0.094,96.775,0.0,0.0,0.0,0.0,0.0,1209790464.0,57892864.0,65208320.0,66325733376.0
3.131,0.125,96.744,0.0,0.0,0.0,0.0,16384.0,1238724608.0,57892864.0,65208320.0,66296799232.0
3.101,0.094,96.806,0.0,0.0,0.0,0.0,0.0,1265860608.0,57892864.0,65208320.0,66269663232.0
3.130,0.156,96.714,0.0,0.0,0.0,0.0,0.0,1294921728.0,57892864.0,65208320.0,66240602112.0
3.129,0.031,96.840,0.0,0.0,0.0,0.0,0.0,1323900928.0,57892864.0,65208320.0,66211622912.0
3.099,0.094,96.808,0.0,0.0,0.0,0.0,0.0,1353134080.0,57892864.0,65208320.0,66182389760.0
3.131,0.125,96.744,0.0,0.0,0.0,0.0,0.0,1382502400.0,57892864.0,65208320.0,66153021440.0
2.757,0.439,96.805,0.0,0.0,0.0,0.0,0.0,1932832768.0,57892864.0,65208320.0,65602691072.0
3.132,0.063,96.806,0.0,0.0,0.0,0.0,0.0,1932705792.0,57892864.0,65208320.0,65602818048.0
3.130,0.125,96.745,0.0,0.0,0.0,0.0,0.0,1965613056.0,57892864.0,65208320.0,65569910784.0
3.132,0.063,96.806,0.0,0.0,0.0,0.0,0.0,1965477888.0,57892864.0,65208320.0,65570045952.0
3.130,0.063,96.808,0.0,0.0,0.0,0.0,0.0,1965477888.0,57892864.0,65208320.0,65570045952.0
3.132,0.063,96.806,0.0,0.0,0.0,0.0,45056.0,1955373056.0,57901056.0,65208320.0,65580142592.0
3.129,0.063,96.809,0.0,0.0,0.0,0.0,0.0,1955135488.0,57901056.0,65208320.0,65580380160.0
3.162,0.063,96.775,0.0,0.0,0.0,0.0,0.0,1955008512.0,57901056.0,65216512.0,65580498944.0
3.131,0.063,96.807,0.0,0.0,0.0,0.0,0.0,1954660352.0,57901056.0,65216512.0,65580847104.0
3.131,0.094,96.775,0.0,0.0,0.0,0.0,0.0,1954533376.0,57901056.0,65216512.0,65580974080.0
3.132,0.063,96.806,0.0,0.0,0.0,0.0,0.0,1954533376.0,57901056.0,65216512.0,65580974080.0
3.162,0.094,96.744,0.0,0.0,0.0,0.0,0.0,1954398208.0,57901056.0,65216512.0,65581109248.0
3.132,0.063,96.806,0.0,0.0,0.0,0.0,0.0,1954181120.0,57901056.0,65216512.0,65581326336.0
3.129,0.063,96.809,0.0,0.0,0.0,0.0,0.0,1954111488.0,57901056.0,65216512.0,65581395968.0
3.131,0.063,96.807,0.0,0.0,0.0,0.0,0.0,1954111488.0,57901056.0,65216512.0,65581395968.0
3.161,0.063,96.776,0.0,0.0,0.0,0.0,0.0,1954070528.0,57901056.0,65216512.0,65581436928.0
3.128,0.063,96.810,0.0,0.0,0.0,0.0,0.0,1954062336.0,57901056.0,65216512.0,65581445120.0
3.131,0.063,96.807,0.0,0.0,0.0,0.0,0.0,1954062336.0,57901056.0,65216512.0,65581445120.0
3.132,0.063,96.806,0.0,0.0,0.0,0.0,0.0,1953935360.0,57901056.0,65216512.0,65581572096.0
3.161,0.094,96.745,0.0,0.0,0.0,0.0,0.0,1953935360.0,57901056.0,65216512.0,65581572096.0
3.134,0.031,96.835,0.0,0.0,0.0,0.0,0.0,1953935360.0,57901056.0,65216512.0,65581572096.0
3.131,0.094,96.775,0.0,0.0,0.0,0.0,0.0,1953816576.0,57901056.0,65216512.0,65581690880.0
3.131,0.063,96.807,0.0,0.0,0.0,0.0,0.0,1953824768.0,57901056.0,65216512.0,65581682688.0


"Host:","compute-641-14.local",,,,"User:","a57779"
"Cmdline:","dstat -cdm --output is.C.x.csv",,,,"Date:","25 Feb 2016 03:40:20 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
45.779,3.680,50.511,0.023,0.000,0.007,165574.762,614313.954,849281024.0,57901056.0,65224704.0,66686218240.0
6.217,0.062,93.721,0.0,0.0,0.0,0.0,0.0,899866624.0,57901056.0,65224704.0,66635632640.0
6.221,0.094,93.654,0.031,0.0,0.0,0.0,24576.0,958701568.0,57909248.0,65216512.0,66576797696.0
6.195,0.063,93.742,0.0,0.0,0.0,0.0,0.0,1017413632.0,57909248.0,65224704.0,66518077440.0
6.223,0.094,93.684,0.0,0.0,0.0,0.0,0.0,1071890432.0,57909248.0,65224704.0,66463600640.0
6.221,0.094,93.686,0.0,0.0,0.0,0.0,0.0,1130737664.0,57909248.0,65224704.0,66404753408.0
6.225,0.063,93.713,0.0,0.0,0.0,0.0,0.0,1189421056.0,57909248.0,65224704.0,66346070016.0
6.225,0.094,93.682,0.0,0.0,0.0,0.0,0.0,1248276480.0,57909248.0,65224704.0,66287214592.0
6.227,0.063,93.711,0.0,0.0,0.0,0.0,0.0,1306836992.0,57909248.0,65224704.0,66228654080.0
6.195,0.094,93.711,0.0,0.0,0.0,0.0,0.0,1363443712.0,57909248.0,65224704.0,66172047360.0
5.882,0.407,93.711,0.0,0.0,0.0,0.0,0.0,1911943168.0,57909248.0,65224704.0,65623547904.0
6.189,0.063,93.717,0.0,0.0,0.031,0.0,0.0,1945559040.0,57909248.0,65224704.0,65589932032.0
6.197,0.031,93.772,0.0,0.0,0.0,0.0,0.0,1945550848.0,57909248.0,65224704.0,65589940224.0
6.225,0.063,93.713,0.0,0.0,0.0,0.0,0.0,1945550848.0,57909248.0,65224704.0,65589940224.0
6.195,0.031,93.773,0.0,0.0,0.0,0.0,24576.0,1945538560.0,57909248.0,65224704.0,65589952512.0
6.227,0.031,93.742,0.0,0.0,0.0,0.0,0.0,1945538560.0,57909248.0,65224704.0,65589952512.0
6.195,0.063,93.742,0.0,0.0,0.0,0.0,0.0,1945411584.0,57909248.0,65224704.0,65590079488.0
6.230,0.063,93.707,0.0,0.0,0.0,0.0,0.0,1945538560.0,57909248.0,65224704.0,65589952512.0
6.225,0.063,93.713,0.0,0.0,0.0,0.0,0.0,1945554944.0,57909248.0,65224704.0,65589936128.0
6.258,0.031,93.711,0.0,0.0,0.0,0.0,0.0,1945554944.0,57909248.0,65224704.0,65589936128.0
