"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-641-1.local",,,,"User:","a57779"
"Cmdline:","dstat -cdm --output is.C.x.csv",,,,"Date:","25 Feb 2016 04:27:39 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
49.981,5.459,44.430,0.098,0.000,0.032,179922.149,548161.661,853266432.0,55984128.0,54857728.0,66694426624.0
3.127,0.094,96.779,0.0,0.0,0.0,0.0,4096.0,882094080.0,55984128.0,54890496.0,66665566208.0
3.128,0.125,96.747,0.0,0.0,0.0,0.0,0.0,911446016.0,55984128.0,54890496.0,66636214272.0
3.128,0.125,96.747,0.0,0.0,0.0,0.0,0.0,938577920.0,55984128.0,54890496.0,66609082368.0
3.100,0.125,96.775,0.0,0.0,0.0,0.0,0.0,967802880.0,55984128.0,54890496.0,66579857408.0
3.129,0.063,96.777,0.0,0.0,0.031,0.0,0.0,996626432.0,55984128.0,54890496.0,66551033856.0
3.098,0.094,96.183,0.626,0.0,0.0,0.0,16384.0,1025601536.0,55992320.0,54886400.0,66522054656.0
3.131,0.094,96.775,0.0,0.0,0.0,0.0,0.0,1054703616.0,55992320.0,54890496.0,66492948480.0
3.130,0.063,96.808,0.0,0.0,0.0,0.0,0.0,1082093568.0,55992320.0,54890496.0,66465558528.0
3.100,0.063,96.838,0.0,0.0,0.0,0.0,0.0,1111326720.0,55992320.0,54890496.0,66436325376.0
3.129,0.094,96.777,0.0,0.0,0.0,0.0,0.0,1140568064.0,55992320.0,54890496.0,66407084032.0
3.100,0.063,96.838,0.0,0.0,0.0,0.0,0.0,1169526784.0,55992320.0,54890496.0,66378125312.0
3.100,0.063,96.838,0.0,0.0,0.0,0.0,0.0,1198252032.0,55992320.0,54890496.0,66349400064.0
3.130,0.063,96.808,0.0,0.0,0.0,0.0,0.0,1225388032.0,55992320.0,54890496.0,66322264064.0
3.100,0.063,96.838,0.0,0.0,0.0,0.0,0.0,1254756352.0,55992320.0,54890496.0,66292895744.0
3.130,0.063,96.808,0.0,0.0,0.0,0.0,0.0,1284116480.0,55992320.0,54890496.0,66263535616.0
3.100,0.063,96.838,0.0,0.0,0.0,0.0,0.0,1313243136.0,55992320.0,54890496.0,66234408960.0
3.131,0.063,96.807,0.0,0.0,0.0,0.0,0.0,1342464000.0,55992320.0,54890496.0,66205188096.0
3.099,0.063,96.839,0.0,0.0,0.0,0.0,0.0,1369219072.0,55992320.0,54890496.0,66178433024.0
2.754,0.469,96.776,0.0,0.0,0.0,0.0,0.0,1921830912.0,55992320.0,54890496.0,65625821184.0
3.129,0.063,96.809,0.0,0.0,0.0,0.0,0.0,1921830912.0,55992320.0,54890496.0,65625821184.0
3.101,0.063,96.837,0.0,0.0,0.0,0.0,8192.0,1955201024.0,55992320.0,54890496.0,65592451072.0
3.130,0.031,96.839,0.0,0.0,0.0,0.0,0.0,1955201024.0,55992320.0,54890496.0,65592451072.0
3.159,0.063,96.747,0.0,0.0,0.031,0.0,0.0,1954947072.0,55992320.0,54890496.0,65592705024.0
3.130,0.063,96.808,0.0,0.0,0.0,0.0,0.0,1954615296.0,55992320.0,54890496.0,65593036800.0
