"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-641-14.local",,,,"User:","a57779"
"Cmdline:","dstat -cdm --output cg.B.x.csv",,,,"Date:","25 Feb 2016 03:04:22 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
45.781,3.681,50.508,0.023,0.000,0.007,165586.358,614365.281,839987200.0,11493376.0,49766400.0,66757378048.0
3.0,0.156,96.844,0.0,0.0,0.0,0.0,0.0,1016913920.0,11493376.0,49770496.0,66580447232.0
3.159,0.063,96.778,0.0,0.0,0.0,0.0,4096.0,1016872960.0,11493376.0,49811456.0,66580447232.0
3.129,0.031,96.840,0.0,0.0,0.0,0.0,0.0,1016745984.0,11493376.0,49811456.0,66580574208.0
3.128,0.063,96.810,0.0,0.0,0.0,0.0,24576.0,1016614912.0,11501568.0,49807360.0,66580701184.0
3.004,0.156,96.840,0.0,0.0,0.0,0.0,0.0,1186398208.0,11501568.0,49811456.0,66410913792.0
3.127,0.063,96.779,0.0,0.0,0.031,0.0,0.0,1186119680.0,11501568.0,49811456.0,66411192320.0
3.128,0.063,96.810,0.0,0.0,0.0,0.0,65536.0,1185738752.0,11501568.0,49811456.0,66411573248.0
3.130,0.031,96.839,0.0,0.0,0.0,0.0,0.0,1185341440.0,11501568.0,49811456.0,66411970560.0
3.128,0.031,96.841,0.0,0.0,0.0,0.0,0.0,1185214464.0,11501568.0,49811456.0,66412097536.0
3.159,0.063,96.778,0.0,0.0,0.0,0.0,0.0,1185087488.0,11501568.0,49811456.0,66412224512.0
3.128,0.031,96.841,0.0,0.0,0.0,0.0,32768.0,1184579584.0,11509760.0,49803264.0,66412732416.0
3.129,0.031,96.840,0.0,0.0,0.0,0.0,0.0,1184452608.0,11509760.0,49803264.0,66412859392.0
3.128,0.063,96.810,0.0,0.0,0.0,0.0,0.0,1184063488.0,11509760.0,49811456.0,66413240320.0
3.129,0.031,96.840,0.0,0.0,0.0,0.0,0.0,1183801344.0,11509760.0,49811456.0,66413502464.0
3.159,0.125,96.716,0.0,0.0,0.0,0.0,0.0,1183420416.0,11509760.0,49811456.0,66413883392.0
3.159,0.031,96.810,0.0,0.0,0.0,0.0,0.0,1183371264.0,11509760.0,49811456.0,66413932544.0
3.128,0.063,96.810,0.0,0.0,0.0,0.0,0.0,1183219712.0,11509760.0,49811456.0,66414084096.0
3.128,0.063,96.810,0.0,0.0,0.0,0.0,0.0,1183092736.0,11509760.0,49811456.0,66414211072.0
3.129,0.031,96.840,0.0,0.0,0.0,0.0,0.0,1182752768.0,11509760.0,49811456.0,66414551040.0
3.128,0.063,96.810,0.0,0.0,0.0,0.0,0.0,1182625792.0,11509760.0,49811456.0,66414678016.0
3.159,0.031,96.810,0.0,0.0,0.0,0.0,0.0,1182371840.0,11509760.0,49811456.0,66414931968.0
3.129,0.031,96.840,0.0,0.0,0.0,0.0,0.0,1182371840.0,11509760.0,49811456.0,66414931968.0
3.128,0.063,96.810,0.0,0.0,0.0,0.0,0.0,1182244864.0,11509760.0,49811456.0,66415058944.0
3.127,0.063,96.779,0.0,0.0,0.031,0.0,0.0,1182117888.0,11509760.0,49811456.0,66415185920.0
3.128,0.063,96.810,0.0,0.0,0.0,0.0,0.0,1181798400.0,11509760.0,49811456.0,66415505408.0
3.129,0.031,96.840,0.0,0.0,0.0,0.0,0.0,1181536256.0,11509760.0,49811456.0,66415767552.0
3.128,0.063,96.810,0.0,0.0,0.0,0.0,0.0,1181495296.0,11509760.0,49811456.0,66415808512.0
3.128,0.063,96.810,0.0,0.0,0.0,0.0,0.0,1181495296.0,11509760.0,49811456.0,66415808512.0
3.159,0.031,96.810,0.0,0.0,0.0,0.0,0.0,1181487104.0,11509760.0,49811456.0,66415816704.0
3.129,0.031,96.840,0.0,0.0,0.0,0.0,0.0,1181409280.0,11509760.0,49811456.0,66415894528.0
3.128,0.063,96.810,0.0,0.0,0.0,0.0,0.0,1181380608.0,11509760.0,49811456.0,66415923200.0
3.129,0.031,96.840,0.0,0.0,0.0,0.0,0.0,1181253632.0,11509760.0,49811456.0,66416050176.0
3.129,0.063,96.809,0.0,0.0,0.0,0.0,0.0,1181253632.0,11509760.0,49811456.0,66416050176.0
3.129,0.031,96.840,0.0,0.0,0.0,0.0,0.0,1181253632.0,11509760.0,49811456.0,66416050176.0
3.128,0.063,96.810,0.0,0.0,0.0,0.0,0.0,1181253632.0,11509760.0,49811456.0,66416050176.0
3.158,0.063,96.779,0.0,0.0,0.0,0.0,0.0,1181261824.0,11509760.0,49811456.0,66416041984.0
3.129,0.031,96.840,0.0,0.0,0.0,0.0,0.0,1181261824.0,11509760.0,49811456.0,66416041984.0
3.128,0.063,96.778,0.0,0.0,0.031,0.0,0.0,1181147136.0,11509760.0,49811456.0,66416156672.0
3.157,0.063,96.780,0.0,0.0,0.0,0.0,0.0,1181147136.0,11509760.0,49811456.0,66416156672.0
3.129,0.031,96.840,0.0,0.0,0.0,0.0,0.0,1181147136.0,11509760.0,49811456.0,66416156672.0
3.129,0.031,96.840,0.0,0.0,0.0,0.0,0.0,1181147136.0,11509760.0,49811456.0,66416156672.0
3.128,0.063,96.810,0.0,0.0,0.0,0.0,24576.0,1181138944.0,11509760.0,49811456.0,66416164864.0
3.128,0.063,96.810,0.0,0.0,0.0,0.0,0.0,1181134848.0,11509760.0,49815552.0,66416164864.0
3.129,0.031,96.840,0.0,0.0,0.0,0.0,0.0,1181134848.0,11509760.0,49815552.0,66416164864.0
3.158,0.063,96.779,0.0,0.0,0.0,0.0,0.0,1181134848.0,11509760.0,49815552.0,66416164864.0
3.128,0.063,96.810,0.0,0.0,0.0,0.0,0.0,1181126656.0,11509760.0,49815552.0,66416173056.0
3.129,0.031,96.840,0.0,0.0,0.0,0.0,0.0,1181126656.0,11509760.0,49815552.0,66416173056.0
3.129,0.063,96.809,0.0,0.0,0.0,0.0,0.0,1181126656.0,11509760.0,49815552.0,66416173056.0
3.127,0.063,96.811,0.0,0.0,0.0,0.0,0.0,1181126656.0,11509760.0,49815552.0,66416173056.0
3.130,0.031,96.839,0.0,0.0,0.0,0.0,0.0,1181126656.0,11509760.0,49815552.0,66416173056.0
3.129,0.031,96.840,0.0,0.0,0.0,0.0,0.0,1181126656.0,11509760.0,49815552.0,66416173056.0
3.126,0.063,96.780,0.0,0.0,0.031,0.0,0.0,1181126656.0,11509760.0,49815552.0,66416173056.0
3.158,0.063,96.779,0.0,0.0,0.0,0.0,0.0,1181126656.0,11509760.0,49815552.0,66416173056.0
3.129,0.031,96.840,0.0,0.0,0.0,0.0,0.0,1181253632.0,11509760.0,49815552.0,66416046080.0
3.128,0.063,96.810,0.0,0.0,0.0,0.0,0.0,1181253632.0,11509760.0,49815552.0,66416046080.0
3.128,0.063,96.810,0.0,0.0,0.0,0.0,0.0,1181380608.0,11509760.0,49815552.0,66415919104.0
3.129,0.031,96.840,0.0,0.0,0.0,0.0,0.0,1181380608.0,11509760.0,49815552.0,66415919104.0
3.129,0.031,96.840,0.0,0.0,0.0,0.0,12288.0,1181380608.0,11517952.0,49807360.0,66415919104.0
3.129,0.031,96.840,0.0,0.0,0.0,0.0,0.0,1181372416.0,11517952.0,49815552.0,66415919104.0
3.159,0.094,96.747,0.0,0.0,0.0,0.0,0.0,1181372416.0,11517952.0,49815552.0,66415919104.0
3.128,0.063,96.810,0.0,0.0,0.0,0.0,0.0,1181380608.0,11517952.0,49815552.0,66415910912.0
3.158,0.063,96.779,0.0,0.0,0.0,0.0,0.0,1181380608.0,11517952.0,49815552.0,66415910912.0
3.128,0.063,96.810,0.0,0.0,0.0,0.0,0.0,1181380608.0,11517952.0,49815552.0,66415910912.0
3.129,0.031,96.840,0.0,0.0,0.0,0.0,0.0,1181380608.0,11517952.0,49815552.0,66415910912.0
3.128,0.063,96.810,0.0,0.0,0.0,0.0,0.0,1181380608.0,11517952.0,49815552.0,66415910912.0
3.129,0.031,96.809,0.0,0.0,0.031,0.0,0.0,1181372416.0,11517952.0,49815552.0,66415919104.0
3.129,0.031,96.840,0.0,0.0,0.0,0.0,0.0,1181372416.0,11517952.0,49815552.0,66415919104.0
3.158,0.063,96.779,0.0,0.0,0.0,0.0,0.0,1181372416.0,11517952.0,49815552.0,66415919104.0
3.128,0.063,96.810,0.0,0.0,0.0,0.0,0.0,1181372416.0,11517952.0,49815552.0,66415919104.0
3.129,0.031,96.840,0.0,0.0,0.0,0.0,0.0,1181237248.0,11517952.0,49815552.0,66416054272.0
3.128,0.063,96.810,0.0,0.0,0.0,0.0,0.0,1181237248.0,11517952.0,49815552.0,66416054272.0
3.129,0.031,96.840,0.0,0.0,0.0,0.0,0.0,1181237248.0,11517952.0,49815552.0,66416054272.0
3.128,0.063,96.810,0.0,0.0,0.0,0.0,0.0,1181237248.0,11517952.0,49815552.0,66416054272.0
3.159,0.031,96.810,0.0,0.0,0.0,0.0,0.0,1181237248.0,11517952.0,49815552.0,66416054272.0
3.129,0.031,96.840,0.0,0.0,0.0,0.0,0.0,1181237248.0,11517952.0,49815552.0,66416054272.0
3.128,0.063,96.810,0.0,0.0,0.0,0.0,0.0,1181245440.0,11517952.0,49815552.0,66416046080.0
3.128,0.063,96.810,0.0,0.0,0.0,0.0,0.0,1181245440.0,11517952.0,49815552.0,66416046080.0
3.158,0.031,96.779,0.0,0.0,0.031,0.0,0.0,1181245440.0,11517952.0,49815552.0,66416046080.0
3.128,0.063,96.810,0.0,0.0,0.0,0.0,0.0,1181245440.0,11517952.0,49815552.0,66416046080.0
3.129,0.031,96.840,0.0,0.0,0.0,0.0,0.0,1181245440.0,11517952.0,49815552.0,66416046080.0
3.128,0.063,96.810,0.0,0.0,0.0,0.0,0.0,1181245440.0,11517952.0,49815552.0,66416046080.0
3.129,0.031,96.840,0.0,0.0,0.0,0.0,0.0,1181245440.0,11517952.0,49815552.0,66416046080.0
3.128,0.063,96.810,0.0,0.0,0.0,0.0,0.0,1181245440.0,11517952.0,49815552.0,66416046080.0
3.159,0.031,96.810,0.0,0.0,0.0,0.0,0.0,1181245440.0,11517952.0,49815552.0,66416046080.0
3.128,0.063,96.810,0.0,0.0,0.0,0.0,0.0,1181245440.0,11517952.0,49815552.0,66416046080.0
3.129,0.031,96.840,0.0,0.0,0.0,0.0,0.0,1181237248.0,11517952.0,49815552.0,66416054272.0
3.128,0.063,96.810,0.0,0.0,0.0,0.0,0.0,1181237248.0,11517952.0,49815552.0,66416054272.0
3.158,0.063,96.779,0.0,0.0,0.0,0.0,0.0,1181237248.0,11517952.0,49815552.0,66416054272.0
3.129,0.031,96.840,0.0,0.0,0.0,0.0,0.0,1181241344.0,11517952.0,49819648.0,66416046080.0
3.128,0.063,96.810,0.0,0.0,0.0,0.0,0.0,1181241344.0,11517952.0,49819648.0,66416046080.0
3.129,0.031,96.840,0.0,0.0,0.0,0.0,0.0,1181249536.0,11517952.0,49819648.0,66416037888.0
3.128,0.063,96.810,0.0,0.0,0.0,0.0,4096.0,1181249536.0,11517952.0,49819648.0,66416037888.0
3.128,0.063,96.810,0.0,0.0,0.0,0.0,0.0,1181249536.0,11517952.0,49819648.0,66416037888.0
3.127,0.063,96.779,0.0,0.0,0.031,0.0,0.0,1181249536.0,11517952.0,49819648.0,66416037888.0
3.159,0.031,96.810,0.0,0.0,0.0,0.0,0.0,1181249536.0,11517952.0,49819648.0,66416037888.0
3.128,0.063,96.810,0.0,0.0,0.0,0.0,0.0,1181257728.0,11517952.0,49819648.0,66416029696.0
3.128,0.063,96.810,0.0,0.0,0.0,0.0,0.0,1181257728.0,11517952.0,49819648.0,66416029696.0
3.128,0.063,96.810,0.0,0.0,0.0,0.0,0.0,1181257728.0,11517952.0,49819648.0,66416029696.0
3.129,0.031,96.840,0.0,0.0,0.0,0.0,0.0,1181257728.0,11517952.0,49819648.0,66416029696.0
3.129,0.031,96.840,0.0,0.0,0.0,0.0,0.0,1181257728.0,11517952.0,49819648.0,66416029696.0
3.157,0.063,96.780,0.0,0.0,0.0,0.0,0.0,1181265920.0,11517952.0,49819648.0,66416021504.0
3.130,0.031,96.839,0.0,0.0,0.0,0.0,0.0,1181257728.0,11517952.0,49819648.0,66416029696.0
3.128,0.063,96.810,0.0,0.0,0.0,0.0,0.0,1181257728.0,11517952.0,49819648.0,66416029696.0
3.128,0.063,96.810,0.0,0.0,0.0,0.0,0.0,1181257728.0,11517952.0,49819648.0,66416029696.0
3.158,0.094,96.748,0.0,0.0,0.0,0.0,0.0,1181257728.0,11517952.0,49819648.0,66416029696.0
3.129,0.031,96.840,0.0,0.0,0.0,0.0,0.0,1181249536.0,11517952.0,49819648.0,66416037888.0


"Host:","compute-641-14.local",,,,"User:","a57779"
"Cmdline:","dstat -cdm --output cg.B.x.csv",,,,"Date:","25 Feb 2016 03:06:11 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
45.781,3.681,50.508,0.023,0.000,0.007,165585.656,614362.684,837017600.0,11517952.0,49827840.0,66760261632.0
6.129,0.188,93.684,0.0,0.0,0.0,0.0,0.0,1011462144.0,11517952.0,49827840.0,66585817088.0
6.248,0.031,93.721,0.0,0.0,0.0,0.0,0.0,1011597312.0,11517952.0,49827840.0,66585681920.0
6.035,0.188,93.777,0.0,0.0,0.0,0.0,0.0,1177587712.0,11517952.0,49827840.0,66419691520.0
6.258,0.031,93.711,0.0,0.0,0.0,0.0,0.0,1177579520.0,11517952.0,49827840.0,66419699712.0
6.256,0.063,93.682,0.0,0.0,0.0,0.0,0.0,1177522176.0,11517952.0,49827840.0,66419757056.0
6.285,0.031,93.652,0.031,0.0,0.0,0.0,24576.0,1177387008.0,11526144.0,49819648.0,66419892224.0
6.256,0.063,93.682,0.0,0.0,0.0,0.0,0.0,1177260032.0,11526144.0,49827840.0,66420011008.0
6.256,0.031,93.713,0.0,0.0,0.0,0.0,0.0,1177255936.0,11526144.0,49827840.0,66420015104.0
6.256,0.063,93.682,0.0,0.0,0.0,0.0,0.0,1177255936.0,11526144.0,49827840.0,66420015104.0
6.256,0.031,93.713,0.0,0.0,0.0,0.0,0.0,1177100288.0,11526144.0,49827840.0,66420170752.0
6.285,0.063,93.652,0.0,0.0,0.0,0.0,0.0,1177100288.0,11526144.0,49827840.0,66420170752.0
6.258,0.031,93.711,0.0,0.0,0.0,0.0,0.0,1177038848.0,11526144.0,49827840.0,66420232192.0
6.254,0.063,93.684,0.0,0.0,0.0,0.0,0.0,1177038848.0,11526144.0,49827840.0,66420232192.0
6.256,0.031,93.713,0.0,0.0,0.0,0.0,0.0,1177038848.0,11526144.0,49827840.0,66420232192.0
6.285,0.063,93.652,0.0,0.0,0.0,0.0,0.0,1177038848.0,11526144.0,49827840.0,66420232192.0
6.254,0.063,93.684,0.0,0.0,0.0,0.0,0.0,1177038848.0,11526144.0,49827840.0,66420232192.0
6.254,0.063,93.684,0.0,0.0,0.0,0.0,0.0,1177047040.0,11526144.0,49827840.0,66420224000.0
6.258,0.031,93.711,0.0,0.0,0.0,0.0,0.0,1177022464.0,11526144.0,49827840.0,66420248576.0
6.256,0.031,93.713,0.0,0.0,0.0,0.0,0.0,1177022464.0,11526144.0,49827840.0,66420248576.0
6.287,0.063,93.650,0.0,0.0,0.0,0.0,0.0,1177022464.0,11526144.0,49827840.0,66420248576.0
6.256,0.031,93.713,0.0,0.0,0.0,0.0,0.0,1177022464.0,11526144.0,49827840.0,66420248576.0
6.256,0.063,93.682,0.0,0.0,0.0,0.0,0.0,1177022464.0,11526144.0,49827840.0,66420248576.0
6.258,0.031,93.711,0.0,0.0,0.0,0.0,0.0,1177030656.0,11526144.0,49827840.0,66420240384.0
6.287,0.031,93.682,0.0,0.0,0.0,0.0,0.0,1177030656.0,11526144.0,49827840.0,66420240384.0
6.252,0.094,93.654,0.0,0.0,0.0,0.0,0.0,1177026560.0,11526144.0,49831936.0,66420240384.0
6.256,0.031,93.713,0.0,0.0,0.0,0.0,0.0,1177026560.0,11526144.0,49831936.0,66420240384.0
6.256,0.063,93.682,0.0,0.0,0.0,0.0,0.0,1177022464.0,11526144.0,49831936.0,66420244480.0
6.281,0.062,93.625,0.0,0.0,0.031,0.0,0.0,1177022464.0,11526144.0,49831936.0,66420244480.0
6.256,0.031,93.713,0.0,0.0,0.0,0.0,0.0,1177022464.0,11526144.0,49831936.0,66420244480.0
6.254,0.063,93.684,0.0,0.0,0.0,0.0,0.0,1177022464.0,11526144.0,49831936.0,66420244480.0
6.258,0.031,93.711,0.0,0.0,0.0,0.0,0.0,1177022464.0,11526144.0,49831936.0,66420244480.0
6.252,0.063,93.654,0.0,0.0,0.031,0.0,0.0,1177022464.0,11526144.0,49831936.0,66420244480.0
6.283,0.063,93.654,0.0,0.0,0.0,0.0,0.0,1177030656.0,11526144.0,49831936.0,66420236288.0
6.256,0.031,93.713,0.0,0.0,0.0,0.0,0.0,1177014272.0,11526144.0,49831936.0,66420252672.0
6.256,0.063,93.682,0.0,0.0,0.0,0.0,0.0,1177014272.0,11526144.0,49831936.0,66420252672.0
6.285,0.031,93.652,0.0,0.0,0.031,0.0,0.0,1177014272.0,11526144.0,49831936.0,66420252672.0
6.256,0.031,93.713,0.0,0.0,0.0,0.0,0.0,1177022464.0,11526144.0,49831936.0,66420244480.0
6.254,0.063,93.684,0.0,0.0,0.0,0.0,0.0,1176879104.0,11526144.0,49831936.0,66420387840.0
6.256,0.031,93.713,0.0,0.0,0.0,0.0,8192.0,1176879104.0,11526144.0,49831936.0,66420387840.0
6.258,0.031,93.711,0.0,0.0,0.0,0.0,0.0,1176879104.0,11526144.0,49831936.0,66420387840.0
6.256,0.031,93.713,0.0,0.0,0.0,0.0,0.0,1176887296.0,11526144.0,49831936.0,66420379648.0
6.285,0.094,93.621,0.0,0.0,0.0,0.0,0.0,1176887296.0,11526144.0,49831936.0,66420379648.0
6.256,0.063,93.682,0.0,0.0,0.0,0.0,0.0,1176887296.0,11526144.0,49831936.0,66420379648.0
6.252,0.063,93.654,0.0,0.0,0.031,0.0,0.0,1176887296.0,11526144.0,49831936.0,66420379648.0
6.256,0.031,93.713,0.0,0.0,0.0,0.0,0.0,1176887296.0,11526144.0,49831936.0,66420379648.0
6.256,0.063,93.682,0.0,0.0,0.0,0.0,0.0,1176887296.0,11526144.0,49831936.0,66420379648.0
6.283,0.063,93.654,0.0,0.0,0.0,0.0,0.0,1176895488.0,11526144.0,49831936.0,66420371456.0
6.256,0.031,93.713,0.0,0.0,0.0,0.0,0.0,1176895488.0,11526144.0,49831936.0,66420371456.0
5.822,0.031,94.147,0.0,0.0,0.0,0.0,0.0,1176895488.0,11526144.0,49831936.0,66420371456.0
5.345,0.063,94.592,0.0,0.0,0.0,0.0,0.0,1176895488.0,11526144.0,49831936.0,66420371456.0
5.257,0.031,94.712,0.0,0.0,0.0,0.0,0.0,1176895488.0,11526144.0,49831936.0,66420371456.0
5.192,0.063,94.745,0.0,0.0,0.0,0.0,0.0,1176895488.0,11526144.0,49831936.0,66420371456.0
5.197,0.031,94.771,0.0,0.0,0.0,0.0,0.0,1177030656.0,11526144.0,49831936.0,66420236288.0
5.196,0.063,94.742,0.0,0.0,0.0,0.0,0.0,1177030656.0,11526144.0,49831936.0,66420236288.0
5.197,0.031,94.771,0.0,0.0,0.0,0.0,0.0,1177030656.0,11526144.0,49831936.0,66420236288.0
5.196,0.063,94.742,0.0,0.0,0.0,0.0,0.0,1177030656.0,11526144.0,49831936.0,66420236288.0
