"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-431-9.local",,,,"User:","a57779"
"Cmdline:","dstat -cdm --output ep.C.x.csv",,,,"Date:","25 Feb 2016 05:04:04 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
24.151,1.758,74.059,0.028,0.000,0.003,11498.659,495845.469,988139520.0,368652288.0,8408047616.0,40976154624.0
4.210,0.0,95.790,0.0,0.0,0.0,0.0,0.0,988237824.0,368652288.0,8408203264.0,40975900672.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,988557312.0,368652288.0,8408203264.0,40975581184.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,8192.0,988430336.0,368652288.0,8408203264.0,40975708160.0
4.174,0.042,95.785,0.0,0.0,0.0,0.0,0.0,987922432.0,368652288.0,8408203264.0,40976216064.0
4.174,0.042,95.785,0.0,0.0,0.0,0.0,0.0,987287552.0,368652288.0,8408203264.0,40976850944.0
4.215,0.0,95.659,0.125,0.0,0.0,0.0,16384.0,987279360.0,368652288.0,8408203264.0,40976859136.0
4.174,0.042,95.785,0.0,0.0,0.0,0.0,0.0,986501120.0,368652288.0,8408203264.0,40977637376.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,16384.0,986120192.0,368652288.0,8408203264.0,40978018304.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,986120192.0,368652288.0,8408203264.0,40978018304.0
4.174,0.042,95.785,0.0,0.0,0.0,0.0,0.0,985903104.0,368652288.0,8408203264.0,40978235392.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,985141248.0,368652288.0,8408203264.0,40978997248.0
4.214,0.0,95.786,0.0,0.0,0.0,0.0,0.0,984854528.0,368652288.0,8408203264.0,40979283968.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,984596480.0,368652288.0,8408203264.0,40979542016.0
4.174,0.042,95.785,0.0,0.0,0.0,0.0,0.0,984461312.0,368652288.0,8408203264.0,40979677184.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,984334336.0,368652288.0,8408203264.0,40979804160.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,984293376.0,368652288.0,8408203264.0,40979845120.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,983658496.0,368652288.0,8408203264.0,40980480000.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,983404544.0,368652288.0,8408203264.0,40980733952.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,983277568.0,368652288.0,8408203264.0,40980860928.0
4.210,0.042,95.748,0.0,0.0,0.0,0.0,0.0,983150592.0,368652288.0,8408203264.0,40980987904.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,982978560.0,368652288.0,8408203264.0,40981159936.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,982978560.0,368652288.0,8408203264.0,40981159936.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,982470656.0,368652288.0,8408203264.0,40981667840.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,982216704.0,368652288.0,8408203264.0,40981921792.0
4.212,0.042,95.746,0.0,0.0,0.0,0.0,0.0,982089728.0,368652288.0,8408203264.0,40982048768.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,982044672.0,368652288.0,8408203264.0,40982093824.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,981999616.0,368652288.0,8408203264.0,40982138880.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,981999616.0,368652288.0,8408203264.0,40982138880.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,981573632.0,368652288.0,8408203264.0,40982564864.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,981356544.0,368652288.0,8408203264.0,40982781952.0
4.210,0.042,95.748,0.0,0.0,0.0,0.0,0.0,981295104.0,368652288.0,8408203264.0,40982843392.0
4.212,0.083,95.705,0.0,0.0,0.0,0.0,0.0,981295104.0,368652288.0,8408203264.0,40982843392.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,981430272.0,368652288.0,8408203264.0,40982708224.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,981430272.0,368652288.0,8408203264.0,40982708224.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,981319680.0,368652288.0,8408203264.0,40982818816.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,981225472.0,368652288.0,8408203264.0,40982913024.0
4.212,0.0,95.788,0.0,0.0,0.0,0.0,0.0,981225472.0,368652288.0,8408203264.0,40982913024.0
4.174,0.042,95.785,0.0,0.0,0.0,0.0,0.0,981225472.0,368652288.0,8408203264.0,40982913024.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,981225472.0,368652288.0,8408203264.0,40982913024.0
4.174,0.042,95.785,0.0,0.0,0.0,0.0,0.0,981225472.0,368652288.0,8408203264.0,40982913024.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,981225472.0,368652288.0,8408203264.0,40982913024.0
4.174,0.042,95.785,0.0,0.0,0.0,0.0,0.0,981221376.0,368652288.0,8408207360.0,40982913024.0
4.175,0.0,95.825,0.0,0.0,0.0,0.0,0.0,981221376.0,368652288.0,8408207360.0,40982913024.0
4.215,0.0,95.785,0.0,0.0,0.0,0.0,0.0,981213184.0,368652288.0,8408207360.0,40982921216.0
4.174,0.042,95.785,0.0,0.0,0.0,0.0,0.0,981221376.0,368652288.0,8408207360.0,40982913024.0
