"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-431-9.local",,,,"User:","a57779"
"Cmdline:","dstat -cdm --output ep.B.x.csv",,,,"Date:","25 Feb 2016 05:02:18 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
24.152,1.759,74.059,0.028,0.000,0.003,11498.707,495847.528,988540928.0,368652288.0,8407285760.0,40976515072.0
4.168,0.042,95.790,0.0,0.0,0.0,0.0,0.0,988528640.0,368652288.0,8407289856.0,40976523264.0
4.175,0.0,95.825,0.0,0.0,0.0,0.0,0.0,988233728.0,368652288.0,8407457792.0,40976650240.0
4.210,0.083,95.540,0.167,0.0,0.0,0.0,24576.0,987979776.0,368652288.0,8407457792.0,40976904192.0
4.174,0.042,95.785,0.0,0.0,0.0,0.0,0.0,987979776.0,368652288.0,8407457792.0,40976904192.0
4.174,0.042,95.785,0.0,0.0,0.0,0.0,0.0,987070464.0,368652288.0,8407457792.0,40977813504.0
4.175,0.0,95.825,0.0,0.0,0.0,0.0,0.0,986800128.0,368652288.0,8407457792.0,40978083840.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,986738688.0,368652288.0,8407457792.0,40978145280.0
4.215,0.0,95.785,0.0,0.0,0.0,0.0,0.0,986230784.0,368652288.0,8407457792.0,40978653184.0
4.174,0.042,95.785,0.0,0.0,0.0,0.0,0.0,985841664.0,368652288.0,8407457792.0,40979042304.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,985833472.0,368652288.0,8407457792.0,40979050496.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,985280512.0,368652288.0,8407457792.0,40979603456.0
4.174,0.042,95.785,0.0,0.0,0.0,0.0,0.0,984981504.0,368652288.0,8407457792.0,40979902464.0
4.175,0.0,95.825,0.0,0.0,0.0,0.0,0.0,984727552.0,368652288.0,8407457792.0,40980156416.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,984457216.0,368652288.0,8407457792.0,40980426752.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,984076288.0,368652288.0,8407457792.0,40980807680.0
4.214,0.042,95.745,0.0,0.0,0.0,0.0,0.0,984076288.0,368652288.0,8407457792.0,40980807680.0
4.174,0.042,95.785,0.0,0.0,0.0,0.0,0.0,983568384.0,368652288.0,8407457792.0,40981315584.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,983359488.0,368652288.0,8407457792.0,40981524480.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,983232512.0,368652288.0,8407457792.0,40981651456.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,982851584.0,368652288.0,8407457792.0,40982032384.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,982470656.0,368652288.0,8407457792.0,40982413312.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,982462464.0,368652288.0,8407457792.0,40982421504.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,982036480.0,368652288.0,8407457792.0,40982847488.0
4.175,0.0,95.825,0.0,0.0,0.0,0.0,0.0,981917696.0,368652288.0,8407457792.0,40982966272.0
4.214,0.042,95.745,0.0,0.0,0.0,0.0,0.0,981839872.0,368652288.0,8407457792.0,40983044096.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,981323776.0,368652288.0,8407457792.0,40983560192.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,981020672.0,368652288.0,8407457792.0,40983863296.0
4.175,0.0,95.825,0.0,0.0,0.0,0.0,0.0,981020672.0,368652288.0,8407457792.0,40983863296.0
4.174,0.042,95.785,0.0,0.0,0.0,0.0,0.0,980639744.0,368652288.0,8407457792.0,40984244224.0
4.174,0.042,95.785,0.0,0.0,0.0,0.0,0.0,980512768.0,368652288.0,8407457792.0,40984371200.0
4.212,0.042,95.746,0.0,0.0,0.0,0.0,0.0,980385792.0,368652288.0,8407457792.0,40984498176.0
4.175,0.084,95.741,0.0,0.0,0.0,0.0,0.0,980176896.0,368652288.0,8407457792.0,40984707072.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,980033536.0,368652288.0,8407457792.0,40984850432.0
4.174,0.042,95.785,0.0,0.0,0.0,0.0,8192.0,980025344.0,368652288.0,8407457792.0,40984858624.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,979873792.0,368652288.0,8407457792.0,40985010176.0
4.214,0.042,95.745,0.0,0.0,0.0,0.0,0.0,979783680.0,368652288.0,8407457792.0,40985100288.0


"Host:","compute-431-9.local",,,,"User:","a57779"
"Cmdline:","dstat -cdm --output ep.B.x.csv",,,,"Date:","25 Feb 2016 05:02:57 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
24.151,1.758,74.059,0.028,0.000,0.003,11498.689,495846.769,983359488.0,368652288.0,8407457792.0,40981524480.0
8.378,0.0,91.622,0.0,0.0,0.0,0.0,0.0,983740416.0,368652288.0,8407457792.0,40981143552.0
8.340,0.042,91.618,0.0,0.0,0.0,0.0,0.0,983986176.0,368652288.0,8407457792.0,40980897792.0
8.344,0.0,91.656,0.0,0.0,0.0,0.0,0.0,983982080.0,368652288.0,8407461888.0,40980897792.0
8.340,0.042,91.618,0.0,0.0,0.0,0.0,0.0,983973888.0,368652288.0,8407461888.0,40980905984.0
8.344,0.042,91.615,0.0,0.0,0.0,0.0,0.0,983846912.0,368652288.0,8407461888.0,40981032960.0
8.337,0.042,91.496,0.125,0.0,0.0,0.0,28672.0,983724032.0,368652288.0,8407461888.0,40981155840.0
8.340,0.042,91.618,0.0,0.0,0.0,0.0,0.0,983527424.0,368652288.0,8407461888.0,40981352448.0
8.382,0.0,91.618,0.0,0.0,0.0,0.0,0.0,983400448.0,368652288.0,8407461888.0,40981479424.0
8.340,0.083,91.576,0.0,0.0,0.0,0.0,0.0,983392256.0,368652288.0,8407461888.0,40981487616.0
8.344,0.0,91.656,0.0,0.0,0.0,0.0,0.0,983519232.0,368652288.0,8407461888.0,40981360640.0
8.340,0.042,91.618,0.0,0.0,0.0,0.0,0.0,983392256.0,368652288.0,8407461888.0,40981487616.0
8.337,0.042,91.622,0.0,0.0,0.0,0.0,0.0,983392256.0,368652288.0,8407461888.0,40981487616.0
8.340,0.0,91.618,0.0,0.0,0.042,0.0,0.0,983265280.0,368652288.0,8407461888.0,40981614592.0
8.340,0.042,91.618,0.0,0.0,0.0,0.0,0.0,983273472.0,368652288.0,8407461888.0,40981606400.0
8.344,0.0,91.656,0.0,0.0,0.0,0.0,0.0,983273472.0,368652288.0,8407461888.0,40981606400.0
8.340,0.0,91.660,0.0,0.0,0.0,0.0,0.0,983265280.0,368652288.0,8407461888.0,40981614592.0
8.340,0.042,91.618,0.0,0.0,0.0,0.0,0.0,983138304.0,368652288.0,8407461888.0,40981741568.0
8.375,0.042,91.583,0.0,0.0,0.0,0.0,0.0,983138304.0,368652288.0,8407461888.0,40981741568.0


"Host:","compute-431-9.local",,,,"User:","a57779"
"Cmdline:","dstat -cdm --output ep.B.x.csv",,,,"Date:","25 Feb 2016 05:03:18 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
24.151,1.758,74.059,0.028,0.000,0.003,11498.680,495846.372,989360128.0,368652288.0,8407461888.0,40975519744.0
16.667,0.042,83.292,0.0,0.0,0.0,0.0,0.0,989487104.0,368652288.0,8407461888.0,40975392768.0
16.688,0.0,83.312,0.0,0.0,0.0,0.0,0.0,989732864.0,368652288.0,8407461888.0,40975147008.0
16.674,0.042,83.285,0.0,0.0,0.0,0.0,0.0,989732864.0,368652288.0,8407461888.0,40975147008.0
16.681,0.0,83.319,0.0,0.0,0.0,0.0,0.0,989601792.0,368652288.0,8407461888.0,40975278080.0
16.674,0.042,83.285,0.0,0.0,0.0,0.0,0.0,989196288.0,368652288.0,8407461888.0,40975683584.0
16.681,0.042,83.194,0.083,0.0,0.0,0.0,24576.0,989188096.0,368652288.0,8407461888.0,40975691776.0
16.674,0.042,83.285,0.0,0.0,0.0,0.0,0.0,989061120.0,368652288.0,8407461888.0,40975818752.0
16.681,0.042,83.278,0.0,0.0,0.0,0.0,0.0,989052928.0,368652288.0,8407461888.0,40975826944.0
16.688,0.0,83.312,0.0,0.0,0.0,0.0,0.0,989040640.0,368652288.0,8407461888.0,40975839232.0


"Host:","compute-431-9.local",,,,"User:","a57779"
"Cmdline:","dstat -cdm --output ep.B.x.csv",,,,"Date:","25 Feb 2016 05:03:29 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
24.151,1.758,74.059,0.028,0.000,0.003,11498.675,495846.149,992059392.0,368652288.0,8407461888.0,40972820480.0
33.347,0.042,66.611,0.0,0.0,0.0,0.0,0.0,992952320.0,368652288.0,8407465984.0,40971923456.0
33.361,0.0,66.639,0.0,0.0,0.0,0.0,0.0,993333248.0,368652288.0,8407465984.0,40971542528.0
