"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-431-9.local",,,,"User:","a57779"
"Cmdline:","dstat -cdm --output is.C.x.csv",,,,"Date:","25 Feb 2016 05:11:11 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
24.151,1.758,74.059,0.028,0.000,0.003,11498.465,495837.146,990236672.0,368652288.0,8408412160.0,40973692928.0
4.085,0.083,95.832,0.0,0.0,0.0,0.0,0.0,1028112384.0,368652288.0,8408412160.0,40935817216.0
4.130,0.042,95.828,0.0,0.0,0.0,0.0,0.0,1067909120.0,368652288.0,8408469504.0,40895963136.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1105907712.0,368652288.0,8408473600.0,40857960448.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,1143402496.0,368652288.0,8408473600.0,40820465664.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1180745728.0,368652288.0,8408473600.0,40783122432.0
4.174,0.042,95.659,0.125,0.0,0.0,0.0,20480.0,1218113536.0,368652288.0,8408473600.0,40745754624.0
4.132,0.042,95.826,0.0,0.0,0.0,0.0,0.0,1255354368.0,368652288.0,8408473600.0,40708513792.0
4.174,0.042,95.785,0.0,0.0,0.0,0.0,0.0,1292713984.0,368652288.0,8408473600.0,40671154176.0
4.132,0.042,95.826,0.0,0.0,0.0,0.0,0.0,1330446336.0,368652288.0,8408473600.0,40633421824.0
4.170,0.125,95.705,0.0,0.0,0.0,0.0,0.0,1368068096.0,368652288.0,8408473600.0,40595800064.0
4.088,0.083,95.828,0.0,0.0,0.0,0.0,0.0,1405304832.0,368652288.0,8408473600.0,40558563328.0
4.128,0.083,95.788,0.0,0.0,0.0,0.0,0.0,1442545664.0,368652288.0,8408473600.0,40521322496.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1480052736.0,368652288.0,8408473600.0,40483815424.0
4.090,0.083,95.826,0.0,0.0,0.0,0.0,0.0,1517547520.0,368652288.0,8408473600.0,40446320640.0
3.838,0.375,95.786,0.0,0.0,0.0,0.0,0.0,2059456512.0,368652288.0,8408473600.0,39904411648.0
4.132,0.042,95.826,0.0,0.0,0.0,0.0,4096.0,2092945408.0,368652288.0,8408473600.0,39870922752.0
4.215,0.0,95.785,0.0,0.0,0.0,0.0,0.0,2092548096.0,368652288.0,8408473600.0,39871320064.0
4.170,0.083,95.746,0.0,0.0,0.0,0.0,0.0,2092175360.0,368652288.0,8408473600.0,39871692800.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,2091876352.0,368652288.0,8408473600.0,39871991808.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,2091368448.0,368652288.0,8408473600.0,39872499712.0
4.174,0.0,95.743,0.083,0.0,0.0,0.0,28672.0,2091241472.0,368652288.0,8408473600.0,39872626688.0
4.212,0.042,95.746,0.0,0.0,0.0,0.0,0.0,2091368448.0,368652288.0,8408473600.0,39872499712.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,2090950656.0,368652288.0,8408473600.0,39872917504.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,2090569728.0,368652288.0,8408473600.0,39873298432.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,2090442752.0,368652288.0,8408473600.0,39873425408.0
4.175,0.0,95.825,0.0,0.0,0.0,0.0,0.0,2090061824.0,368652288.0,8408473600.0,39873806336.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,2089926656.0,368652288.0,8408473600.0,39873941504.0
4.174,0.042,95.785,0.0,0.0,0.0,0.0,0.0,2089934848.0,368652288.0,8408473600.0,39873933312.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,2089553920.0,368652288.0,8408473600.0,39874314240.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,2089172992.0,368652288.0,8408473600.0,39874695168.0
4.210,0.042,95.748,0.0,0.0,0.0,0.0,0.0,2089046016.0,368652288.0,8408473600.0,39874822144.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,2088550400.0,368652288.0,8408473600.0,39875317760.0
4.175,0.0,95.825,0.0,0.0,0.0,0.0,0.0,2088550400.0,368652288.0,8408473600.0,39875317760.0


"Host:","compute-431-9.local",,,,"User:","a57779"
"Cmdline:","dstat -cdm --output is.C.x.csv",,,,"Date:","25 Feb 2016 05:11:47 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
24.151,1.758,74.059,0.028,0.000,0.003,11498.449,495836.461,983408640.0,368652288.0,8408477696.0,40980455424.0
8.250,0.125,91.625,0.0,0.0,0.0,0.0,0.0,1058836480.0,368652288.0,8408477696.0,40905027584.0
8.337,0.042,91.622,0.0,0.0,0.0,0.0,0.0,1138724864.0,368652288.0,8408477696.0,40825139200.0
8.306,0.083,91.611,0.0,0.0,0.0,0.0,0.0,1214357504.0,368652288.0,8408477696.0,40749506560.0
8.302,0.042,91.656,0.0,0.0,0.0,0.0,0.0,1289977856.0,368652288.0,8408481792.0,40673882112.0
8.302,0.083,91.615,0.0,0.0,0.0,0.0,0.0,1365610496.0,368652288.0,8408481792.0,40598249472.0
8.299,0.083,91.618,0.0,0.0,0.0,0.0,24576.0,1441353728.0,368652288.0,8408481792.0,40522506240.0
8.302,0.042,91.656,0.0,0.0,0.0,0.0,0.0,1516724224.0,368652288.0,8408481792.0,40447135744.0
7.965,0.417,91.618,0.0,0.0,0.0,0.0,0.0,2077425664.0,368652288.0,8408481792.0,39886434304.0
8.340,0.042,91.618,0.0,0.0,0.0,0.0,0.0,2087903232.0,368652288.0,8408481792.0,39875956736.0
8.337,0.042,91.622,0.0,0.0,0.0,0.0,0.0,2087903232.0,368652288.0,8408481792.0,39875956736.0
8.340,0.042,91.618,0.0,0.0,0.0,0.0,0.0,2087903232.0,368652288.0,8408481792.0,39875956736.0
8.340,0.042,91.618,0.0,0.0,0.0,0.0,0.0,2087903232.0,368652288.0,8408481792.0,39875956736.0
8.340,0.042,91.618,0.0,0.0,0.0,0.0,0.0,2087747584.0,368652288.0,8408481792.0,39876112384.0
8.340,0.042,91.618,0.0,0.0,0.0,0.0,0.0,2087747584.0,368652288.0,8408481792.0,39876112384.0
8.337,0.042,91.622,0.0,0.0,0.0,0.0,0.0,2087747584.0,368652288.0,8408481792.0,39876112384.0
8.354,0.0,91.646,0.0,0.0,0.0,0.0,0.0,2087747584.0,368652288.0,8408481792.0,39876112384.0
