"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-431-9.local",,,,"User:","a57779"
"Cmdline:","dstat -cdm --output cg.C.x.csv",,,,"Date:","25 Feb 2016 05:22:52 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
24.151,1.758,74.060,0.028,0.000,0.003,11498.148,495823.492,1013465088.0,368652288.0,8410804224.0,40948072448.0
3.793,0.417,95.790,0.0,0.0,0.0,0.0,0.0,1486336000.0,368652288.0,8410808320.0,40475197440.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1485836288.0,368652288.0,8411054080.0,40475451392.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,1485828096.0,368652288.0,8411054080.0,40475459584.0
4.174,0.042,95.785,0.0,0.0,0.0,0.0,0.0,1485701120.0,368652288.0,8411054080.0,40475586560.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1484939264.0,368652288.0,8411054080.0,40476348416.0
4.174,0.0,95.659,0.167,0.0,0.0,0.0,24576.0,1484812288.0,368652288.0,8411054080.0,40476475392.0
4.212,0.042,95.746,0.0,0.0,0.0,0.0,0.0,1484587008.0,368652288.0,8411054080.0,40476700672.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,1484263424.0,368652288.0,8411054080.0,40477024256.0
4.174,0.042,95.785,0.0,0.0,0.0,0.0,0.0,1484136448.0,368652288.0,8411054080.0,40477151232.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,1484009472.0,368652288.0,8411054080.0,40477278208.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1483374592.0,368652288.0,8411054080.0,40477913088.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1483231232.0,368652288.0,8411054080.0,40478056448.0
3.880,0.334,95.786,0.0,0.0,0.0,0.0,0.0,1923567616.0,368652288.0,8411054080.0,40037720064.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,1923313664.0,368652288.0,8411054080.0,40037974016.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1923186688.0,368652288.0,8411054080.0,40038100992.0
4.175,0.0,95.699,0.125,0.0,0.0,0.0,12288.0,1923059712.0,368652288.0,8411054080.0,40038227968.0
4.168,0.042,95.790,0.0,0.0,0.0,0.0,0.0,1922633728.0,368652288.0,8411054080.0,40038653952.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1922379776.0,368652288.0,8411054080.0,40038907904.0
4.210,0.0,95.790,0.0,0.0,0.0,0.0,0.0,1922387968.0,368652288.0,8411054080.0,40038899712.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1922252800.0,368652288.0,8411054080.0,40039034880.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,1922072576.0,368652288.0,8411054080.0,40039215104.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1922072576.0,368652288.0,8411054080.0,40039215104.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1921691648.0,368652288.0,8411054080.0,40039596032.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,1921564672.0,368652288.0,8411054080.0,40039723008.0
4.210,0.042,95.707,0.0,0.0,0.042,0.0,0.0,1921409024.0,368652288.0,8411054080.0,40039878656.0
4.168,0.042,95.790,0.0,0.0,0.0,0.0,0.0,1921417216.0,368652288.0,8411054080.0,40039870464.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1921155072.0,368652288.0,8411054080.0,40040132608.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1921155072.0,368652288.0,8411054080.0,40040132608.0
4.214,0.083,95.703,0.0,0.0,0.0,0.0,0.0,1920851968.0,368652288.0,8411054080.0,40040435712.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,1920851968.0,368652288.0,8411054080.0,40040435712.0
4.170,0.083,95.746,0.0,0.0,0.0,0.0,0.0,1920831488.0,368652288.0,8411054080.0,40040456192.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,1920831488.0,368652288.0,8411054080.0,40040456192.0
4.170,0.083,95.746,0.0,0.0,0.0,0.0,0.0,1920782336.0,368652288.0,8411054080.0,40040505344.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,1920790528.0,368652288.0,8411054080.0,40040497152.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1920696320.0,368652288.0,8411054080.0,40040591360.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1920655360.0,368652288.0,8411054080.0,40040632320.0
4.214,0.0,95.786,0.0,0.0,0.0,0.0,0.0,1920655360.0,368652288.0,8411054080.0,40040632320.0
4.175,0.0,95.825,0.0,0.0,0.0,0.0,0.0,1920647168.0,368652288.0,8411054080.0,40040640512.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1920647168.0,368652288.0,8411054080.0,40040640512.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,12288.0,1920647168.0,368652288.0,8411054080.0,40040640512.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1920647168.0,368652288.0,8411054080.0,40040640512.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,1920643072.0,368652288.0,8411058176.0,40040640512.0
4.210,0.042,95.748,0.0,0.0,0.0,0.0,0.0,1920643072.0,368652288.0,8411058176.0,40040640512.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1920643072.0,368652288.0,8411058176.0,40040640512.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,1920643072.0,368652288.0,8411058176.0,40040640512.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1920634880.0,368652288.0,8411058176.0,40040648704.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,1920634880.0,368652288.0,8411058176.0,40040648704.0
4.210,0.042,95.748,0.0,0.0,0.0,0.0,0.0,1920634880.0,368652288.0,8411058176.0,40040648704.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1920634880.0,368652288.0,8411058176.0,40040648704.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,1920634880.0,368652288.0,8411058176.0,40040648704.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1920634880.0,368652288.0,8411058176.0,40040648704.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,1920634880.0,368652288.0,8411058176.0,40040648704.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,1920634880.0,368652288.0,8411058176.0,40040648704.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1920634880.0,368652288.0,8411058176.0,40040648704.0
4.210,0.042,95.748,0.0,0.0,0.0,0.0,0.0,1920634880.0,368652288.0,8411058176.0,40040648704.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,1920634880.0,368652288.0,8411058176.0,40040648704.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1920634880.0,368652288.0,8411058176.0,40040648704.0
4.210,0.042,95.748,0.0,0.0,0.0,0.0,0.0,1920634880.0,368652288.0,8411058176.0,40040648704.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1920634880.0,368652288.0,8411058176.0,40040648704.0
4.175,0.0,95.825,0.0,0.0,0.0,0.0,0.0,1920634880.0,368652288.0,8411058176.0,40040648704.0
4.167,0.083,95.750,0.0,0.0,0.0,0.0,0.0,1920634880.0,368652288.0,8411058176.0,40040648704.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,1920634880.0,368652288.0,8411058176.0,40040648704.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1920634880.0,368652288.0,8411058176.0,40040648704.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1920643072.0,368652288.0,8411058176.0,40040640512.0
4.212,0.0,95.788,0.0,0.0,0.0,0.0,0.0,1920643072.0,368652288.0,8411058176.0,40040640512.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,1920643072.0,368652288.0,8411058176.0,40040640512.0
4.168,0.042,95.790,0.0,0.0,0.0,0.0,0.0,1920643072.0,368652288.0,8411058176.0,40040640512.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1920643072.0,368652288.0,8411058176.0,40040640512.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,1920643072.0,368652288.0,8411058176.0,40040640512.0
4.170,0.042,95.621,0.167,0.0,0.0,0.0,16384.0,1920643072.0,368652288.0,8411058176.0,40040640512.0
4.214,0.0,95.786,0.0,0.0,0.0,0.0,0.0,1920770048.0,368652288.0,8411058176.0,40040513536.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1920770048.0,368652288.0,8411058176.0,40040513536.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1920770048.0,368652288.0,8411058176.0,40040513536.0
4.214,0.042,95.745,0.0,0.0,0.0,0.0,0.0,1920770048.0,368652288.0,8411058176.0,40040513536.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1920761856.0,368652288.0,8411058176.0,40040521728.0
4.172,0.0,95.661,0.167,0.0,0.0,0.0,12288.0,1920761856.0,368652288.0,8411058176.0,40040521728.0
4.210,0.042,95.748,0.0,0.0,0.0,0.0,0.0,1920761856.0,368652288.0,8411058176.0,40040521728.0
4.168,0.042,95.790,0.0,0.0,0.0,0.0,0.0,1920761856.0,368652288.0,8411058176.0,40040521728.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,1920761856.0,368652288.0,8411058176.0,40040521728.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1920761856.0,368652288.0,8411058176.0,40040521728.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1920757760.0,368652288.0,8411058176.0,40040525824.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,1920630784.0,368652288.0,8411058176.0,40040652800.0
4.214,0.083,95.703,0.0,0.0,0.0,0.0,0.0,1920630784.0,368652288.0,8411058176.0,40040652800.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1920630784.0,368652288.0,8411058176.0,40040652800.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1920630784.0,368652288.0,8411058176.0,40040652800.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,1920626688.0,368652288.0,8411062272.0,40040652800.0
4.174,0.042,95.785,0.0,0.0,0.0,0.0,0.0,1920626688.0,368652288.0,8411062272.0,40040652800.0
4.174,0.042,95.785,0.0,0.0,0.0,0.0,0.0,1920626688.0,368652288.0,8411062272.0,40040652800.0
4.175,0.0,95.825,0.0,0.0,0.0,0.0,0.0,1920626688.0,368652288.0,8411062272.0,40040652800.0
