"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-431-9.local",,,,"User:","a57779"
"Cmdline:","dstat -cdm --output ep.C.x.csv",,,,"Date:","25 Feb 2016 05:42:04 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
24.151,1.758,74.059,0.028,0.000,0.003,11497.625,495801.030,988393472.0,368652288.0,8413229056.0,40970719232.0
4.170,0.0,95.830,0.0,0.0,0.0,0.0,0.0,988508160.0,368652288.0,8413233152.0,40970600448.0
4.212,0.125,95.663,0.0,0.0,0.0,0.0,0.0,988405760.0,368652288.0,8413401088.0,40970534912.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,8192.0,988278784.0,368652288.0,8413401088.0,40970661888.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,988024832.0,368652288.0,8413401088.0,40970915840.0
4.214,0.042,95.745,0.0,0.0,0.0,0.0,0.0,987303936.0,368652288.0,8413401088.0,40971636736.0
4.170,0.042,95.621,0.167,0.0,0.0,0.0,12288.0,986923008.0,368652288.0,8413401088.0,40972017664.0
4.174,0.042,95.785,0.0,0.0,0.0,0.0,0.0,986669056.0,368652288.0,8413401088.0,40972271616.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,986071040.0,368652288.0,8413401088.0,40972869632.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,985944064.0,368652288.0,8413401088.0,40972996608.0
4.174,0.042,95.785,0.0,0.0,0.0,0.0,0.0,985681920.0,368652288.0,8413401088.0,40973258752.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,985174016.0,368652288.0,8413401088.0,40973766656.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,984776704.0,368652288.0,8413401088.0,40974163968.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,984522752.0,368652288.0,8413401088.0,40974417920.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,984256512.0,368652288.0,8413401088.0,40974684160.0
4.212,0.042,95.746,0.0,0.0,0.0,0.0,0.0,984129536.0,368652288.0,8413401088.0,40974811136.0
4.174,0.042,95.785,0.0,0.0,0.0,0.0,0.0,983912448.0,368652288.0,8413401088.0,40975028224.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,983441408.0,368652288.0,8413401088.0,40975499264.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,983060480.0,368652288.0,8413401088.0,40975880192.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,983003136.0,368652288.0,8413401088.0,40975937536.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,982876160.0,368652288.0,8413401088.0,40976064512.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,982831104.0,368652288.0,8413401088.0,40976109568.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,982704128.0,368652288.0,8413401088.0,40976236544.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,982323200.0,368652288.0,8413401088.0,40976617472.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,982069248.0,368652288.0,8413401088.0,40976871424.0
4.212,0.042,95.746,0.0,0.0,0.0,0.0,0.0,982069248.0,368652288.0,8413401088.0,40976871424.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,981942272.0,368652288.0,8413401088.0,40976998400.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,981942272.0,368652288.0,8413401088.0,40976998400.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,981909504.0,368652288.0,8413401088.0,40977031168.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,981737472.0,368652288.0,8413401088.0,40977203200.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,981520384.0,368652288.0,8413401088.0,40977420288.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,981520384.0,368652288.0,8413401088.0,40977420288.0
4.210,0.042,95.748,0.0,0.0,0.0,0.0,0.0,981520384.0,368652288.0,8413401088.0,40977420288.0
4.175,0.0,95.825,0.0,0.0,0.0,0.0,0.0,981655552.0,368652288.0,8413401088.0,40977285120.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,981655552.0,368652288.0,8413401088.0,40977285120.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,981594112.0,368652288.0,8413401088.0,40977346560.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,981585920.0,368652288.0,8413401088.0,40977354752.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,981585920.0,368652288.0,8413401088.0,40977354752.0
4.212,0.042,95.746,0.0,0.0,0.0,0.0,4096.0,981704704.0,368652288.0,8413401088.0,40977235968.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,981712896.0,368652288.0,8413401088.0,40977227776.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,981712896.0,368652288.0,8413401088.0,40977227776.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,981712896.0,368652288.0,8413401088.0,40977227776.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,981708800.0,368652288.0,8413405184.0,40977227776.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,981708800.0,368652288.0,8413405184.0,40977227776.0
4.212,0.0,95.788,0.0,0.0,0.0,0.0,0.0,981700608.0,368652288.0,8413405184.0,40977235968.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,981700608.0,368652288.0,8413405184.0,40977235968.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,981700608.0,368652288.0,8413405184.0,40977235968.0
4.214,0.042,95.745,0.0,0.0,0.0,0.0,0.0,981700608.0,368652288.0,8413405184.0,40977235968.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,981700608.0,368652288.0,8413405184.0,40977235968.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,981700608.0,368652288.0,8413405184.0,40977235968.0
4.175,0.0,95.825,0.0,0.0,0.0,0.0,0.0,981696512.0,368652288.0,8413405184.0,40977240064.0
4.214,0.042,95.745,0.0,0.0,0.0,0.0,0.0,981696512.0,368652288.0,8413405184.0,40977240064.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,981696512.0,368652288.0,8413405184.0,40977240064.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,981696512.0,368652288.0,8413405184.0,40977240064.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,981696512.0,368652288.0,8413405184.0,40977240064.0
4.175,0.042,95.783,0.0,0.0,0.0,0.0,0.0,981696512.0,368652288.0,8413405184.0,40977240064.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,981696512.0,368652288.0,8413405184.0,40977240064.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,981696512.0,368652288.0,8413405184.0,40977240064.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,981696512.0,368652288.0,8413405184.0,40977240064.0
4.214,0.042,95.745,0.0,0.0,0.0,0.0,0.0,981823488.0,368652288.0,8413405184.0,40977113088.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,981823488.0,368652288.0,8413405184.0,40977113088.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,981823488.0,368652288.0,8413405184.0,40977113088.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,981823488.0,368652288.0,8413405184.0,40977113088.0
4.214,0.042,95.745,0.0,0.0,0.0,0.0,0.0,981831680.0,368652288.0,8413405184.0,40977104896.0
4.172,0.042,95.661,0.125,0.0,0.0,0.0,12288.0,981831680.0,368652288.0,8413405184.0,40977104896.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,981831680.0,368652288.0,8413405184.0,40977104896.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,981831680.0,368652288.0,8413405184.0,40977104896.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,981831680.0,368652288.0,8413405184.0,40977104896.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,981704704.0,368652288.0,8413405184.0,40977231872.0
4.212,0.0,95.788,0.0,0.0,0.0,0.0,0.0,981704704.0,368652288.0,8413405184.0,40977231872.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,981704704.0,368652288.0,8413405184.0,40977231872.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,981704704.0,368652288.0,8413405184.0,40977231872.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,981704704.0,368652288.0,8413405184.0,40977231872.0
4.175,0.0,95.825,0.0,0.0,0.0,0.0,0.0,981704704.0,368652288.0,8413405184.0,40977231872.0
4.174,0.042,95.785,0.0,0.0,0.0,0.0,0.0,981704704.0,368652288.0,8413405184.0,40977231872.0
4.214,0.042,95.745,0.0,0.0,0.0,0.0,0.0,981712896.0,368652288.0,8413405184.0,40977223680.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,981696512.0,368652288.0,8413405184.0,40977240064.0
4.174,0.042,95.785,0.0,0.0,0.0,0.0,0.0,981696512.0,368652288.0,8413405184.0,40977240064.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,981696512.0,368652288.0,8413405184.0,40977240064.0
4.174,0.042,95.785,0.0,0.0,0.0,0.0,0.0,981704704.0,368652288.0,8413405184.0,40977231872.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,981696512.0,368652288.0,8413405184.0,40977240064.0
4.175,0.0,95.825,0.0,0.0,0.0,0.0,0.0,981696512.0,368652288.0,8413405184.0,40977240064.0
4.212,0.042,95.746,0.0,0.0,0.0,0.0,0.0,981696512.0,368652288.0,8413405184.0,40977240064.0
4.174,0.042,95.785,0.0,0.0,0.0,0.0,0.0,981696512.0,368652288.0,8413405184.0,40977240064.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,981696512.0,368652288.0,8413405184.0,40977240064.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,981704704.0,368652288.0,8413405184.0,40977231872.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,981696512.0,368652288.0,8413405184.0,40977240064.0
4.214,0.042,95.745,0.0,0.0,0.0,0.0,0.0,981692416.0,368652288.0,8413409280.0,40977240064.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,981565440.0,368652288.0,8413409280.0,40977367040.0
4.172,0.083,95.745,0.0,0.0,0.0,0.0,0.0,981565440.0,368652288.0,8413409280.0,40977367040.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,981565440.0,368652288.0,8413409280.0,40977367040.0
4.214,0.042,95.745,0.0,0.0,0.0,0.0,0.0,981565440.0,368652288.0,8413409280.0,40977367040.0
4.174,0.042,95.785,0.0,0.0,0.0,0.0,0.0,981565440.0,368652288.0,8413409280.0,40977367040.0
4.215,0.0,95.785,0.0,0.0,0.0,0.0,0.0,981581824.0,368652288.0,8413409280.0,40977350656.0
4.174,0.042,95.785,0.0,0.0,0.0,0.0,0.0,981573632.0,368652288.0,8413409280.0,40977358848.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,981573632.0,368652288.0,8413409280.0,40977358848.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,981573632.0,368652288.0,8413409280.0,40977358848.0
4.214,0.042,95.745,0.0,0.0,0.0,0.0,0.0,981573632.0,368652288.0,8413409280.0,40977358848.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,4096.0,981573632.0,368652288.0,8413409280.0,40977358848.0
4.174,0.042,95.785,0.0,0.0,0.0,0.0,0.0,981573632.0,368652288.0,8413409280.0,40977358848.0
4.175,0.0,95.825,0.0,0.0,0.0,0.0,0.0,981573632.0,368652288.0,8413409280.0,40977358848.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,981573632.0,368652288.0,8413409280.0,40977358848.0
4.215,0.0,95.785,0.0,0.0,0.0,0.0,0.0,981573632.0,368652288.0,8413409280.0,40977358848.0
4.174,0.042,95.785,0.0,0.0,0.0,0.0,0.0,981573632.0,368652288.0,8413409280.0,40977358848.0
4.174,0.042,95.785,0.0,0.0,0.0,0.0,0.0,981573632.0,368652288.0,8413409280.0,40977358848.0
4.175,0.0,95.825,0.0,0.0,0.0,0.0,0.0,981700608.0,368652288.0,8413409280.0,40977231872.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,981700608.0,368652288.0,8413409280.0,40977231872.0
4.174,0.042,95.785,0.0,0.0,0.0,0.0,0.0,981700608.0,368652288.0,8413409280.0,40977231872.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,981700608.0,368652288.0,8413409280.0,40977231872.0
4.174,0.042,95.785,0.0,0.0,0.0,0.0,0.0,981700608.0,368652288.0,8413409280.0,40977231872.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,981700608.0,368652288.0,8413409280.0,40977231872.0
4.214,0.042,95.745,0.0,0.0,0.0,0.0,0.0,981700608.0,368652288.0,8413409280.0,40977231872.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,981692416.0,368652288.0,8413409280.0,40977240064.0
4.134,0.042,95.825,0.0,0.0,0.0,0.0,0.0,981819392.0,368652288.0,8413409280.0,40977113088.0
4.214,0.042,95.745,0.0,0.0,0.0,0.0,0.0,981819392.0,368652288.0,8413409280.0,40977113088.0
4.174,0.042,95.785,0.0,0.0,0.0,0.0,0.0,981819392.0,368652288.0,8413409280.0,40977113088.0
4.175,0.0,95.825,0.0,0.0,0.0,0.0,0.0,981692416.0,368652288.0,8413409280.0,40977240064.0
4.174,0.042,95.785,0.0,0.0,0.0,0.0,0.0,981692416.0,368652288.0,8413409280.0,40977240064.0
4.174,0.0,95.618,0.209,0.0,0.0,0.0,16384.0,981692416.0,368652288.0,8413409280.0,40977240064.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,981692416.0,368652288.0,8413409280.0,40977240064.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,981692416.0,368652288.0,8413409280.0,40977240064.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,981827584.0,368652288.0,8413409280.0,40977104896.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,981819392.0,368652288.0,8413409280.0,40977113088.0
4.175,0.0,95.825,0.0,0.0,0.0,0.0,0.0,981819392.0,368652288.0,8413409280.0,40977113088.0
4.174,0.042,95.659,0.125,0.0,0.0,0.0,12288.0,981819392.0,368652288.0,8413409280.0,40977113088.0
4.174,0.042,95.785,0.0,0.0,0.0,0.0,0.0,981819392.0,368652288.0,8413409280.0,40977113088.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,981819392.0,368652288.0,8413409280.0,40977113088.0
4.172,0.083,95.745,0.0,0.0,0.0,0.0,0.0,981819392.0,368652288.0,8413409280.0,40977113088.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,981819392.0,368652288.0,8413409280.0,40977113088.0
4.172,0.083,95.745,0.0,0.0,0.0,0.0,0.0,981819392.0,368652288.0,8413409280.0,40977113088.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,981692416.0,368652288.0,8413409280.0,40977240064.0
4.174,0.042,95.785,0.0,0.0,0.0,0.0,0.0,981692416.0,368652288.0,8413409280.0,40977240064.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,981565440.0,368652288.0,8413409280.0,40977367040.0
4.174,0.042,95.785,0.0,0.0,0.0,0.0,0.0,981581824.0,368652288.0,8413409280.0,40977350656.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,981569536.0,368652288.0,8413413376.0,40977358848.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,981569536.0,368652288.0,8413413376.0,40977358848.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,981569536.0,368652288.0,8413413376.0,40977358848.0
4.214,0.042,95.745,0.0,0.0,0.0,0.0,0.0,981569536.0,368652288.0,8413413376.0,40977358848.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,981569536.0,368652288.0,8413413376.0,40977358848.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,981569536.0,368652288.0,8413413376.0,40977358848.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,981565440.0,368652288.0,8413413376.0,40977362944.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,981565440.0,368652288.0,8413413376.0,40977362944.0
4.175,0.0,95.825,0.0,0.0,0.0,0.0,0.0,981565440.0,368652288.0,8413413376.0,40977362944.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,981565440.0,368652288.0,8413413376.0,40977362944.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,981557248.0,368652288.0,8413413376.0,40977371136.0
4.174,0.042,95.785,0.0,0.0,0.0,0.0,0.0,981557248.0,368652288.0,8413413376.0,40977371136.0
4.175,0.0,95.825,0.0,0.0,0.0,0.0,0.0,981557248.0,368652288.0,8413413376.0,40977371136.0


"Host:","compute-431-9.local",,,,"User:","a57779"
"Cmdline:","dstat -cdm --output ep.C.x.csv",,,,"Date:","25 Feb 2016 05:44:33 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
24.151,1.758,74.060,0.028,0.000,0.003,11497.558,495798.129,982917120.0,368652288.0,8413417472.0,40976007168.0
8.333,0.042,91.625,0.0,0.0,0.0,0.0,0.0,983298048.0,368652288.0,8413417472.0,40975626240.0
8.340,0.042,91.618,0.0,0.0,0.0,0.0,0.0,983298048.0,368652288.0,8413417472.0,40975626240.0
8.337,0.042,91.622,0.0,0.0,0.0,0.0,0.0,983810048.0,368652288.0,8413417472.0,40975114240.0
8.340,0.042,91.618,0.0,0.0,0.0,0.0,8192.0,983805952.0,368652288.0,8413417472.0,40975118336.0
8.340,0.042,91.618,0.0,0.0,0.0,0.0,0.0,983805952.0,368652288.0,8413417472.0,40975118336.0
8.378,0.042,91.455,0.125,0.0,0.0,0.0,24576.0,983425024.0,368652288.0,8413417472.0,40975499264.0
8.340,0.042,91.618,0.0,0.0,0.0,0.0,0.0,983552000.0,368652288.0,8413417472.0,40975372288.0
8.340,0.042,91.618,0.0,0.0,0.0,0.0,0.0,983482368.0,368652288.0,8413417472.0,40975441920.0
8.344,0.0,91.656,0.0,0.0,0.0,0.0,0.0,983355392.0,368652288.0,8413417472.0,40975568896.0
8.344,0.0,91.656,0.0,0.0,0.0,0.0,0.0,983355392.0,368652288.0,8413417472.0,40975568896.0
8.340,0.042,91.618,0.0,0.0,0.0,0.0,0.0,983355392.0,368652288.0,8413417472.0,40975568896.0
8.347,0.0,91.653,0.0,0.0,0.0,0.0,0.0,983220224.0,368652288.0,8413417472.0,40975704064.0
8.344,0.0,91.656,0.0,0.0,0.0,0.0,0.0,983220224.0,368652288.0,8413417472.0,40975704064.0
8.340,0.042,91.618,0.0,0.0,0.0,0.0,0.0,983228416.0,368652288.0,8413417472.0,40975695872.0
8.337,0.083,91.580,0.0,0.0,0.0,0.0,0.0,983101440.0,368652288.0,8413417472.0,40975822848.0
8.340,0.042,91.618,0.0,0.0,0.0,0.0,0.0,983101440.0,368652288.0,8413417472.0,40975822848.0
8.340,0.042,91.618,0.0,0.0,0.0,0.0,0.0,982982656.0,368652288.0,8413417472.0,40975941632.0
8.340,0.042,91.618,0.0,0.0,0.0,0.0,0.0,982982656.0,368652288.0,8413417472.0,40975941632.0
8.344,0.0,91.656,0.0,0.0,0.0,0.0,0.0,982974464.0,368652288.0,8413417472.0,40975949824.0
8.337,0.083,91.580,0.0,0.0,0.0,0.0,0.0,982974464.0,368652288.0,8413417472.0,40975949824.0
8.340,0.0,91.660,0.0,0.0,0.0,0.0,0.0,982974464.0,368652288.0,8413417472.0,40975949824.0
8.344,0.042,91.615,0.0,0.0,0.0,0.0,0.0,982974464.0,368652288.0,8413417472.0,40975949824.0
8.337,0.042,91.622,0.0,0.0,0.0,0.0,0.0,982720512.0,368652288.0,8413417472.0,40976203776.0
8.340,0.042,91.618,0.0,0.0,0.0,0.0,0.0,982720512.0,368652288.0,8413417472.0,40976203776.0
8.340,0.042,91.618,0.0,0.0,0.0,0.0,0.0,982708224.0,368652288.0,8413417472.0,40976216064.0
8.340,0.042,91.618,0.0,0.0,0.0,0.0,0.0,982708224.0,368652288.0,8413417472.0,40976216064.0
8.340,0.042,91.618,0.0,0.0,0.0,0.0,0.0,982581248.0,368652288.0,8413417472.0,40976343040.0
8.340,0.042,91.618,0.0,0.0,0.0,0.0,0.0,982573056.0,368652288.0,8413417472.0,40976351232.0
8.340,0.042,91.618,0.0,0.0,0.0,0.0,0.0,982573056.0,368652288.0,8413417472.0,40976351232.0
8.337,0.042,91.622,0.0,0.0,0.0,0.0,0.0,982822912.0,368652288.0,8413421568.0,40976097280.0
8.340,0.042,91.618,0.0,0.0,0.0,0.0,0.0,982831104.0,368652288.0,8413421568.0,40976089088.0
8.340,0.042,91.618,0.0,0.0,0.0,0.0,0.0,982831104.0,368652288.0,8413421568.0,40976089088.0
8.389,0.042,91.569,0.0,0.0,0.0,0.0,0.0,982814720.0,368652288.0,8413421568.0,40976105472.0
8.340,0.042,91.618,0.0,0.0,0.0,0.0,4096.0,982814720.0,368652288.0,8413421568.0,40976105472.0
8.344,0.0,91.656,0.0,0.0,0.0,0.0,0.0,982937600.0,368652288.0,8413421568.0,40975982592.0
8.340,0.042,91.535,0.083,0.0,0.0,0.0,24576.0,982937600.0,368652288.0,8413421568.0,40975982592.0
