"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-641-1.local",,,,"User:","a57779"
"Cmdline:","dstat -cdm --output cg.C.x.csv",,,,"Date:","25 Feb 2016 04:43:23 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
49.979,5.459,44.432,0.098,0.000,0.032,179915.537,548141.451,860094464.0,56332288.0,58413056.0,66683695104.0
2.784,0.407,96.810,0.0,0.0,0.0,0.0,0.0,1343463424.0,56332288.0,58413056.0,66200326144.0
3.130,0.063,96.808,0.0,0.0,0.0,0.0,0.0,1343492096.0,56332288.0,58417152.0,66200293376.0
3.131,0.063,96.807,0.0,0.0,0.0,0.0,0.0,1343557632.0,56332288.0,58421248.0,66200223744.0
3.131,0.063,96.212,0.595,0.0,0.0,0.0,28672.0,1343467520.0,56340480.0,58413056.0,66200313856.0
3.130,0.063,96.808,0.0,0.0,0.0,0.0,0.0,1343107072.0,56340480.0,58421248.0,66200666112.0
3.162,0.063,96.775,0.0,0.0,0.0,0.0,0.0,1342840832.0,56340480.0,58421248.0,66200932352.0
3.131,0.125,96.744,0.0,0.0,0.0,0.0,0.0,1342840832.0,56340480.0,58421248.0,66200932352.0
3.162,0.063,96.775,0.0,0.0,0.0,0.0,0.0,1342586880.0,56340480.0,58421248.0,66201186304.0
3.132,0.063,96.806,0.0,0.0,0.0,0.0,0.0,1342013440.0,56340480.0,58421248.0,66201759744.0
3.132,0.063,96.806,0.0,0.0,0.0,0.0,0.0,1342013440.0,56340480.0,58421248.0,66201759744.0
3.131,0.094,96.775,0.0,0.0,0.0,0.0,0.0,1341628416.0,56340480.0,58421248.0,66202144768.0
3.161,0.063,96.776,0.0,0.0,0.0,0.0,0.0,1341501440.0,56340480.0,58421248.0,66202271744.0
2.819,0.376,96.806,0.0,0.0,0.0,0.0,0.0,1774784512.0,56340480.0,58421248.0,65768988672.0
3.130,0.063,96.808,0.0,0.0,0.0,0.0,0.0,1781710848.0,56340480.0,58421248.0,65762062336.0
3.130,0.063,96.808,0.0,0.0,0.0,0.0,0.0,1781473280.0,56340480.0,58421248.0,65762299904.0
3.132,0.063,96.806,0.0,0.0,0.0,0.0,0.0,1781219328.0,56340480.0,58421248.0,65762553856.0
3.132,0.063,96.806,0.0,0.0,0.0,0.0,0.0,1780957184.0,56340480.0,58421248.0,65762816000.0
3.131,0.094,96.775,0.0,0.0,0.0,0.0,0.0,1780895744.0,56340480.0,58421248.0,65762877440.0
3.131,0.031,96.838,0.0,0.0,0.0,0.0,0.0,1780641792.0,56340480.0,58421248.0,65763131392.0
3.131,0.063,96.807,0.0,0.0,0.0,0.0,0.0,1780592640.0,56340480.0,58421248.0,65763180544.0
3.161,0.063,96.776,0.0,0.0,0.0,0.0,0.0,1780592640.0,56340480.0,58421248.0,65763180544.0
3.130,0.063,96.808,0.0,0.0,0.0,0.0,0.0,1780338688.0,56340480.0,58421248.0,65763434496.0
3.132,0.094,96.774,0.0,0.0,0.0,0.0,0.0,1780084736.0,56340480.0,58421248.0,65763688448.0
3.131,0.063,96.807,0.0,0.0,0.0,0.0,0.0,1780084736.0,56340480.0,58421248.0,65763688448.0
3.131,0.063,96.807,0.0,0.0,0.0,0.0,0.0,1779838976.0,56340480.0,58421248.0,65763934208.0
3.161,0.063,96.776,0.0,0.0,0.0,0.0,0.0,1779838976.0,56340480.0,58421248.0,65763934208.0
3.132,0.063,96.806,0.0,0.0,0.0,0.0,0.0,1779838976.0,56340480.0,58421248.0,65763934208.0
3.131,0.063,96.807,0.0,0.0,0.0,0.0,0.0,1779556352.0,56340480.0,58421248.0,65764216832.0
3.131,0.031,96.838,0.0,0.0,0.0,0.0,0.0,1779302400.0,56340480.0,58421248.0,65764470784.0
3.130,0.063,96.808,0.0,0.0,0.0,0.0,0.0,1779302400.0,56340480.0,58421248.0,65764470784.0
3.162,0.063,96.775,0.0,0.0,0.0,0.0,0.0,1779253248.0,56340480.0,58421248.0,65764519936.0
3.131,0.063,96.807,0.0,0.0,0.0,0.0,0.0,1779253248.0,56340480.0,58421248.0,65764519936.0
3.131,0.063,96.807,0.0,0.0,0.0,0.0,0.0,1779253248.0,56340480.0,58421248.0,65764519936.0
3.129,0.063,96.809,0.0,0.0,0.0,0.0,0.0,1779036160.0,56340480.0,58421248.0,65764737024.0
3.129,0.063,96.809,0.0,0.0,0.0,0.0,0.0,1779052544.0,56340480.0,58421248.0,65764720640.0
3.132,0.031,96.837,0.0,0.0,0.0,0.0,12288.0,1779052544.0,56340480.0,58421248.0,65764720640.0
3.130,0.094,96.776,0.0,0.0,0.0,0.0,0.0,1779052544.0,56340480.0,58421248.0,65764720640.0
3.161,0.063,96.776,0.0,0.0,0.0,0.0,0.0,1779052544.0,56340480.0,58421248.0,65764720640.0
3.132,0.063,96.806,0.0,0.0,0.0,0.0,0.0,1779052544.0,56340480.0,58421248.0,65764720640.0
3.130,0.063,96.808,0.0,0.0,0.0,0.0,0.0,1779027968.0,56340480.0,58421248.0,65764745216.0
3.131,0.063,96.807,0.0,0.0,0.0,0.0,0.0,1779027968.0,56340480.0,58421248.0,65764745216.0
3.131,0.063,96.807,0.0,0.0,0.0,0.0,0.0,1779023872.0,56340480.0,58425344.0,65764745216.0
3.131,0.031,96.838,0.0,0.0,0.0,0.0,0.0,1779023872.0,56340480.0,58425344.0,65764745216.0
3.130,0.063,96.808,0.0,0.0,0.0,0.0,0.0,1779023872.0,56340480.0,58425344.0,65764745216.0
3.160,0.063,96.777,0.0,0.0,0.0,0.0,0.0,1779032064.0,56340480.0,58425344.0,65764737024.0
3.128,0.031,96.841,0.0,0.0,0.0,0.0,0.0,1779032064.0,56340480.0,58425344.0,65764737024.0
3.132,0.063,96.806,0.0,0.0,0.0,0.0,0.0,1779032064.0,56340480.0,58425344.0,65764737024.0
3.130,0.063,96.808,0.0,0.0,0.0,0.0,0.0,1779032064.0,56340480.0,58425344.0,65764737024.0
3.132,0.031,96.837,0.0,0.0,0.0,0.0,0.0,1779159040.0,56340480.0,58425344.0,65764610048.0
3.130,0.094,96.776,0.0,0.0,0.0,0.0,0.0,1779159040.0,56340480.0,58425344.0,65764610048.0
3.162,0.063,96.775,0.0,0.0,0.0,0.0,0.0,1779159040.0,56340480.0,58425344.0,65764610048.0
3.132,0.094,96.774,0.0,0.0,0.0,0.0,0.0,1779167232.0,56340480.0,58425344.0,65764601856.0
