"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-641-1.local",,,,"User:","a57779"
"Cmdline:","dstat -cdm --output cg.B.x.csv",,,,"Date:","25 Feb 2016 05:16:27 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
49.976,5.458,44.435,0.098,0.000,0.032,179901.575,548099.006,869122048.0,57106432.0,62599168.0,66669707264.0
3.003,0.156,96.841,0.0,0.0,0.0,0.0,0.0,1050112000.0,57106432.0,62734336.0,66488582144.0
3.160,0.094,96.746,0.0,0.0,0.0,0.0,0.0,1050112000.0,57106432.0,62734336.0,66488582144.0
3.130,0.156,96.714,0.0,0.0,0.0,0.0,0.0,1050361856.0,57106432.0,62738432.0,66488328192.0
3.161,0.063,96.776,0.0,0.0,0.0,0.0,0.0,1049853952.0,57106432.0,62738432.0,66488836096.0
3.007,0.188,96.806,0.0,0.0,0.0,0.0,0.0,1217138688.0,57106432.0,62738432.0,66321551360.0
3.158,0.094,96.123,0.625,0.0,0.0,0.0,16384.0,1216241664.0,57114624.0,62738432.0,66322440192.0
3.127,0.031,96.842,0.0,0.0,0.0,0.0,28672.0,1215860736.0,57114624.0,62738432.0,66322821120.0
3.158,0.063,96.779,0.0,0.0,0.0,0.0,0.0,1215860736.0,57114624.0,62738432.0,66322821120.0
3.127,0.063,96.811,0.0,0.0,0.0,0.0,0.0,1215606784.0,57114624.0,62738432.0,66323075072.0
3.128,0.031,96.841,0.0,0.0,0.0,0.0,0.0,1215225856.0,57114624.0,62738432.0,66323456000.0
3.156,0.062,96.750,0.0,0.0,0.031,0.0,0.0,1214210048.0,57114624.0,62738432.0,66324471808.0
3.130,0.063,96.369,0.438,0.0,0.0,0.0,0.0,1213952000.0,57118720.0,62738432.0,66324725760.0
3.129,0.094,96.589,0.188,0.0,0.0,0.0,65536.0,1213698048.0,57122816.0,62734336.0,66324979712.0
