"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-641-1.local",,,,"User:","a57779"
"Cmdline:","dstat -cdm --output ep.B.x.csv",,,,"Date:","25 Feb 2016 05:42:28 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
49.974,5.458,44.437,0.098,0.000,0.032,179890.587,548065.589,846921728.0,57589760.0,65216512.0,66688806912.0
3.128,0.031,96.841,0.0,0.0,0.0,0.0,0.0,846663680.0,57589760.0,65220608.0,66689060864.0
3.162,0.063,96.775,0.0,0.0,0.0,0.0,0.0,846512128.0,57589760.0,65245184.0,66689187840.0
3.131,0.063,96.807,0.0,0.0,0.0,0.0,0.0,846917632.0,57589760.0,65286144.0,66688741376.0
3.131,0.063,96.807,0.0,0.0,0.0,0.0,0.0,846536704.0,57589760.0,65286144.0,66689122304.0
3.132,0.031,96.837,0.0,0.0,0.0,0.0,0.0,845901824.0,57589760.0,65286144.0,66689757184.0
3.161,0.063,96.150,0.626,0.0,0.0,0.0,20480.0,845139968.0,57597952.0,65277952.0,66690519040.0
3.132,0.031,96.837,0.0,0.0,0.0,0.0,0.0,844759040.0,57597952.0,65277952.0,66690899968.0
3.132,0.063,96.806,0.0,0.0,0.0,0.0,0.0,844242944.0,57597952.0,65286144.0,66691407872.0
3.132,0.031,96.837,0.0,0.0,0.0,0.0,0.0,844234752.0,57597952.0,65286144.0,66691416064.0
3.132,0.031,96.837,0.0,0.0,0.0,0.0,0.0,843669504.0,57597952.0,65286144.0,66691981312.0
3.129,0.063,96.809,0.0,0.0,0.0,0.0,0.0,842653696.0,57597952.0,65286144.0,66692997120.0
3.131,0.094,96.775,0.0,0.0,0.0,0.0,0.0,842145792.0,57597952.0,65286144.0,66693505024.0
3.161,0.094,96.745,0.0,0.0,0.0,0.0,0.0,841986048.0,57597952.0,65286144.0,66693664768.0
3.129,0.031,96.840,0.0,0.0,0.0,0.0,0.0,841605120.0,57597952.0,65286144.0,66694045696.0
3.129,0.094,96.777,0.0,0.0,0.0,0.0,0.0,841224192.0,57597952.0,65286144.0,66694426624.0
3.129,0.031,96.840,0.0,0.0,0.0,0.0,0.0,840843264.0,57597952.0,65286144.0,66694807552.0
3.161,0.094,96.745,0.0,0.0,0.0,0.0,0.0,840359936.0,57597952.0,65286144.0,66695290880.0
3.161,0.094,96.745,0.0,0.0,0.0,0.0,0.0,839811072.0,57597952.0,65286144.0,66695839744.0
3.131,0.094,96.775,0.0,0.0,0.0,0.0,0.0,839430144.0,57597952.0,65286144.0,66696220672.0
3.161,0.063,96.776,0.0,0.0,0.0,0.0,0.0,839311360.0,57597952.0,65286144.0,66696339456.0
3.130,0.094,96.776,0.0,0.0,0.0,0.0,0.0,839184384.0,57597952.0,65286144.0,66696466432.0
3.161,0.094,96.745,0.0,0.0,0.0,0.0,0.0,838930432.0,57597952.0,65286144.0,66696720384.0
3.132,0.063,96.806,0.0,0.0,0.0,0.0,0.0,838422528.0,57597952.0,65286144.0,66697228288.0
3.130,0.063,96.808,0.0,0.0,0.0,0.0,0.0,837914624.0,57597952.0,65286144.0,66697736192.0
3.159,0.094,96.747,0.0,0.0,0.0,0.0,0.0,837406720.0,57597952.0,65286144.0,66698244096.0
3.130,0.063,96.808,0.0,0.0,0.0,0.0,0.0,837160960.0,57597952.0,65286144.0,66698489856.0
3.129,0.094,96.777,0.0,0.0,0.0,0.0,0.0,837033984.0,57597952.0,65286144.0,66698616832.0
3.131,0.031,96.838,0.0,0.0,0.0,0.0,0.0,836878336.0,57597952.0,65286144.0,66698772480.0
3.128,0.094,96.778,0.0,0.0,0.0,0.0,0.0,836505600.0,57597952.0,65286144.0,66699145216.0
3.133,0.031,96.836,0.0,0.0,0.0,0.0,0.0,836005888.0,57597952.0,65286144.0,66699644928.0
3.162,0.063,96.775,0.0,0.0,0.0,0.0,8192.0,835588096.0,57597952.0,65286144.0,66700062720.0
3.130,0.094,96.776,0.0,0.0,0.0,0.0,0.0,835543040.0,57597952.0,65286144.0,66700107776.0
3.132,0.063,96.806,0.0,0.0,0.0,0.0,0.0,835518464.0,57597952.0,65286144.0,66700132352.0
3.131,0.063,96.807,0.0,0.0,0.0,0.0,0.0,835411968.0,57597952.0,65286144.0,66700238848.0


"Host:","compute-641-1.local",,,,"User:","a57779"
"Cmdline:","dstat -cdm --output ep.B.x.csv",,,,"Date:","25 Feb 2016 05:43:05 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
49.974,5.458,44.437,0.098,0.000,0.032,179890.330,548064.805,835117056.0,57597952.0,65286144.0,66700533760.0
6.275,0.062,93.662,0.0,0.0,0.0,0.0,0.0,835362816.0,57597952.0,65286144.0,66700288000.0
6.254,0.063,93.684,0.0,0.0,0.0,0.0,0.0,835887104.0,57597952.0,65286144.0,66699763712.0
6.256,0.094,93.650,0.0,0.0,0.0,0.0,0.0,836276224.0,57597952.0,65286144.0,66699374592.0
6.256,0.063,93.682,0.0,0.0,0.0,0.0,0.0,836276224.0,57597952.0,65286144.0,66699374592.0
6.264,0.063,93.674,0.0,0.0,0.0,0.0,0.0,836276224.0,57597952.0,65286144.0,66699374592.0
6.260,0.063,93.083,0.595,0.0,0.0,0.0,20480.0,836907008.0,57606144.0,65286144.0,66698735616.0
6.264,0.063,93.674,0.0,0.0,0.0,0.0,0.0,836763648.0,57606144.0,65290240.0,66698874880.0
6.293,0.031,93.676,0.0,0.0,0.0,0.0,0.0,836702208.0,57606144.0,65290240.0,66698936320.0
6.260,0.063,93.678,0.0,0.0,0.0,0.0,0.0,836575232.0,57606144.0,65290240.0,66699063296.0
6.252,0.063,93.686,0.0,0.0,0.0,0.0,0.0,836575232.0,57606144.0,65290240.0,66699063296.0
6.256,0.063,93.682,0.0,0.0,0.0,0.0,0.0,836575232.0,57606144.0,65290240.0,66699063296.0
6.266,0.063,93.672,0.0,0.0,0.0,0.0,0.0,836329472.0,57606144.0,65290240.0,66699309056.0
6.262,0.094,93.644,0.0,0.0,0.0,0.0,0.0,836329472.0,57606144.0,65290240.0,66699309056.0
6.283,0.094,93.623,0.0,0.0,0.0,0.0,0.0,836329472.0,57606144.0,65290240.0,66699309056.0
6.262,0.094,93.644,0.0,0.0,0.0,0.0,0.0,836202496.0,57606144.0,65290240.0,66699436032.0
6.262,0.063,93.676,0.0,0.0,0.0,0.0,0.0,836177920.0,57606144.0,65290240.0,66699460608.0
6.264,0.063,93.674,0.0,0.0,0.0,0.0,0.0,836304896.0,57606144.0,65290240.0,66699333632.0


"Host:","compute-641-1.local",,,,"User:","a57779"
"Cmdline:","dstat -cdm --output ep.B.x.csv",,,,"Date:","25 Feb 2016 05:43:24 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
49.974,5.458,44.437,0.098,0.000,0.032,179890.193,548064.389,843583488.0,57606144.0,65290240.0,66692055040.0
12.500,0.062,87.438,0.0,0.0,0.0,0.0,0.0,843735040.0,57606144.0,65290240.0,66691903488.0
12.535,0.063,87.402,0.0,0.0,0.0,0.0,0.0,844177408.0,57606144.0,65290240.0,66691461120.0
12.512,0.031,86.863,0.594,0.0,0.0,0.0,24576.0,844431360.0,57614336.0,65282048.0,66691207168.0
12.512,0.063,87.426,0.0,0.0,0.0,0.0,0.0,844427264.0,57614336.0,65290240.0,66691203072.0
12.512,0.063,87.426,0.0,0.0,0.0,0.0,0.0,842203136.0,57614336.0,65290240.0,66693427200.0
12.543,0.063,87.394,0.0,0.0,0.0,0.0,0.0,841785344.0,57614336.0,65290240.0,66693844992.0
12.508,0.063,87.430,0.0,0.0,0.0,0.0,0.0,842424320.0,57614336.0,65290240.0,66693206016.0
12.512,0.031,87.457,0.0,0.0,0.0,0.0,0.0,842412032.0,57614336.0,65290240.0,66693218304.0


"Host:","compute-641-1.local",,,,"User:","a57779"
"Cmdline:","dstat -cdm --output ep.B.x.csv",,,,"Date:","25 Feb 2016 05:43:35 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
49.974,5.458,44.437,0.098,0.000,0.032,179890.117,548064.159,849551360.0,57622528.0,65290240.0,66686070784.0
25.023,0.094,74.883,0.0,0.0,0.0,0.0,0.0,850046976.0,57622528.0,65294336.0,66685571072.0
25.016,0.063,74.922,0.0,0.0,0.0,0.0,0.0,850169856.0,57622528.0,65294336.0,66685448192.0
25.039,0.063,74.898,0.0,0.0,0.0,0.0,0.0,850186240.0,57622528.0,65294336.0,66685431808.0
25.023,0.031,74.945,0.0,0.0,0.0,0.0,8192.0,849932288.0,57622528.0,65294336.0,66685685760.0


"Host:","compute-641-1.local",,,,"User:","a57779"
"Cmdline:","dstat -cdm --output ep.B.x.csv",,,,"Date:","25 Feb 2016 05:43:41 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
49.974,5.458,44.437,0.098,0.000,0.032,179890.072,548064.022,854827008.0,57630720.0,65294336.0,66680782848.0
31.293,0.062,68.645,0.0,0.0,0.0,0.0,0.0,855597056.0,57630720.0,65294336.0,66680012800.0
