"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-641-1.local",,,,"User:","a57779"
"Cmdline:","dstat -cdm --output cg.B.x.csv",,,,"Date:","25 Feb 2016 04:38:04 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
49.980,5.459,44.431,0.098,0.000,0.032,179917.782,548148.272,867524608.0,56201216.0,57389056.0,66677420032.0
3.031,0.188,96.781,0.0,0.0,0.0,0.0,0.0,1047904256.0,56201216.0,57528320.0,66496901120.0
3.132,0.063,96.806,0.0,0.0,0.0,0.0,0.0,1048158208.0,56201216.0,57528320.0,66496647168.0
3.132,0.063,96.806,0.0,0.0,0.0,0.0,0.0,1048158208.0,56201216.0,57528320.0,66496647168.0
3.131,0.063,96.807,0.0,0.0,0.0,0.0,0.0,1047879680.0,56201216.0,57528320.0,66496925696.0
3.036,0.219,96.745,0.0,0.0,0.0,0.0,24576.0,1215332352.0,56201216.0,57528320.0,66329473024.0
3.130,0.094,96.714,0.063,0.0,0.0,0.0,28672.0,1214640128.0,56209408.0,57520128.0,66330165248.0
3.129,0.031,96.840,0.0,0.0,0.0,0.0,0.0,1214291968.0,56209408.0,57528320.0,66330505216.0
3.162,0.063,96.775,0.0,0.0,0.0,0.0,0.0,1213911040.0,56209408.0,57528320.0,66330886144.0
3.132,0.063,96.806,0.0,0.0,0.0,0.0,0.0,1213911040.0,56209408.0,57528320.0,66330886144.0
3.131,0.063,96.807,0.0,0.0,0.0,0.0,20480.0,1213632512.0,56209408.0,57528320.0,66331164672.0
3.162,0.094,96.744,0.0,0.0,0.0,0.0,0.0,1213038592.0,56209408.0,57528320.0,66331758592.0
3.132,0.063,96.806,0.0,0.0,0.0,0.0,0.0,1212276736.0,56209408.0,57528320.0,66332520448.0
3.160,0.094,96.746,0.0,0.0,0.0,0.0,0.0,1212022784.0,56209408.0,57528320.0,66332774400.0
3.134,0.031,96.835,0.0,0.0,0.0,0.0,0.0,1211760640.0,56209408.0,57528320.0,66333036544.0
3.130,0.094,96.776,0.0,0.0,0.0,0.0,0.0,1211641856.0,56209408.0,57528320.0,66333155328.0
3.134,0.031,96.271,0.564,0.0,0.0,0.0,20480.0,1211256832.0,56217600.0,57524224.0,66333536256.0
3.161,0.063,96.776,0.0,0.0,0.0,0.0,0.0,1211637760.0,56217600.0,57528320.0,66333151232.0
3.131,0.094,96.775,0.0,0.0,0.0,0.0,0.0,1211252736.0,56217600.0,57528320.0,66333536256.0
3.133,0.063,96.805,0.0,0.0,0.0,0.0,0.0,1210998784.0,56217600.0,57528320.0,66333790208.0
3.162,0.063,96.775,0.0,0.0,0.0,0.0,0.0,1210490880.0,56217600.0,57528320.0,66334298112.0
3.131,0.063,96.807,0.0,0.0,0.0,0.0,0.0,1210343424.0,56217600.0,57528320.0,66334445568.0
3.134,0.031,96.835,0.0,0.0,0.0,0.0,0.0,1210216448.0,56217600.0,57528320.0,66334572544.0
3.131,0.063,96.180,0.626,0.0,0.0,0.0,16384.0,1209946112.0,56225792.0,57528320.0,66334834688.0
3.161,0.063,96.776,0.0,0.0,0.0,0.0,0.0,1209438208.0,56225792.0,57528320.0,66335342592.0
3.132,0.063,96.806,0.0,0.0,0.0,0.0,0.0,1209184256.0,56225792.0,57528320.0,66335596544.0
3.131,0.063,96.807,0.0,0.0,0.0,0.0,0.0,1208676352.0,56225792.0,57528320.0,66336104448.0
3.131,0.094,96.775,0.0,0.0,0.0,0.0,0.0,1208422400.0,56225792.0,57528320.0,66336358400.0
3.133,0.031,96.836,0.0,0.0,0.0,0.0,0.0,1208295424.0,56225792.0,57528320.0,66336485376.0
3.161,0.094,96.745,0.0,0.0,0.0,0.0,0.0,1208168448.0,56225792.0,57528320.0,66336612352.0
3.131,0.063,96.807,0.0,0.0,0.0,0.0,0.0,1207320576.0,56225792.0,57528320.0,66337460224.0
3.133,0.031,96.836,0.0,0.0,0.0,0.0,0.0,1207320576.0,56225792.0,57528320.0,66337460224.0
3.131,0.094,96.775,0.0,0.0,0.0,0.0,0.0,1206759424.0,56225792.0,57528320.0,66338021376.0
3.161,0.063,96.776,0.0,0.0,0.0,0.0,0.0,1206767616.0,56225792.0,57528320.0,66338013184.0
3.134,0.031,96.835,0.0,0.0,0.0,0.0,0.0,1206661120.0,56225792.0,57528320.0,66338119680.0
3.130,0.094,96.776,0.0,0.0,0.0,0.0,0.0,1206607872.0,56225792.0,57528320.0,66338172928.0
3.128,0.094,96.778,0.0,0.0,0.0,0.0,0.0,1206243328.0,56225792.0,57528320.0,66338537472.0
3.163,0.031,96.806,0.0,0.0,0.0,0.0,0.0,1206243328.0,56225792.0,57528320.0,66338537472.0
3.129,0.094,96.777,0.0,0.0,0.0,0.0,0.0,1206059008.0,56225792.0,57528320.0,66338721792.0
3.129,0.094,96.777,0.0,0.0,0.0,0.0,0.0,1206046720.0,56225792.0,57528320.0,66338734080.0
3.129,0.094,96.777,0.0,0.0,0.0,0.0,28672.0,1206046720.0,56225792.0,57528320.0,66338734080.0
3.160,0.063,96.777,0.0,0.0,0.0,0.0,0.0,1206046720.0,56225792.0,57528320.0,66338734080.0
3.130,0.094,96.776,0.0,0.0,0.0,0.0,0.0,1206046720.0,56225792.0,57528320.0,66338734080.0
3.129,0.063,96.809,0.0,0.0,0.0,0.0,0.0,1206042624.0,56225792.0,57532416.0,66338734080.0
3.132,0.063,96.806,0.0,0.0,0.0,0.0,0.0,1205915648.0,56225792.0,57532416.0,66338861056.0
3.133,0.031,96.836,0.0,0.0,0.0,0.0,0.0,1205923840.0,56225792.0,57532416.0,66338852864.0
3.162,0.063,96.775,0.0,0.0,0.0,0.0,0.0,1205923840.0,56225792.0,57532416.0,66338852864.0
3.131,0.031,96.838,0.0,0.0,0.0,0.0,0.0,1205805056.0,56225792.0,57532416.0,66338971648.0
3.131,0.063,96.807,0.0,0.0,0.0,0.0,0.0,1205805056.0,56225792.0,57532416.0,66338971648.0
3.133,0.063,96.805,0.0,0.0,0.0,0.0,0.0,1205813248.0,56225792.0,57532416.0,66338963456.0
3.132,0.031,96.837,0.0,0.0,0.0,0.0,0.0,1205813248.0,56225792.0,57532416.0,66338963456.0
3.160,0.094,96.746,0.0,0.0,0.0,0.0,0.0,1205788672.0,56225792.0,57532416.0,66338988032.0
3.132,0.063,96.806,0.0,0.0,0.0,0.0,0.0,1205780480.0,56225792.0,57532416.0,66338996224.0
3.132,0.063,96.806,0.0,0.0,0.0,0.0,0.0,1205653504.0,56225792.0,57532416.0,66339123200.0
3.133,0.063,96.805,0.0,0.0,0.0,0.0,0.0,1205653504.0,56225792.0,57532416.0,66339123200.0
3.161,0.063,96.776,0.0,0.0,0.0,0.0,0.0,1205661696.0,56225792.0,57532416.0,66339115008.0
3.132,0.094,96.774,0.0,0.0,0.0,0.0,0.0,1205661696.0,56225792.0,57532416.0,66339115008.0
3.131,0.094,96.775,0.0,0.0,0.0,0.0,0.0,1205661696.0,56225792.0,57532416.0,66339115008.0
3.163,0.031,96.806,0.0,0.0,0.0,0.0,0.0,1205661696.0,56225792.0,57532416.0,66339115008.0
3.130,0.094,96.776,0.0,0.0,0.0,0.0,0.0,1205661696.0,56225792.0,57532416.0,66339115008.0
3.134,0.063,96.804,0.0,0.0,0.0,0.0,0.0,1205661696.0,56225792.0,57532416.0,66339115008.0
3.133,0.031,96.836,0.0,0.0,0.0,0.0,0.0,1205661696.0,56225792.0,57532416.0,66339115008.0
3.131,0.063,96.807,0.0,0.0,0.0,0.0,0.0,1205657600.0,56225792.0,57532416.0,66339119104.0
3.130,0.063,96.808,0.0,0.0,0.0,0.0,0.0,1205657600.0,56225792.0,57532416.0,66339119104.0
3.130,0.063,96.808,0.0,0.0,0.0,0.0,0.0,1205657600.0,56225792.0,57532416.0,66339119104.0
3.131,0.063,96.807,0.0,0.0,0.0,0.0,0.0,1205665792.0,56225792.0,57532416.0,66339110912.0
3.161,0.063,96.776,0.0,0.0,0.0,0.0,0.0,1205665792.0,56225792.0,57532416.0,66339110912.0
3.131,0.063,96.807,0.0,0.0,0.0,0.0,0.0,1205665792.0,56225792.0,57532416.0,66339110912.0
3.132,0.031,96.837,0.0,0.0,0.0,0.0,0.0,1205665792.0,56225792.0,57532416.0,66339110912.0
3.132,0.031,96.837,0.0,0.0,0.0,0.0,0.0,1205665792.0,56225792.0,57532416.0,66339110912.0
3.131,0.063,96.807,0.0,0.0,0.0,0.0,0.0,1205673984.0,56225792.0,57532416.0,66339102720.0
3.130,0.063,96.808,0.0,0.0,0.0,0.0,0.0,1205657600.0,56225792.0,57532416.0,66339119104.0
3.131,0.063,96.807,0.0,0.0,0.0,0.0,0.0,1205657600.0,56225792.0,57532416.0,66339119104.0
3.132,0.063,96.806,0.0,0.0,0.0,0.0,0.0,1205649408.0,56225792.0,57532416.0,66339127296.0
3.130,0.031,96.213,0.595,0.0,0.031,0.0,16384.0,1205645312.0,56233984.0,57528320.0,66339127296.0
3.131,0.031,96.838,0.0,0.0,0.0,0.0,0.0,1205645312.0,56233984.0,57528320.0,66339127296.0
3.130,0.063,96.808,0.0,0.0,0.0,0.0,0.0,1205649408.0,56233984.0,57532416.0,66339119104.0
3.131,0.031,96.838,0.0,0.0,0.0,0.0,0.0,1205657600.0,56233984.0,57532416.0,66339110912.0
3.131,0.031,96.838,0.0,0.0,0.0,0.0,0.0,1205657600.0,56233984.0,57532416.0,66339110912.0
3.131,0.031,96.838,0.0,0.0,0.0,0.0,0.0,1205649408.0,56233984.0,57532416.0,66339119104.0
3.160,0.063,96.777,0.0,0.0,0.0,0.0,0.0,1205649408.0,56233984.0,57532416.0,66339119104.0
3.131,0.031,96.838,0.0,0.0,0.0,0.0,0.0,1205776384.0,56233984.0,57532416.0,66338992128.0
3.131,0.031,96.838,0.0,0.0,0.0,0.0,0.0,1205776384.0,56233984.0,57532416.0,66338992128.0
3.131,0.031,96.838,0.0,0.0,0.0,0.0,0.0,1205776384.0,56233984.0,57532416.0,66338992128.0
3.131,0.031,96.838,0.0,0.0,0.0,0.0,0.0,1205776384.0,56233984.0,57532416.0,66338992128.0
3.130,0.063,96.808,0.0,0.0,0.0,0.0,0.0,1205784576.0,56233984.0,57532416.0,66338983936.0
3.132,0.031,96.837,0.0,0.0,0.0,0.0,0.0,1205792768.0,56233984.0,57532416.0,66338975744.0
3.132,0.031,96.210,0.626,0.0,0.0,0.0,12288.0,1205784576.0,56242176.0,57524224.0,66338983936.0
