"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-431-9.local",,,,"User:","a57779"
"Cmdline:","dstat -cdm --output is.B.x.csv",,,,"Date:","25 Feb 2016 03:31:46 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
24.153,1.759,74.058,0.028,0.000,0.003,11501.137,495953.507,991625216.0,368652288.0,8409038848.0,40971677696.0
4.167,0.042,95.792,0.0,0.0,0.0,0.0,0.0,1006567424.0,368652288.0,8409038848.0,40956735488.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1023332352.0,368652288.0,8409059328.0,40939950080.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1038012416.0,368652288.0,8409059328.0,40925270016.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1052684288.0,368652288.0,8409059328.0,40910598144.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1069334528.0,368652288.0,8409059328.0,40893947904.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1084149760.0,368652288.0,8409059328.0,40879132672.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,1098612736.0,368652288.0,8409059328.0,40864669696.0
4.132,0.042,95.826,0.0,0.0,0.0,0.0,0.0,1115209728.0,368652288.0,8409059328.0,40848072704.0
4.090,0.125,95.785,0.0,0.0,0.0,0.0,0.0,1258070016.0,368652288.0,8409059328.0,40705212416.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1265758208.0,368652288.0,8409059328.0,40697524224.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,1265623040.0,368652288.0,8409059328.0,40697659392.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1265623040.0,368652288.0,8409059328.0,40697659392.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1265623040.0,368652288.0,8409059328.0,40697659392.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,1265496064.0,368652288.0,8409059328.0,40697786368.0
4.212,0.042,95.746,0.0,0.0,0.0,0.0,0.0,1265496064.0,368652288.0,8409059328.0,40697786368.0


"Host:","compute-431-9.local",,,,"User:","a57779"
"Cmdline:","dstat -cdm --output is.B.x.csv",,,,"Date:","25 Feb 2016 03:32:03 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
24.153,1.759,74.058,0.028,0.000,0.003,11501.130,495953.174,1001390080.0,368652288.0,8409063424.0,40961888256.0
4.167,0.083,95.750,0.0,0.0,0.0,0.0,0.0,1016172544.0,368652288.0,8409063424.0,40947105792.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,1030852608.0,368652288.0,8409063424.0,40932425728.0
