"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-431-8.local",,,,"User:","a57779"
"Cmdline:","dstat -cdm --output ep.B.x.csv",,,,"Date:","25 Feb 2016 05:56:46 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
25.153,1.779,73.054,0.012,0.000,0.003,7371.284,218629.778,976936960.0,85942272.0,3003428864.0,46674685952.0
4.167,0.042,95.792,0.0,0.0,0.0,0.0,0.0,977182720.0,85942272.0,3003437056.0,46674432000.0
4.170,0.0,95.830,0.0,0.0,0.0,0.0,0.0,977436672.0,85942272.0,3003453440.0,46674161664.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,977428480.0,85942272.0,3003453440.0,46674169856.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,977342464.0,85942272.0,3003453440.0,46674255872.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,977281024.0,85942272.0,3003453440.0,46674317312.0
4.172,0.0,95.578,0.250,0.0,0.0,0.0,16384.0,977149952.0,85950464.0,3003449344.0,46674444288.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,977145856.0,85950464.0,3003453440.0,46674444288.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,976941056.0,85950464.0,3003453440.0,46674649088.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,976932864.0,85950464.0,3003453440.0,46674657280.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,976932864.0,85950464.0,3003453440.0,46674657280.0
4.214,0.042,95.745,0.0,0.0,0.0,0.0,0.0,976932864.0,85950464.0,3003453440.0,46674657280.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,976932864.0,85950464.0,3003453440.0,46674657280.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,8192.0,976932864.0,85950464.0,3003453440.0,46674657280.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,976932864.0,85950464.0,3003453440.0,46674657280.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,976932864.0,85950464.0,3003453440.0,46674657280.0
4.214,0.083,95.703,0.0,0.0,0.0,0.0,0.0,976932864.0,85950464.0,3003453440.0,46674657280.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,976932864.0,85950464.0,3003453440.0,46674657280.0
4.168,0.042,95.748,0.0,0.0,0.042,0.0,0.0,976932864.0,85950464.0,3003453440.0,46674657280.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,976932864.0,85950464.0,3003453440.0,46674657280.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,976932864.0,85950464.0,3003453440.0,46674657280.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,976932864.0,85950464.0,3003453440.0,46674657280.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,976932864.0,85950464.0,3003453440.0,46674657280.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,976932864.0,85950464.0,3003453440.0,46674657280.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,976932864.0,85950464.0,3003453440.0,46674657280.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,976932864.0,85950464.0,3003453440.0,46674657280.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,976932864.0,85950464.0,3003453440.0,46674657280.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,976932864.0,85950464.0,3003453440.0,46674657280.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,976932864.0,85950464.0,3003453440.0,46674657280.0
4.212,0.042,95.746,0.0,0.0,0.0,0.0,0.0,976932864.0,85950464.0,3003453440.0,46674657280.0
4.132,0.0,95.868,0.0,0.0,0.0,0.0,0.0,976932864.0,85950464.0,3003453440.0,46674657280.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,976932864.0,85950464.0,3003453440.0,46674657280.0
4.212,0.0,95.788,0.0,0.0,0.0,0.0,0.0,976932864.0,85950464.0,3003453440.0,46674657280.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,976932864.0,85950464.0,3003453440.0,46674657280.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,976932864.0,85950464.0,3003453440.0,46674657280.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,976941056.0,85950464.0,3003453440.0,46674649088.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,976941056.0,85950464.0,3003453440.0,46674649088.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,976941056.0,85950464.0,3003453440.0,46674649088.0
4.172,0.0,95.703,0.125,0.0,0.0,0.0,12288.0,976941056.0,85958656.0,3003445248.0,46674649088.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,976932864.0,85958656.0,3003453440.0,46674649088.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,976932864.0,85958656.0,3003453440.0,46674649088.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,976932864.0,85958656.0,3003453440.0,46674649088.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,976928768.0,85958656.0,3003457536.0,46674649088.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,976928768.0,85958656.0,3003457536.0,46674649088.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,976928768.0,85958656.0,3003457536.0,46674649088.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,976920576.0,85958656.0,3003457536.0,46674657280.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,976920576.0,85958656.0,3003457536.0,46674657280.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,976920576.0,85958656.0,3003457536.0,46674657280.0
4.172,0.0,95.786,0.0,0.0,0.042,0.0,0.0,976920576.0,85958656.0,3003457536.0,46674657280.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,976920576.0,85958656.0,3003457536.0,46674657280.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,976920576.0,85958656.0,3003457536.0,46674657280.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,976920576.0,85958656.0,3003457536.0,46674657280.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,976920576.0,85958656.0,3003457536.0,46674657280.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,976920576.0,85958656.0,3003457536.0,46674657280.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,976920576.0,85958656.0,3003457536.0,46674657280.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,976920576.0,85958656.0,3003457536.0,46674657280.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,976920576.0,85958656.0,3003457536.0,46674657280.0
