"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-641-12.local",,,,"User:","a57779"
"Cmdline:","dstat -cdm --output is.C.x.csv",,,,"Date:","25 Feb 2016 03:44:22 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
50.748,7.859,41.321,0.066,0.000,0.006,270.890,18681.095,881856512.0,73588736.0,92192768.0,66610987008.0
3.124,0.062,96.813,0.0,0.0,0.0,0.0,0.0,896528384.0,73588736.0,92192768.0,66596315136.0
3.127,0.094,96.779,0.0,0.0,0.0,0.0,0.0,913690624.0,73588736.0,92196864.0,66579148800.0
3.127,0.094,96.779,0.0,0.0,0.0,0.0,0.0,930467840.0,73588736.0,92196864.0,66562371584.0
3.130,0.031,96.839,0.0,0.0,0.0,0.0,0.0,945102848.0,73588736.0,92196864.0,66547736576.0
3.128,0.063,96.810,0.0,0.0,0.0,0.0,0.0,961880064.0,73588736.0,92196864.0,66530959360.0
3.098,0.031,96.277,0.594,0.0,0.0,0.0,16384.0,978665472.0,73596928.0,92188672.0,66514173952.0
3.127,0.094,96.779,0.0,0.0,0.0,0.0,0.0,993345536.0,73596928.0,92188672.0,66499493888.0
3.127,0.031,96.842,0.0,0.0,0.0,0.0,0.0,1009795072.0,73596928.0,92196864.0,66483036160.0
3.127,0.063,96.811,0.0,0.0,0.0,0.0,0.0,1026445312.0,73596928.0,92196864.0,66466385920.0
3.126,0.063,96.812,0.0,0.0,0.0,0.0,0.0,1041252352.0,73596928.0,92196864.0,66451578880.0
3.096,0.094,96.811,0.0,0.0,0.0,0.0,0.0,1058021376.0,73596928.0,92196864.0,66434809856.0
3.128,0.031,96.841,0.0,0.0,0.0,0.0,0.0,1074790400.0,73596928.0,92196864.0,66418040832.0
3.126,0.094,96.780,0.0,0.0,0.0,0.0,0.0,1089470464.0,73596928.0,92196864.0,66403360768.0
3.096,0.063,96.842,0.0,0.0,0.0,0.0,0.0,1106247680.0,73596928.0,92196864.0,66386583552.0
3.128,0.031,96.841,0.0,0.0,0.0,0.0,0.0,1122926592.0,73596928.0,92196864.0,66369904640.0
3.126,0.094,96.780,0.0,0.0,0.0,0.0,0.0,1137614848.0,73596928.0,92196864.0,66355216384.0
3.126,0.063,96.780,0.0,0.0,0.031,0.0,0.0,1154392064.0,73596928.0,92196864.0,66338439168.0
3.097,0.063,96.841,0.0,0.0,0.0,0.0,0.0,1171296256.0,73596928.0,92196864.0,66321534976.0
3.127,0.063,96.811,0.0,0.0,0.0,0.0,0.0,1185968128.0,73596928.0,92196864.0,66306863104.0
3.126,0.063,96.812,0.0,0.0,0.0,0.0,0.0,1202618368.0,73596928.0,92196864.0,66290212864.0
