"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-641-14.local",,,,"User:","a57779"
"Cmdline:","dstat -cdm --output cg.C.x.csv",,,,"Date:","25 Feb 2016 05:32:54 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
45.768,3.679,50.523,0.023,0.000,0.007,165531.129,614152.284,852525056.0,59686912.0,66355200.0,66680057856.0
2.782,0.406,96.812,0.0,0.0,0.0,0.0,0.0,1331757056.0,59686912.0,66359296.0,66200821760.0
3.131,0.031,96.838,0.0,0.0,0.0,0.0,0.0,1331884032.0,59686912.0,66359296.0,66200694784.0
3.159,0.063,96.747,0.0,0.0,0.031,0.0,0.0,1331884032.0,59686912.0,66359296.0,66200694784.0
3.129,0.094,96.777,0.0,0.0,0.0,0.0,0.0,1331884032.0,59686912.0,66359296.0,66200694784.0
3.130,0.031,96.839,0.0,0.0,0.0,0.0,4096.0,1331757056.0,59686912.0,66359296.0,66200821760.0
3.130,0.031,96.808,0.0,0.0,0.031,0.0,16384.0,1331757056.0,59695104.0,66351104.0,66200821760.0
3.130,0.063,96.776,0.0,0.0,0.031,0.0,0.0,1331580928.0,59695104.0,66359296.0,66200989696.0
3.131,0.031,96.838,0.0,0.0,0.0,0.0,0.0,1331539968.0,59695104.0,66359296.0,66201030656.0
3.129,0.031,96.809,0.0,0.0,0.031,0.0,0.0,1331294208.0,59695104.0,66359296.0,66201276416.0
3.132,0.031,96.837,0.0,0.0,0.0,0.0,0.0,1331302400.0,59695104.0,66359296.0,66201268224.0
3.129,0.063,96.777,0.0,0.0,0.031,0.0,0.0,1331302400.0,59695104.0,66359296.0,66201268224.0
3.160,0.063,96.777,0.0,0.0,0.0,0.0,0.0,1331302400.0,59695104.0,66359296.0,66201268224.0
3.130,0.094,96.745,0.0,0.0,0.031,0.0,0.0,1331163136.0,59695104.0,66359296.0,66201407488.0
3.131,0.031,96.838,0.0,0.0,0.0,0.0,0.0,1331126272.0,59695104.0,66359296.0,66201444352.0
3.129,0.063,96.777,0.0,0.0,0.031,0.0,0.0,1335447552.0,59695104.0,66359296.0,66197123072.0
3.131,0.031,96.838,0.0,0.0,0.0,0.0,0.0,1335447552.0,59695104.0,66359296.0,66197123072.0
3.130,0.031,96.808,0.0,0.0,0.031,0.0,0.0,1335439360.0,59695104.0,66359296.0,66197131264.0
3.130,0.063,96.808,0.0,0.0,0.0,0.0,0.0,1335439360.0,59695104.0,66359296.0,66197131264.0
3.131,0.031,96.838,0.0,0.0,0.0,0.0,0.0,1335431168.0,59695104.0,66359296.0,66197139456.0
3.131,0.031,96.838,0.0,0.0,0.0,0.0,0.0,1335439360.0,59695104.0,66359296.0,66197131264.0
3.160,0.063,96.777,0.0,0.0,0.0,0.0,0.0,1335185408.0,59695104.0,66359296.0,66197385216.0
3.131,0.031,96.838,0.0,0.0,0.0,0.0,0.0,1335185408.0,59695104.0,66359296.0,66197385216.0
3.130,0.063,96.808,0.0,0.0,0.0,0.0,0.0,1335193600.0,59695104.0,66359296.0,66197377024.0
3.131,0.031,96.838,0.0,0.0,0.0,0.0,0.0,1335193600.0,59695104.0,66359296.0,66197377024.0
3.131,0.031,96.838,0.0,0.0,0.0,0.0,0.0,1335193600.0,59695104.0,66359296.0,66197377024.0
3.130,0.031,96.808,0.0,0.0,0.031,0.0,0.0,1335193600.0,59695104.0,66359296.0,66197377024.0
3.131,0.031,96.807,0.0,0.0,0.031,0.0,0.0,1334939648.0,59695104.0,66359296.0,66197630976.0
3.131,0.031,96.838,0.0,0.0,0.0,0.0,0.0,1334788096.0,59695104.0,66359296.0,66197782528.0
3.129,0.063,96.777,0.0,0.0,0.031,0.0,0.0,1334788096.0,59695104.0,66359296.0,66197782528.0
3.131,0.031,96.838,0.0,0.0,0.0,0.0,0.0,1334923264.0,59695104.0,66359296.0,66197647360.0
3.160,0.031,96.777,0.0,0.0,0.031,0.0,0.0,1334923264.0,59695104.0,66359296.0,66197647360.0
3.131,0.031,96.807,0.031,0.0,0.0,0.0,12288.0,1334923264.0,59703296.0,66351104.0,66197647360.0
