"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-641-14.local",,,,"User:","a57779"
"Cmdline:","dstat -cdm --output ep.C.x.csv",,,,"Date:","25 Feb 2016 04:46:15 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
45.772,3.680,50.518,0.023,0.000,0.007,165549.213,614219.286,843452416.0,58933248.0,65843200.0,66690396160.0
3.128,0.063,96.810,0.0,0.0,0.0,0.0,0.0,843595776.0,58933248.0,65851392.0,66690244608.0
3.131,0.063,96.807,0.0,0.0,0.0,0.0,0.0,843698176.0,58933248.0,65851392.0,66690142208.0
3.161,0.031,96.808,0.0,0.0,0.0,0.0,0.0,844763136.0,58933248.0,65851392.0,66689077248.0
3.131,0.031,96.838,0.0,0.0,0.0,0.0,0.0,844386304.0,58933248.0,65851392.0,66689454080.0
3.130,0.063,96.808,0.0,0.0,0.0,0.0,0.0,844259328.0,58933248.0,65851392.0,66689581056.0
3.131,0.031,96.838,0.0,0.0,0.0,0.0,20480.0,844132352.0,58941440.0,65843200.0,66689708032.0
3.131,0.063,96.807,0.0,0.0,0.0,0.0,0.0,843890688.0,58941440.0,65851392.0,66689941504.0
3.131,0.031,96.838,0.0,0.0,0.0,0.0,0.0,843755520.0,58941440.0,65851392.0,66690076672.0
3.131,0.031,96.838,0.0,0.0,0.0,0.0,0.0,843628544.0,58941440.0,65851392.0,66690203648.0
3.130,0.063,96.808,0.0,0.0,0.0,0.0,0.0,843374592.0,58941440.0,65851392.0,66690457600.0
3.161,0.031,96.808,0.0,0.0,0.0,0.0,0.0,843374592.0,58941440.0,65851392.0,66690457600.0
3.132,0.031,96.837,0.0,0.0,0.0,0.0,0.0,843358208.0,58941440.0,65851392.0,66690473984.0
3.130,0.063,96.808,0.0,0.0,0.0,0.0,0.0,843096064.0,58941440.0,65851392.0,66690736128.0
3.131,0.031,96.838,0.0,0.0,0.0,0.0,0.0,843067392.0,58941440.0,65851392.0,66690764800.0
3.131,0.063,96.807,0.0,0.0,0.0,0.0,0.0,842940416.0,58941440.0,65851392.0,66690891776.0
3.160,0.063,96.777,0.0,0.0,0.0,0.0,0.0,842813440.0,58941440.0,65851392.0,66691018752.0
3.131,0.031,96.838,0.0,0.0,0.0,0.0,0.0,842813440.0,58941440.0,65851392.0,66691018752.0
3.132,0.031,96.837,0.0,0.0,0.0,0.0,0.0,842813440.0,58941440.0,65851392.0,66691018752.0
3.130,0.063,96.808,0.0,0.0,0.0,0.0,0.0,842686464.0,58941440.0,65851392.0,66691145728.0
3.131,0.031,96.838,0.0,0.0,0.0,0.0,0.0,842686464.0,58941440.0,65851392.0,66691145728.0
3.131,0.031,96.838,0.0,0.0,0.0,0.0,0.0,842567680.0,58941440.0,65851392.0,66691264512.0
3.162,0.063,96.775,0.0,0.0,0.0,0.0,0.0,842502144.0,58941440.0,65851392.0,66691330048.0
3.131,0.063,96.807,0.0,0.0,0.0,0.0,0.0,842502144.0,58941440.0,65851392.0,66691330048.0
3.132,0.031,96.837,0.0,0.0,0.0,0.0,0.0,842510336.0,58941440.0,65851392.0,66691321856.0
3.129,0.063,96.809,0.0,0.0,0.0,0.0,0.0,842510336.0,58941440.0,65851392.0,66691321856.0
3.131,0.063,96.807,0.0,0.0,0.0,0.0,0.0,842510336.0,58941440.0,65851392.0,66691321856.0
3.161,0.031,96.808,0.0,0.0,0.0,0.0,0.0,842383360.0,58941440.0,65851392.0,66691448832.0
3.132,0.031,96.837,0.0,0.0,0.0,0.0,0.0,842383360.0,58941440.0,65851392.0,66691448832.0
3.131,0.063,96.807,0.0,0.0,0.0,0.0,0.0,842375168.0,58941440.0,65851392.0,66691457024.0
3.130,0.031,96.839,0.0,0.0,0.0,0.0,0.0,842383360.0,58941440.0,65851392.0,66691448832.0
3.130,0.063,96.808,0.0,0.0,0.0,0.0,0.0,842383360.0,58941440.0,65851392.0,66691448832.0
3.132,0.031,96.837,0.0,0.0,0.0,0.0,0.0,842383360.0,58941440.0,65851392.0,66691448832.0
3.159,0.063,96.778,0.0,0.0,0.0,0.0,0.0,842293248.0,58941440.0,65851392.0,66691538944.0
3.132,0.031,96.837,0.0,0.0,0.0,0.0,0.0,842309632.0,58941440.0,65851392.0,66691522560.0
3.130,0.031,96.839,0.0,0.0,0.0,0.0,0.0,842309632.0,58941440.0,65851392.0,66691522560.0
3.130,0.063,96.808,0.0,0.0,0.0,0.0,0.0,842309632.0,58941440.0,65851392.0,66691522560.0
3.130,0.031,96.808,0.0,0.0,0.031,0.0,0.0,842276864.0,58941440.0,65851392.0,66691555328.0
3.131,0.031,96.838,0.0,0.0,0.0,0.0,0.0,842276864.0,58941440.0,65851392.0,66691555328.0
3.132,0.031,96.837,0.0,0.0,0.0,0.0,0.0,842276864.0,58941440.0,65851392.0,66691555328.0
3.130,0.063,96.808,0.0,0.0,0.0,0.0,8192.0,842276864.0,58941440.0,65851392.0,66691555328.0
3.160,0.063,96.777,0.0,0.0,0.0,0.0,0.0,842276864.0,58941440.0,65851392.0,66691555328.0
3.131,0.031,96.838,0.0,0.0,0.0,0.0,0.0,842260480.0,58941440.0,65851392.0,66691571712.0
3.130,0.063,96.808,0.0,0.0,0.0,0.0,0.0,842260480.0,58941440.0,65851392.0,66691571712.0
3.132,0.031,96.837,0.0,0.0,0.0,0.0,0.0,842272768.0,58941440.0,65855488.0,66691555328.0
3.159,0.063,96.778,0.0,0.0,0.0,0.0,0.0,842264576.0,58941440.0,65855488.0,66691563520.0
3.130,0.063,96.808,0.0,0.0,0.0,0.0,0.0,842264576.0,58941440.0,65855488.0,66691563520.0
3.131,0.031,96.838,0.0,0.0,0.0,0.0,0.0,842264576.0,58941440.0,65855488.0,66691563520.0
3.130,0.063,96.808,0.0,0.0,0.0,0.0,0.0,842264576.0,58941440.0,65855488.0,66691563520.0
3.130,0.031,96.839,0.0,0.0,0.0,0.0,0.0,842264576.0,58941440.0,65855488.0,66691563520.0
3.131,0.031,96.838,0.0,0.0,0.0,0.0,0.0,842264576.0,58941440.0,65855488.0,66691563520.0
3.130,0.031,96.839,0.0,0.0,0.0,0.0,0.0,842264576.0,58941440.0,65855488.0,66691563520.0
3.130,0.063,96.808,0.0,0.0,0.0,0.0,0.0,842264576.0,58941440.0,65855488.0,66691563520.0
3.130,0.063,96.808,0.0,0.0,0.0,0.0,0.0,842391552.0,58941440.0,65855488.0,66691436544.0
3.161,0.031,96.808,0.0,0.0,0.0,0.0,0.0,842264576.0,58941440.0,65855488.0,66691563520.0
3.131,0.031,96.838,0.0,0.0,0.0,0.0,0.0,842264576.0,58941440.0,65855488.0,66691563520.0
3.131,0.031,96.838,0.0,0.0,0.0,0.0,0.0,842264576.0,58941440.0,65855488.0,66691563520.0
3.160,0.063,96.777,0.0,0.0,0.0,0.0,0.0,842264576.0,58941440.0,65855488.0,66691563520.0
3.131,0.031,96.838,0.0,0.0,0.0,0.0,0.0,842272768.0,58941440.0,65855488.0,66691555328.0
3.130,0.063,96.808,0.0,0.0,0.0,0.0,0.0,842272768.0,58941440.0,65855488.0,66691555328.0
3.132,0.031,96.837,0.0,0.0,0.0,0.0,0.0,842272768.0,58941440.0,65855488.0,66691555328.0
3.131,0.031,96.838,0.0,0.0,0.0,0.0,0.0,842268672.0,58941440.0,65855488.0,66691559424.0
3.130,0.063,96.808,0.0,0.0,0.0,0.0,0.0,842252288.0,58941440.0,65855488.0,66691575808.0
3.130,0.063,96.808,0.0,0.0,0.0,0.0,0.0,842252288.0,58941440.0,65855488.0,66691575808.0
3.132,0.031,96.837,0.0,0.0,0.0,0.0,0.0,842268672.0,58941440.0,65855488.0,66691559424.0
