"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-641-14.local",,,,"User:","a57779"
"Cmdline:","dstat -cdm --output is.C.x.csv",,,,"Date:","25 Feb 2016 05:12:14 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
45.770,3.680,50.521,0.023,0.000,0.007,165539.139,614181.952,857698304.0,59342848.0,66068480.0,66675515392.0
3.127,0.094,96.779,0.0,0.0,0.0,0.0,0.0,887050240.0,59342848.0,66084864.0,66646147072.0
3.129,0.094,96.777,0.0,0.0,0.0,0.0,0.0,916414464.0,59342848.0,66088960.0,66616778752.0
3.101,0.125,96.774,0.0,0.0,0.0,0.0,0.0,943939584.0,59342848.0,66088960.0,66589253632.0
3.131,0.094,96.775,0.0,0.0,0.0,0.0,0.0,973344768.0,59342848.0,66088960.0,66559848448.0
3.100,0.094,96.807,0.0,0.0,0.0,0.0,0.0,1002704896.0,59342848.0,66088960.0,66530488320.0
3.127,0.094,96.779,0.0,0.0,0.0,0.0,20480.0,1032065024.0,59351040.0,66080768.0,66501128192.0
3.098,0.094,96.809,0.0,0.0,0.0,0.0,0.0,1061289984.0,59351040.0,66088960.0,66471895040.0
3.098,0.094,96.809,0.0,0.0,0.0,0.0,0.0,1088421888.0,59351040.0,66088960.0,66444763136.0
3.131,0.094,96.775,0.0,0.0,0.0,0.0,0.0,1117765632.0,59351040.0,66088960.0,66415419392.0
3.100,0.094,96.807,0.0,0.0,0.0,0.0,0.0,1147125760.0,59351040.0,66088960.0,66386059264.0
3.131,0.094,96.775,0.0,0.0,0.0,0.0,0.0,1176612864.0,59351040.0,66088960.0,66356572160.0
3.132,0.063,96.806,0.0,0.0,0.0,0.0,0.0,1205956608.0,59351040.0,66088960.0,66327228416.0
3.100,0.125,96.775,0.0,0.0,0.0,0.0,0.0,1233219584.0,59351040.0,66088960.0,66299965440.0
3.099,0.063,96.839,0.0,0.0,0.0,0.0,0.0,1262309376.0,59351040.0,66088960.0,66270875648.0
3.130,0.125,96.745,0.0,0.0,0.0,0.0,0.0,1291796480.0,59351040.0,66088960.0,66241388544.0
3.127,0.094,96.779,0.0,0.0,0.0,0.0,0.0,1321164800.0,59351040.0,66088960.0,66212020224.0
3.100,0.063,96.838,0.0,0.0,0.0,0.0,0.0,1350643712.0,59351040.0,66088960.0,66182541312.0
3.127,0.125,96.748,0.0,0.0,0.0,0.0,0.0,1377914880.0,59351040.0,66088960.0,66155270144.0
2.726,0.470,96.805,0.0,0.0,0.0,0.0,0.0,1930346496.0,59351040.0,66088960.0,65602838528.0
3.132,0.031,96.837,0.0,0.0,0.0,0.0,0.0,1930219520.0,59351040.0,66088960.0,65602965504.0
3.101,0.125,96.774,0.0,0.0,0.0,0.0,0.0,1963835392.0,59351040.0,66088960.0,65569349632.0
3.130,0.063,96.808,0.0,0.0,0.0,0.0,0.0,1963835392.0,59351040.0,66088960.0,65569349632.0
3.132,0.063,96.806,0.0,0.0,0.0,0.0,0.0,1963970560.0,59351040.0,66088960.0,65569214464.0
3.130,0.031,96.839,0.0,0.0,0.0,0.0,0.0,1963970560.0,59351040.0,66088960.0,65569214464.0
3.132,0.063,96.806,0.0,0.0,0.0,0.0,0.0,1963716608.0,59351040.0,66088960.0,65569468416.0
3.129,0.063,96.809,0.0,0.0,0.0,0.0,0.0,1963589632.0,59351040.0,66088960.0,65569595392.0
3.130,0.094,96.776,0.0,0.0,0.0,0.0,0.0,1963589632.0,59351040.0,66088960.0,65569595392.0
3.128,0.063,96.810,0.0,0.0,0.0,0.0,0.0,1963597824.0,59351040.0,66088960.0,65569587200.0
3.131,0.094,96.775,0.0,0.0,0.0,0.0,0.0,1963589632.0,59351040.0,66088960.0,65569595392.0
3.130,0.094,96.776,0.0,0.0,0.0,0.0,0.0,1963597824.0,59351040.0,66088960.0,65569587200.0
3.161,0.094,96.745,0.0,0.0,0.0,0.0,0.0,1963544576.0,59351040.0,66088960.0,65569640448.0
3.131,0.063,96.807,0.0,0.0,0.0,0.0,0.0,1963417600.0,59351040.0,66088960.0,65569767424.0
3.161,0.063,96.776,0.0,0.0,0.0,0.0,0.0,1963425792.0,59351040.0,66088960.0,65569759232.0
3.127,0.063,96.811,0.0,0.0,0.0,0.0,0.0,1963417600.0,59351040.0,66088960.0,65569767424.0
3.127,0.063,96.811,0.0,0.0,0.0,0.0,0.0,1963417600.0,59351040.0,66088960.0,65569767424.0
3.130,0.063,96.808,0.0,0.0,0.0,0.0,0.0,1963417600.0,59351040.0,66088960.0,65569767424.0
3.131,0.063,96.807,0.0,0.0,0.0,0.0,0.0,1963417600.0,59351040.0,66088960.0,65569767424.0
3.159,0.094,96.716,0.0,0.0,0.031,0.0,0.0,1963315200.0,59351040.0,66088960.0,65569869824.0
3.131,0.094,96.775,0.0,0.0,0.0,0.0,0.0,1963315200.0,59351040.0,66088960.0,65569869824.0
3.162,0.031,96.807,0.0,0.0,0.0,0.0,8192.0,1963315200.0,59351040.0,66088960.0,65569869824.0


"Host:","compute-641-14.local",,,,"User:","a57779"
"Cmdline:","dstat -cdm --output is.C.x.csv",,,,"Date:","25 Feb 2016 05:12:57 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
45.770,3.680,50.521,0.023,0.000,0.007,165538.864,614180.933,837922816.0,59351040.0,66093056.0,66695258112.0
3.094,0.062,96.844,0.0,0.0,0.0,0.0,0.0,867291136.0,59351040.0,66093056.0,66665889792.0
3.126,0.125,96.749,0.0,0.0,0.0,0.0,0.0,897155072.0,59351040.0,66097152.0,66636021760.0
3.126,0.094,96.780,0.0,0.0,0.0,0.0,0.0,924545024.0,59351040.0,66097152.0,66608631808.0
3.097,0.125,96.778,0.0,0.0,0.0,0.0,0.0,953905152.0,59351040.0,66097152.0,66579271680.0
3.128,0.063,96.810,0.0,0.0,0.0,0.0,0.0,983388160.0,59351040.0,66097152.0,66549788672.0
3.098,0.063,96.840,0.0,0.0,0.0,0.0,16384.0,1012621312.0,59359232.0,66088960.0,66520555520.0
3.128,0.063,96.810,0.0,0.0,0.0,0.0,0.0,1042100224.0,59359232.0,66097152.0,66491068416.0
3.098,0.063,96.840,0.0,0.0,0.0,0.0,0.0,1071394816.0,59359232.0,66097152.0,66461773824.0
3.129,0.031,96.840,0.0,0.0,0.0,0.0,0.0,1098657792.0,59359232.0,66097152.0,66434510848.0
3.098,0.063,96.840,0.0,0.0,0.0,0.0,0.0,1128017920.0,59359232.0,66097152.0,66405150720.0
3.128,0.063,96.810,0.0,0.0,0.0,0.0,0.0,1157234688.0,59359232.0,66097152.0,66375933952.0
3.099,0.063,96.839,0.0,0.0,0.0,0.0,0.0,1186705408.0,59359232.0,66097152.0,66346463232.0
3.097,0.094,96.810,0.0,0.0,0.0,0.0,0.0,1216065536.0,59359232.0,66097152.0,66317103104.0
3.129,0.094,96.777,0.0,0.0,0.0,0.0,0.0,1243455488.0,59359232.0,66097152.0,66289713152.0
3.099,0.063,96.839,0.0,0.0,0.0,0.0,0.0,1272815616.0,59359232.0,66097152.0,66260353024.0
3.129,0.125,96.746,0.0,0.0,0.0,0.0,0.0,1302171648.0,59359232.0,66097152.0,66230996992.0
3.099,0.094,96.808,0.0,0.0,0.0,0.0,0.0,1331523584.0,59359232.0,66097152.0,66201645056.0
3.131,0.063,96.807,0.0,0.0,0.0,0.0,0.0,1361018880.0,59359232.0,66097152.0,66172149760.0
2.723,0.501,96.776,0.0,0.0,0.0,0.0,0.0,1911488512.0,59359232.0,66097152.0,65621680128.0
3.132,0.063,96.806,0.0,0.0,0.0,0.0,0.0,1911488512.0,59359232.0,66097152.0,65621680128.0
3.100,0.094,96.807,0.0,0.0,0.0,0.0,0.0,1945112576.0,59359232.0,66097152.0,65588056064.0
3.126,0.094,96.780,0.0,0.0,0.0,0.0,0.0,1945120768.0,59359232.0,66097152.0,65588047872.0
3.161,0.063,96.776,0.0,0.0,0.0,0.0,0.0,1945120768.0,59359232.0,66097152.0,65588047872.0
3.131,0.063,96.807,0.0,0.0,0.0,0.0,0.0,1945120768.0,59359232.0,66097152.0,65588047872.0
3.128,0.063,96.810,0.0,0.0,0.0,0.0,0.0,1945120768.0,59359232.0,66097152.0,65588047872.0
3.127,0.063,96.811,0.0,0.0,0.0,0.0,0.0,1945120768.0,59359232.0,66097152.0,65588047872.0
3.131,0.063,96.807,0.0,0.0,0.0,0.0,0.0,1944993792.0,59359232.0,66097152.0,65588174848.0
3.131,0.063,96.807,0.0,0.0,0.0,0.0,0.0,1944993792.0,59359232.0,66097152.0,65588174848.0
3.128,0.063,96.778,0.0,0.0,0.031,0.0,12288.0,1944993792.0,59367424.0,66088960.0,65588174848.0
3.160,0.063,96.777,0.0,0.0,0.0,0.0,0.0,1944989696.0,59367424.0,66093056.0,65588174848.0
3.129,0.063,96.777,0.0,0.0,0.031,0.0,0.0,1945133056.0,59367424.0,66097152.0,65588027392.0
3.126,0.125,96.686,0.0,0.0,0.063,0.0,0.0,1945010176.0,59367424.0,66097152.0,65588150272.0
3.131,0.063,96.807,0.0,0.0,0.0,0.0,0.0,1945010176.0,59367424.0,66097152.0,65588150272.0
3.131,0.063,96.807,0.0,0.0,0.0,0.0,0.0,1945010176.0,59367424.0,66097152.0,65588150272.0
3.130,0.063,96.808,0.0,0.0,0.0,0.0,0.0,1944875008.0,59367424.0,66097152.0,65588285440.0
3.131,0.094,96.775,0.0,0.0,0.0,0.0,0.0,1944875008.0,59367424.0,66097152.0,65588285440.0
3.132,0.063,96.806,0.0,0.0,0.0,0.0,0.0,1944875008.0,59367424.0,66097152.0,65588285440.0
3.162,0.031,96.807,0.0,0.0,0.0,0.0,8192.0,1944870912.0,59367424.0,66097152.0,65588289536.0
3.131,0.094,96.775,0.0,0.0,0.0,0.0,0.0,1944870912.0,59367424.0,66097152.0,65588289536.0
3.132,0.063,96.806,0.0,0.0,0.0,0.0,0.0,1944743936.0,59367424.0,66097152.0,65588416512.0
3.132,0.094,96.774,0.0,0.0,0.0,0.0,0.0,1944743936.0,59367424.0,66097152.0,65588416512.0


"Host:","compute-641-14.local",,,,"User:","a57779"
"Cmdline:","dstat -cdm --output is.C.x.csv",,,,"Date:","25 Feb 2016 05:13:40 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
45.770,3.680,50.521,0.023,0.000,0.007,165538.583,614179.890,839499776.0,59367424.0,66097152.0,66693660672.0
3.123,0.062,96.814,0.0,0.0,0.0,0.0,0.0,868986880.0,59367424.0,66097152.0,66664173568.0
3.127,0.063,96.811,0.0,0.0,0.0,0.0,0.0,898351104.0,59367424.0,66101248.0,66634805248.0
3.096,0.094,96.811,0.0,0.0,0.0,0.0,0.0,927703040.0,59367424.0,66101248.0,66605453312.0
3.127,0.094,96.779,0.0,0.0,0.0,0.0,0.0,954916864.0,59367424.0,66101248.0,66578239488.0
3.125,0.125,96.750,0.0,0.0,0.0,0.0,0.0,984260608.0,59367424.0,66101248.0,66548895744.0
3.126,0.125,96.749,0.0,0.0,0.0,0.0,16384.0,1013743616.0,59375616.0,66097152.0,66519408640.0
3.097,0.094,96.810,0.0,0.0,0.0,0.0,0.0,1042845696.0,59375616.0,66101248.0,66490302464.0
3.098,0.063,96.840,0.0,0.0,0.0,0.0,0.0,1072189440.0,59375616.0,66101248.0,66460958720.0
3.128,0.063,96.810,0.0,0.0,0.0,0.0,0.0,1099452416.0,59375616.0,66101248.0,66433695744.0
3.098,0.031,96.871,0.0,0.0,0.0,0.0,0.0,1128939520.0,59375616.0,66101248.0,66404208640.0
3.097,0.094,96.810,0.0,0.0,0.0,0.0,0.0,1158172672.0,59375616.0,66101248.0,66374975488.0
3.127,0.031,96.842,0.0,0.0,0.0,0.0,0.0,1187659776.0,59375616.0,66101248.0,66345488384.0
3.098,0.094,96.809,0.0,0.0,0.0,0.0,0.0,1217019904.0,59375616.0,66101248.0,66316128256.0
3.129,0.094,96.777,0.0,0.0,0.0,0.0,0.0,1244114944.0,59375616.0,66101248.0,66289033216.0
3.100,0.094,96.807,0.0,0.0,0.0,0.0,0.0,1273593856.0,59375616.0,66101248.0,66259554304.0
3.132,0.063,96.806,0.0,0.0,0.0,0.0,0.0,1302949888.0,59375616.0,66101248.0,66230198272.0
3.101,0.063,96.837,0.0,0.0,0.0,0.0,0.0,1332318208.0,59375616.0,66101248.0,66200829952.0
3.128,0.094,96.778,0.0,0.0,0.0,0.0,0.0,1361678336.0,59375616.0,66101248.0,66171469824.0
2.723,0.469,96.808,0.0,0.0,0.0,0.0,0.0,1912147968.0,59375616.0,66101248.0,65621000192.0
3.159,0.031,96.810,0.0,0.0,0.0,0.0,16384.0,1912020992.0,59383808.0,66093056.0,65621127168.0
3.099,0.094,96.808,0.0,0.0,0.0,0.0,0.0,1945636864.0,59383808.0,66101248.0,65587503104.0
3.159,0.063,96.747,0.0,0.0,0.031,0.0,0.0,1945636864.0,59383808.0,66101248.0,65587503104.0
3.131,0.063,96.807,0.0,0.0,0.0,0.0,0.0,1945509888.0,59383808.0,66101248.0,65587630080.0
3.130,0.063,96.808,0.0,0.0,0.0,0.0,0.0,1945509888.0,59383808.0,66101248.0,65587630080.0
3.130,0.063,96.808,0.0,0.0,0.0,0.0,0.0,1945509888.0,59383808.0,66101248.0,65587630080.0
3.161,0.031,96.808,0.0,0.0,0.0,0.0,0.0,1945374720.0,59383808.0,66101248.0,65587765248.0
3.130,0.063,96.808,0.0,0.0,0.0,0.0,0.0,1945374720.0,59383808.0,66101248.0,65587765248.0
3.130,0.031,96.839,0.0,0.0,0.0,0.0,0.0,1945239552.0,59383808.0,66101248.0,65587900416.0
3.130,0.063,96.808,0.0,0.0,0.0,0.0,0.0,1945108480.0,59383808.0,66101248.0,65588031488.0
3.128,0.063,96.810,0.0,0.0,0.0,0.0,0.0,1945108480.0,59383808.0,66101248.0,65588031488.0
3.159,0.094,96.747,0.0,0.0,0.0,0.0,0.0,1945108480.0,59383808.0,66101248.0,65588031488.0
3.129,0.063,96.809,0.0,0.0,0.0,0.0,0.0,1944981504.0,59383808.0,66101248.0,65588158464.0
3.130,0.031,96.839,0.0,0.0,0.0,0.0,0.0,1944981504.0,59383808.0,66101248.0,65588158464.0
3.129,0.063,96.809,0.0,0.0,0.0,0.0,0.0,1944981504.0,59383808.0,66101248.0,65588158464.0
3.129,0.063,96.777,0.0,0.0,0.031,0.0,0.0,1944924160.0,59383808.0,66101248.0,65588215808.0
3.131,0.031,96.838,0.0,0.0,0.0,0.0,0.0,1944924160.0,59383808.0,66101248.0,65588215808.0
3.159,0.063,96.747,0.0,0.0,0.031,0.0,0.0,1944932352.0,59383808.0,66101248.0,65588207616.0
3.129,0.063,96.777,0.0,0.0,0.031,0.0,0.0,1944911872.0,59383808.0,66101248.0,65588228096.0
3.130,0.063,96.808,0.0,0.0,0.0,0.0,8192.0,1944903680.0,59383808.0,66101248.0,65588236288.0
3.158,0.063,96.748,0.0,0.0,0.031,0.0,0.0,1944903680.0,59383808.0,66101248.0,65588236288.0
3.130,0.094,96.776,0.0,0.0,0.0,0.0,0.0,1944903680.0,59383808.0,66101248.0,65588236288.0


"Host:","compute-641-14.local",,,,"User:","a57779"
"Cmdline:","dstat -cdm --output is.C.x.csv",,,,"Date:","25 Feb 2016 05:14:24 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
45.769,3.680,50.521,0.023,0.000,0.007,165538.302,614178.849,870219776.0,59383808.0,66101248.0,66662920192.0
3.123,0.094,96.783,0.0,0.0,0.0,0.0,0.0,899330048.0,59383808.0,66105344.0,66633805824.0
3.096,0.094,96.779,0.031,0.0,0.0,0.0,20480.0,929452032.0,59392000.0,66097152.0,66603683840.0
3.128,0.063,96.810,0.0,0.0,0.0,0.0,0.0,956715008.0,59392000.0,66105344.0,66576412672.0
3.098,0.063,96.840,0.0,0.0,0.0,0.0,0.0,986185728.0,59392000.0,66105344.0,66546941952.0
3.128,0.063,96.810,0.0,0.0,0.0,0.0,0.0,1015418880.0,59392000.0,66105344.0,66517708800.0
3.098,0.063,96.840,0.0,0.0,0.0,0.0,0.0,1044905984.0,59392000.0,66105344.0,66488221696.0
3.098,0.063,96.840,0.0,0.0,0.0,0.0,0.0,1074257920.0,59392000.0,66105344.0,66458869760.0
3.128,0.063,96.810,0.0,0.0,0.0,0.0,0.0,1103491072.0,59392000.0,66105344.0,66429636608.0
3.098,0.063,96.840,0.0,0.0,0.0,0.0,0.0,1130627072.0,59392000.0,66105344.0,66402500608.0
3.128,0.063,96.810,0.0,0.0,0.0,0.0,12288.0,1159987200.0,59400192.0,66097152.0,66373140480.0
3.098,0.063,96.840,0.0,0.0,0.0,0.0,0.0,1189195776.0,59400192.0,66105344.0,66343923712.0
3.097,0.063,96.841,0.0,0.0,0.0,0.0,0.0,1218428928.0,59400192.0,66105344.0,66314690560.0
3.129,0.063,96.809,0.0,0.0,0.0,0.0,0.0,1247797248.0,59400192.0,66105344.0,66285322240.0
3.098,0.063,96.840,0.0,0.0,0.0,0.0,0.0,1275002880.0,59400192.0,66105344.0,66258116608.0
3.128,0.063,96.810,0.0,0.0,0.0,0.0,0.0,1304363008.0,59400192.0,66105344.0,66228756480.0
3.099,0.063,96.839,0.0,0.0,0.0,0.0,0.0,1310654464.0,59400192.0,66105344.0,66222465024.0
3.103,0.063,96.834,0.0,0.0,0.0,0.0,0.0,1340014592.0,59400192.0,66105344.0,66193104896.0
3.130,0.094,96.776,0.0,0.0,0.0,0.0,0.0,1369374720.0,59400192.0,66105344.0,66163744768.0
