"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-431-9.local",,,,"User:","a57779"
"Cmdline:","dstat -cdm --output cg.B.x.csv",,,,"Date:","25 Feb 2016 17:01:42 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
24.115,1.756,74.098,0.028,0.000,0.003,11479.172,495006.361,998051840.0,368656384.0,8415535104.0,40958750720.0
4.082,0.167,95.752,0.0,0.0,0.0,0.0,0.0,1176252416.0,368656384.0,8415535104.0,40780550144.0
4.170,0.042,95.663,0.125,0.0,0.0,0.0,16384.0,1176260608.0,368656384.0,8415563776.0,40780513280.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1176252416.0,368656384.0,8415563776.0,40780521472.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1176252416.0,368656384.0,8415563776.0,40780521472.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1178275840.0,368656384.0,8415563776.0,40778498048.0
4.170,0.0,95.830,0.0,0.0,0.0,0.0,0.0,1177751552.0,368656384.0,8415563776.0,40779022336.0
4.168,0.083,95.748,0.0,0.0,0.0,0.0,0.0,1177743360.0,368656384.0,8415563776.0,40779030528.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1177497600.0,368656384.0,8415563776.0,40779276288.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1177497600.0,368656384.0,8415563776.0,40779276288.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1177153536.0,368656384.0,8415563776.0,40779620352.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,24576.0,1177018368.0,368656384.0,8415563776.0,40779755520.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1176772608.0,368656384.0,8415563776.0,40780001280.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1176772608.0,368656384.0,8415563776.0,40780001280.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,1176592384.0,368656384.0,8415563776.0,40780181504.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1176592384.0,368656384.0,8415563776.0,40780181504.0
4.168,0.042,95.290,0.459,0.0,0.042,0.0,114688.0,1176465408.0,368656384.0,8415563776.0,40780308480.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1176465408.0,368656384.0,8415563776.0,40780308480.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,1176256512.0,368656384.0,8415563776.0,40780517376.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1176256512.0,368656384.0,8415563776.0,40780517376.0
4.210,0.042,95.748,0.0,0.0,0.0,0.0,0.0,1176002560.0,368656384.0,8415563776.0,40780771328.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1176002560.0,368656384.0,8415563776.0,40780771328.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1176002560.0,368656384.0,8415563776.0,40780771328.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1175875584.0,368656384.0,8415563776.0,40780898304.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1175748608.0,368656384.0,8415563776.0,40781025280.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,1175748608.0,368656384.0,8415563776.0,40781025280.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1175494656.0,368656384.0,8415563776.0,40781279232.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1175494656.0,368656384.0,8415563776.0,40781279232.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,1175494656.0,368656384.0,8415563776.0,40781279232.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,1175441408.0,368656384.0,8415563776.0,40781332480.0
4.210,0.042,95.748,0.0,0.0,0.0,0.0,0.0,1175314432.0,368656384.0,8415563776.0,40781459456.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,1175314432.0,368656384.0,8415563776.0,40781459456.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1175187456.0,368656384.0,8415563776.0,40781586432.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,1175187456.0,368656384.0,8415563776.0,40781586432.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1175195648.0,368656384.0,8415563776.0,40781578240.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1175134208.0,368656384.0,8415563776.0,40781639680.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,1175134208.0,368656384.0,8415563776.0,40781639680.0
4.210,0.042,95.748,0.0,0.0,0.0,0.0,0.0,1175134208.0,368656384.0,8415563776.0,40781639680.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1175085056.0,368656384.0,8415563776.0,40781688832.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,1175085056.0,368656384.0,8415563776.0,40781688832.0
4.212,0.083,95.705,0.0,0.0,0.0,0.0,0.0,1175085056.0,368656384.0,8415563776.0,40781688832.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,1175080960.0,368656384.0,8415567872.0,40781688832.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1175080960.0,368656384.0,8415567872.0,40781688832.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,1175080960.0,368656384.0,8415567872.0,40781688832.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1175080960.0,368656384.0,8415567872.0,40781688832.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,1175080960.0,368656384.0,8415567872.0,40781688832.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1174953984.0,368656384.0,8415567872.0,40781815808.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,1174945792.0,368656384.0,8415567872.0,40781824000.0
4.210,0.042,95.748,0.0,0.0,0.0,0.0,0.0,1174945792.0,368656384.0,8415567872.0,40781824000.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1174945792.0,368656384.0,8415567872.0,40781824000.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,1174945792.0,368656384.0,8415567872.0,40781824000.0
4.175,0.0,95.825,0.0,0.0,0.0,0.0,24576.0,1174945792.0,368656384.0,8415567872.0,40781824000.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1174945792.0,368656384.0,8415567872.0,40781824000.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1174945792.0,368656384.0,8415567872.0,40781824000.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,1174945792.0,368656384.0,8415567872.0,40781824000.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1174945792.0,368656384.0,8415567872.0,40781824000.0
4.214,0.042,95.745,0.0,0.0,0.0,0.0,0.0,1174945792.0,368656384.0,8415567872.0,40781824000.0
4.172,0.083,95.745,0.0,0.0,0.0,0.0,0.0,1174945792.0,368656384.0,8415567872.0,40781824000.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1174945792.0,368656384.0,8415567872.0,40781824000.0
4.214,0.042,95.745,0.0,0.0,0.0,0.0,0.0,1174945792.0,368656384.0,8415567872.0,40781824000.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,1174945792.0,368656384.0,8415567872.0,40781824000.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1174945792.0,368656384.0,8415567872.0,40781824000.0
4.175,0.0,95.825,0.0,0.0,0.0,0.0,0.0,1174953984.0,368656384.0,8415567872.0,40781815808.0
4.170,0.042,95.621,0.125,0.0,0.042,0.0,12288.0,1174945792.0,368656384.0,8415567872.0,40781824000.0
4.175,0.042,95.783,0.0,0.0,0.0,0.0,0.0,1174953984.0,368656384.0,8415567872.0,40781815808.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1174953984.0,368656384.0,8415567872.0,40781815808.0
4.212,0.042,95.746,0.0,0.0,0.0,0.0,0.0,1174953984.0,368656384.0,8415567872.0,40781815808.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1174953984.0,368656384.0,8415567872.0,40781815808.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,1174953984.0,368656384.0,8415567872.0,40781815808.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1175076864.0,368656384.0,8415567872.0,40781692928.0
4.214,0.0,95.786,0.0,0.0,0.0,0.0,0.0,1175076864.0,368656384.0,8415567872.0,40781692928.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1175076864.0,368656384.0,8415567872.0,40781692928.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,1175076864.0,368656384.0,8415567872.0,40781692928.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1175076864.0,368656384.0,8415567872.0,40781692928.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,1175076864.0,368656384.0,8415567872.0,40781692928.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1175068672.0,368656384.0,8415567872.0,40781701120.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,1175068672.0,368656384.0,8415567872.0,40781701120.0
