"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-431-9.local",,,,"User:","a57779"
"Cmdline:","dstat -cdm --output ep.A.x.csv",,,,"Date:","25 Feb 2016 17:43:56 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
24.113,1.756,74.101,0.028,0.000,0.003,11478.027,494957.052,984498176.0,368656384.0,8415911936.0,40971927552.0
4.168,0.0,95.832,0.0,0.0,0.0,0.0,0.0,984748032.0,368656384.0,8415916032.0,40971673600.0
4.168,0.042,95.790,0.0,0.0,0.0,0.0,0.0,984866816.0,368656384.0,8415916032.0,40971554816.0
4.212,0.042,95.746,0.0,0.0,0.0,0.0,0.0,984989696.0,368656384.0,8415920128.0,40971427840.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,984985600.0,368656384.0,8415920128.0,40971431936.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,984862720.0,368656384.0,8415920128.0,40971554816.0
4.174,0.0,95.659,0.167,0.0,0.0,0.0,24576.0,984731648.0,368656384.0,8415920128.0,40971685888.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,984731648.0,368656384.0,8415920128.0,40971685888.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,984469504.0,368656384.0,8415920128.0,40971948032.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,984469504.0,368656384.0,8415920128.0,40971948032.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,984469504.0,368656384.0,8415920128.0,40971948032.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,984334336.0,368656384.0,8415920128.0,40972083200.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,984342528.0,368656384.0,8415920128.0,40972075008.0
4.212,0.0,95.788,0.0,0.0,0.0,0.0,0.0,984342528.0,368656384.0,8415920128.0,40972075008.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,984215552.0,368656384.0,8415920128.0,40972201984.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,984215552.0,368656384.0,8415920128.0,40972201984.0
