"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-431-9.local",,,,"User:","a57779"
"Cmdline:","dstat -cdm --output cg.B.x.csv",,,,"Date:","25 Feb 2016 18:27:23 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
24.111,1.755,74.103,0.028,0.000,0.003,11476.849,494906.357,1017630720.0,368656384.0,8416358400.0,40938348544.0
4.038,0.208,95.754,0.0,0.0,0.0,0.0,0.0,1194295296.0,368656384.0,8416362496.0,40761679872.0
4.174,0.0,95.701,0.125,0.0,0.0,0.0,12288.0,1194303488.0,368656384.0,8416362496.0,40761671680.0
4.210,0.042,95.748,0.0,0.0,0.0,0.0,0.0,1194270720.0,368656384.0,8416395264.0,40761671680.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,1194205184.0,368656384.0,8416395264.0,40761737216.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,1195855872.0,368656384.0,8416395264.0,40760086528.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1195835392.0,368656384.0,8416395264.0,40760107008.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1195835392.0,368656384.0,8416395264.0,40760107008.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,1195708416.0,368656384.0,8416395264.0,40760233984.0
4.214,0.0,95.786,0.0,0.0,0.0,0.0,0.0,1195581440.0,368656384.0,8416395264.0,40760360960.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1195446272.0,368656384.0,8416395264.0,40760496128.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,1195319296.0,368656384.0,8416395264.0,40760623104.0
4.174,0.042,95.785,0.0,0.0,0.0,0.0,0.0,1195319296.0,368656384.0,8416395264.0,40760623104.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1195192320.0,368656384.0,8416395264.0,40760750080.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,24576.0,1195065344.0,368656384.0,8416395264.0,40760877056.0
4.210,0.042,95.748,0.0,0.0,0.0,0.0,0.0,1194938368.0,368656384.0,8416395264.0,40761004032.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,1194811392.0,368656384.0,8416395264.0,40761131008.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1194733568.0,368656384.0,8416395264.0,40761208832.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,1194606592.0,368656384.0,8416395264.0,40761335808.0
4.172,0.042,95.703,0.083,0.0,0.0,0.0,36864.0,1194479616.0,368656384.0,8416395264.0,40761462784.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,1194352640.0,368656384.0,8416395264.0,40761589760.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1194352640.0,368656384.0,8416395264.0,40761589760.0
4.212,0.0,95.788,0.0,0.0,0.0,0.0,0.0,1194291200.0,368656384.0,8416395264.0,40761651200.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1194291200.0,368656384.0,8416395264.0,40761651200.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,1194246144.0,368656384.0,8416395264.0,40761696256.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1194246144.0,368656384.0,8416395264.0,40761696256.0
4.214,0.042,95.661,0.083,0.0,0.0,0.0,12288.0,1194119168.0,368656384.0,8416395264.0,40761823232.0
4.170,0.0,95.788,0.0,0.0,0.042,0.0,0.0,1194119168.0,368656384.0,8416395264.0,40761823232.0
4.214,0.042,95.745,0.0,0.0,0.0,0.0,0.0,1194127360.0,368656384.0,8416395264.0,40761815040.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1194127360.0,368656384.0,8416395264.0,40761815040.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1194119168.0,368656384.0,8416395264.0,40761823232.0
4.210,0.042,95.748,0.0,0.0,0.0,0.0,0.0,1194119168.0,368656384.0,8416395264.0,40761823232.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,1193992192.0,368656384.0,8416395264.0,40761950208.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1194000384.0,368656384.0,8416395264.0,40761942016.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,28672.0,1194000384.0,368656384.0,8416395264.0,40761942016.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1194000384.0,368656384.0,8416395264.0,40761942016.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1194000384.0,368656384.0,8416395264.0,40761942016.0
4.212,0.0,95.788,0.0,0.0,0.0,0.0,0.0,1194000384.0,368656384.0,8416395264.0,40761942016.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1193775104.0,368656384.0,8416395264.0,40762167296.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,1193775104.0,368656384.0,8416395264.0,40762167296.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1193775104.0,368656384.0,8416395264.0,40762167296.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,1193771008.0,368656384.0,8416399360.0,40762167296.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1193771008.0,368656384.0,8416399360.0,40762167296.0
4.214,0.0,95.786,0.0,0.0,0.0,0.0,0.0,1193771008.0,368656384.0,8416399360.0,40762167296.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1193771008.0,368656384.0,8416399360.0,40762167296.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1193771008.0,368656384.0,8416399360.0,40762167296.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,1193762816.0,368656384.0,8416399360.0,40762175488.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1193762816.0,368656384.0,8416399360.0,40762175488.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,1193762816.0,368656384.0,8416399360.0,40762175488.0
4.210,0.042,95.748,0.0,0.0,0.0,0.0,0.0,1193762816.0,368656384.0,8416399360.0,40762175488.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,1193754624.0,368656384.0,8416399360.0,40762183680.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1193762816.0,368656384.0,8416399360.0,40762175488.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,1193762816.0,368656384.0,8416399360.0,40762175488.0
4.212,0.042,95.746,0.0,0.0,0.0,0.0,0.0,1193762816.0,368656384.0,8416399360.0,40762175488.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,1193762816.0,368656384.0,8416399360.0,40762175488.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1193762816.0,368656384.0,8416399360.0,40762175488.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,1193762816.0,368656384.0,8416399360.0,40762175488.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,1193762816.0,368656384.0,8416399360.0,40762175488.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1193762816.0,368656384.0,8416399360.0,40762175488.0
4.210,0.042,95.748,0.0,0.0,0.0,0.0,0.0,1193762816.0,368656384.0,8416399360.0,40762175488.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,1193762816.0,368656384.0,8416399360.0,40762175488.0
4.174,0.042,95.785,0.0,0.0,0.0,0.0,0.0,1193762816.0,368656384.0,8416399360.0,40762175488.0
