"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-641-12.local",,,,"User:","a57779"
"Cmdline:","dstat -cdm --output ep.A.x.csv",,,,"Date:","25 Feb 2016 17:36:06 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
50.346,7.795,41.787,0.066,0.000,0.006,268.893,18533.005,903094272.0,79986688.0,92766208.0,66582777856.0
3.159,0.031,96.810,0.0,0.0,0.0,0.0,0.0,903467008.0,79986688.0,92774400.0,66582396928.0
3.130,0.063,96.808,0.0,0.0,0.0,0.0,4096.0,903323648.0,79986688.0,92790784.0,66582523904.0
3.130,0.063,96.808,0.0,0.0,0.0,0.0,0.0,903069696.0,79986688.0,92790784.0,66582777856.0
3.130,0.031,96.839,0.0,0.0,0.0,0.0,0.0,902877184.0,79986688.0,92790784.0,66582970368.0
3.129,0.063,96.715,0.094,0.0,0.0,0.0,0.0,902877184.0,79986688.0,92790784.0,66582970368.0
3.130,0.031,96.307,0.532,0.0,0.0,0.0,16384.0,902991872.0,79990784.0,92790784.0,66582851584.0
3.160,0.063,96.777,0.0,0.0,0.0,0.0,0.0,902848512.0,79990784.0,92790784.0,66582994944.0
3.128,0.031,96.810,0.0,0.0,0.031,0.0,0.0,902778880.0,79990784.0,92790784.0,66583064576.0
3.130,0.063,96.808,0.0,0.0,0.0,0.0,0.0,902709248.0,79990784.0,92790784.0,66583134208.0
3.129,0.063,96.809,0.0,0.0,0.0,0.0,0.0,902709248.0,79990784.0,92790784.0,66583134208.0
3.132,0.031,96.837,0.0,0.0,0.0,0.0,0.0,902709248.0,79990784.0,92790784.0,66583134208.0
3.159,0.094,96.747,0.0,0.0,0.0,0.0,0.0,902709248.0,79990784.0,92790784.0,66583134208.0
3.130,0.094,96.776,0.0,0.0,0.0,0.0,0.0,902709248.0,79990784.0,92790784.0,66583134208.0
3.129,0.063,96.809,0.0,0.0,0.0,0.0,0.0,902709248.0,79990784.0,92790784.0,66583134208.0
3.130,0.063,96.808,0.0,0.0,0.0,0.0,0.0,902709248.0,79990784.0,92790784.0,66583134208.0
3.131,0.031,96.838,0.0,0.0,0.0,0.0,0.0,902709248.0,79990784.0,92790784.0,66583134208.0
3.160,0.063,96.777,0.0,0.0,0.0,0.0,0.0,902582272.0,79990784.0,92790784.0,66583261184.0
3.132,0.031,96.837,0.0,0.0,0.0,0.0,0.0,902582272.0,79990784.0,92790784.0,66583261184.0


"Host:","compute-641-12.local",,,,"User:","a57779"
"Cmdline:","dstat -cdm --output ep.A.x.csv",,,,"Date:","25 Feb 2016 17:36:27 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
50.346,7.795,41.787,0.066,0.000,0.006,268.892,18532.947,904126464.0,79990784.0,92794880.0,66581712896.0
3.159,0.063,96.778,0.0,0.0,0.0,0.0,0.0,904642560.0,79990784.0,92794880.0,66581196800.0
3.129,0.063,96.777,0.0,0.0,0.031,0.0,0.0,904769536.0,79990784.0,92794880.0,66581069824.0
3.129,0.063,96.809,0.0,0.0,0.0,0.0,0.0,904753152.0,79990784.0,92794880.0,66581086208.0
3.130,0.094,96.776,0.0,0.0,0.0,0.0,0.0,904753152.0,79990784.0,92794880.0,66581086208.0
3.129,0.063,96.809,0.0,0.0,0.0,0.0,0.0,904753152.0,79990784.0,92794880.0,66581086208.0
3.131,0.063,96.055,0.751,0.0,0.0,0.0,20480.0,904593408.0,79990784.0,92794880.0,66581245952.0
3.160,0.063,96.777,0.0,0.0,0.0,0.0,0.0,904601600.0,79990784.0,92794880.0,66581237760.0
3.129,0.094,96.777,0.0,0.0,0.0,0.0,0.0,903262208.0,79990784.0,92794880.0,66582577152.0
3.128,0.094,96.778,0.0,0.0,0.0,0.0,0.0,903008256.0,79990784.0,92794880.0,66582831104.0
3.131,0.063,96.807,0.0,0.0,0.0,0.0,0.0,903008256.0,79990784.0,92794880.0,66582831104.0
3.129,0.094,96.777,0.0,0.0,0.0,0.0,0.0,902873088.0,79990784.0,92794880.0,66582966272.0
3.162,0.031,96.807,0.0,0.0,0.0,0.0,0.0,902754304.0,79990784.0,92794880.0,66583085056.0
3.131,0.063,96.807,0.0,0.0,0.0,0.0,0.0,902889472.0,79990784.0,92794880.0,66582949888.0
3.132,0.063,96.806,0.0,0.0,0.0,0.0,0.0,902877184.0,79990784.0,92794880.0,66582962176.0
