"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-641-15.local",,,,"User:","a57779"
"Cmdline:","dstat -cdm --output ep.B.x.csv",,,,"Date:","25 Feb 2016 19:05:42 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
27.505,4.266,68.187,0.011,0.000,0.030,269613.999,455171.945,912179200.0,229613568.0,229933056.0,66286899200.0
3.156,0.094,96.750,0.0,0.0,0.0,0.0,0.0,912297984.0,229613568.0,229957632.0,66286755840.0
3.128,0.063,96.810,0.0,0.0,0.0,0.0,0.0,912171008.0,229613568.0,229957632.0,66286882816.0
3.128,0.094,96.778,0.0,0.0,0.0,0.0,0.0,912171008.0,229613568.0,229957632.0,66286882816.0
3.129,0.063,96.809,0.0,0.0,0.0,0.0,0.0,911917056.0,229613568.0,229957632.0,66287136768.0
3.127,0.094,96.779,0.0,0.0,0.0,0.0,0.0,911917056.0,229613568.0,229957632.0,66287136768.0
3.129,0.063,96.809,0.0,0.0,0.0,0.0,16384.0,911917056.0,229613568.0,229957632.0,66287136768.0
3.158,0.094,96.748,0.0,0.0,0.0,0.0,0.0,911544320.0,229613568.0,229957632.0,66287509504.0
3.129,0.063,96.809,0.0,0.0,0.0,0.0,0.0,911495168.0,229613568.0,229957632.0,66287558656.0
3.129,0.063,96.809,0.0,0.0,0.0,0.0,0.0,909328384.0,229613568.0,229957632.0,66289725440.0
3.129,0.063,96.809,0.0,0.0,0.0,0.0,0.0,909131776.0,229613568.0,229957632.0,66289922048.0
3.128,0.094,96.778,0.0,0.0,0.0,0.0,0.0,909131776.0,229613568.0,229957632.0,66289922048.0
3.158,0.094,96.748,0.0,0.0,0.0,0.0,0.0,909131776.0,229613568.0,229957632.0,66289922048.0
3.128,0.063,96.810,0.0,0.0,0.0,0.0,0.0,909107200.0,229613568.0,229957632.0,66289946624.0
3.130,0.063,96.808,0.0,0.0,0.0,0.0,0.0,908980224.0,229613568.0,229957632.0,66290073600.0
3.158,0.063,96.779,0.0,0.0,0.0,0.0,0.0,908980224.0,229613568.0,229957632.0,66290073600.0
3.129,0.063,96.809,0.0,0.0,0.0,0.0,0.0,908980224.0,229613568.0,229957632.0,66290073600.0
3.128,0.063,96.810,0.0,0.0,0.0,0.0,4096.0,908988416.0,229613568.0,229957632.0,66290065408.0
3.129,0.063,96.809,0.0,0.0,0.0,0.0,12288.0,908988416.0,229613568.0,229957632.0,66290065408.0
3.129,0.063,96.809,0.0,0.0,0.0,0.0,0.0,908951552.0,229613568.0,229957632.0,66290102272.0
3.160,0.063,96.777,0.0,0.0,0.0,0.0,0.0,908951552.0,229613568.0,229957632.0,66290102272.0
3.128,0.063,96.810,0.0,0.0,0.0,0.0,0.0,908951552.0,229613568.0,229957632.0,66290102272.0
3.129,0.063,96.809,0.0,0.0,0.0,0.0,0.0,908951552.0,229613568.0,229957632.0,66290102272.0
3.128,0.063,96.810,0.0,0.0,0.0,0.0,0.0,908951552.0,229613568.0,229957632.0,66290102272.0
3.129,0.063,96.809,0.0,0.0,0.0,0.0,0.0,908947456.0,229613568.0,229957632.0,66290106368.0
3.159,0.094,96.747,0.0,0.0,0.0,0.0,0.0,908947456.0,229613568.0,229957632.0,66290106368.0
