"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-641-15.local",,,,"User:","a57779"
"Cmdline:","dstat -cdm --output ep.C.x.csv",,,,"Date:","25 Feb 2016 19:11:59 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
27.505,4.266,68.188,0.011,0.000,0.030,269607.309,455160.671,909287424.0,229613568.0,230006784.0,66289717248.0
3.124,0.031,96.845,0.0,0.0,0.0,0.0,0.0,910352384.0,229613568.0,230031360.0,66288627712.0
3.127,0.063,96.811,0.0,0.0,0.0,0.0,0.0,909963264.0,229613568.0,230031360.0,66289016832.0
3.127,0.031,96.842,0.0,0.0,0.0,0.0,0.0,909963264.0,229613568.0,230031360.0,66289016832.0
3.127,0.031,96.842,0.0,0.0,0.0,0.0,0.0,909955072.0,229613568.0,230031360.0,66289025024.0
3.126,0.063,96.812,0.0,0.0,0.0,0.0,0.0,909574144.0,229613568.0,230031360.0,66289405952.0
3.157,0.031,96.812,0.0,0.0,0.0,0.0,16384.0,909574144.0,229613568.0,230031360.0,66289405952.0
3.127,0.094,96.779,0.0,0.0,0.0,0.0,0.0,909574144.0,229613568.0,230031360.0,66289405952.0
3.126,0.063,96.812,0.0,0.0,0.0,0.0,0.0,909377536.0,229613568.0,230031360.0,66289602560.0
3.156,0.062,96.781,0.0,0.0,0.0,0.0,0.0,909385728.0,229613568.0,230031360.0,66289594368.0
3.127,0.063,96.811,0.0,0.0,0.0,0.0,0.0,909385728.0,229613568.0,230031360.0,66289594368.0
3.127,0.031,96.842,0.0,0.0,0.0,0.0,0.0,909385728.0,229613568.0,230031360.0,66289594368.0
3.126,0.063,96.812,0.0,0.0,0.0,0.0,0.0,909197312.0,229613568.0,230031360.0,66289782784.0
3.127,0.063,96.811,0.0,0.0,0.0,0.0,0.0,909205504.0,229613568.0,230031360.0,66289774592.0
3.157,0.031,96.812,0.0,0.0,0.0,0.0,0.0,909205504.0,229613568.0,230031360.0,66289774592.0
3.126,0.063,96.812,0.0,0.0,0.0,0.0,0.0,909078528.0,229613568.0,230031360.0,66289901568.0
3.127,0.031,96.842,0.0,0.0,0.0,0.0,0.0,909078528.0,229613568.0,230031360.0,66289901568.0
3.127,0.063,96.811,0.0,0.0,0.0,0.0,0.0,909078528.0,229613568.0,230031360.0,66289901568.0
3.127,0.031,96.842,0.0,0.0,0.0,0.0,0.0,908824576.0,229613568.0,230031360.0,66290155520.0
3.125,0.062,96.812,0.0,0.0,0.0,0.0,0.0,908824576.0,229613568.0,230031360.0,66290155520.0
3.127,0.063,96.811,0.0,0.0,0.0,0.0,0.0,908832768.0,229613568.0,230031360.0,66290147328.0
3.157,0.031,96.812,0.0,0.0,0.0,0.0,0.0,908800000.0,229613568.0,230031360.0,66290180096.0
3.126,0.063,96.812,0.0,0.0,0.0,0.0,0.0,908800000.0,229613568.0,230031360.0,66290180096.0
