"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-641-9.local",,,,"User:","a57779"
"Cmdline:","dstat -cdm --output is.B.x.csv",,,,"Date:","25 Feb 2016 14:49:23 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
62.504,3.141,34.229,0.118,0.000,0.008,27240.412,1131792.737,919347200.0,68546560.0,145547264.0,66525184000.0
3.128,0.063,96.810,0.0,0.0,0.0,0.0,0.0,933593088.0,68546560.0,145567744.0,66510917632.0
3.129,0.094,96.777,0.0,0.0,0.0,0.0,0.0,950935552.0,68546560.0,145575936.0,66493566976.0
3.100,0.063,96.838,0.0,0.0,0.0,0.0,0.0,965488640.0,68546560.0,145575936.0,66479013888.0
3.131,0.063,96.807,0.0,0.0,0.0,0.0,0.0,980094976.0,68546560.0,145575936.0,66464407552.0
3.131,0.063,96.807,0.0,0.0,0.0,0.0,4096.0,996745216.0,68546560.0,145575936.0,66447757312.0
3.101,0.094,96.743,0.063,0.0,0.0,0.0,12288.0,1011417088.0,68554752.0,145567744.0,66433085440.0
3.131,0.063,96.807,0.0,0.0,0.0,0.0,0.0,1028194304.0,68554752.0,145567744.0,66416308224.0
3.131,0.063,96.807,0.0,0.0,0.0,0.0,0.0,1042739200.0,68554752.0,145575936.0,66401755136.0
3.008,0.157,96.835,0.0,0.0,0.0,0.0,0.0,1185472512.0,68554752.0,145575936.0,66259021824.0
3.131,0.094,96.775,0.0,0.0,0.0,0.0,0.0,1193787392.0,68554752.0,145575936.0,66250706944.0
3.132,0.031,96.837,0.0,0.0,0.0,0.0,0.0,1193533440.0,68554752.0,145575936.0,66250960896.0
3.162,0.063,96.775,0.0,0.0,0.0,0.0,0.0,1193533440.0,68554752.0,145575936.0,66250960896.0
3.132,0.063,96.806,0.0,0.0,0.0,0.0,0.0,1193541632.0,68554752.0,145575936.0,66250952704.0
3.132,0.063,96.806,0.0,0.0,0.0,0.0,0.0,1193435136.0,68554752.0,145575936.0,66251059200.0
3.131,0.063,96.807,0.0,0.0,0.0,0.0,0.0,1193308160.0,68554752.0,145575936.0,66251186176.0


"Host:","compute-641-9.local",,,,"User:","a57779"
"Cmdline:","dstat -cdm --output is.B.x.csv",,,,"Date:","25 Feb 2016 14:49:41 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
62.504,3.141,34.229,0.118,0.000,0.008,27240.304,1131788.265,918532096.0,68554752.0,145580032.0,66525958144.0
3.095,0.063,96.843,0.0,0.0,0.0,0.0,0.0,933085184.0,68554752.0,145580032.0,66511405056.0
3.130,0.063,96.808,0.0,0.0,0.0,0.0,0.0,949727232.0,68554752.0,145580032.0,66494763008.0
3.129,0.031,96.840,0.0,0.0,0.0,0.0,0.0,964202496.0,68554752.0,145580032.0,66480287744.0
3.129,0.063,96.558,0.250,0.0,0.0,0.0,0.0,978759680.0,68558848.0,145580032.0,66465726464.0
3.096,0.063,96.467,0.375,0.0,0.0,0.0,20480.0,995532800.0,68562944.0,145580032.0,66448949248.0
3.130,0.031,96.839,0.0,0.0,0.0,0.0,0.0,1010098176.0,68562944.0,145580032.0,66434383872.0
3.128,0.031,96.841,0.0,0.0,0.0,0.0,0.0,1026748416.0,68562944.0,145580032.0,66417733632.0
3.131,0.063,96.807,0.0,0.0,0.0,0.0,0.0,1041293312.0,68562944.0,145580032.0,66403188736.0
3.003,0.156,96.841,0.0,0.0,0.0,0.0,0.0,1184026624.0,68562944.0,145580032.0,66260455424.0
3.129,0.094,96.777,0.0,0.0,0.0,0.0,0.0,1192222720.0,68562944.0,145580032.0,66252259328.0
3.129,0.031,96.840,0.0,0.0,0.0,0.0,0.0,1192222720.0,68562944.0,145580032.0,66252259328.0
3.127,0.031,96.842,0.0,0.0,0.0,0.0,0.0,1192230912.0,68562944.0,145580032.0,66252251136.0
3.125,0.062,96.812,0.0,0.0,0.0,0.0,0.0,1192177664.0,68562944.0,145580032.0,66252304384.0
3.158,0.063,96.779,0.0,0.0,0.0,0.0,0.0,1192046592.0,68562944.0,145580032.0,66252435456.0
3.130,0.094,96.776,0.0,0.0,0.0,0.0,0.0,1192046592.0,68562944.0,145580032.0,66252435456.0
3.159,0.094,96.747,0.0,0.0,0.0,0.0,0.0,1192054784.0,68562944.0,145580032.0,66252427264.0


"Host:","compute-641-9.local",,,,"User:","a57779"
"Cmdline:","dstat -cdm --output is.B.x.csv",,,,"Date:","25 Feb 2016 14:49:59 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
62.504,3.141,34.230,0.118,0.000,0.008,27240.193,1131783.644,923201536.0,68562944.0,145580032.0,66521280512.0
3.126,0.031,96.843,0.0,0.0,0.0,0.0,0.0,938135552.0,68562944.0,145580032.0,66506346496.0
3.130,0.094,96.776,0.0,0.0,0.0,0.0,0.0,955031552.0,68562944.0,145580032.0,66489450496.0
3.130,0.094,96.682,0.094,0.0,0.0,0.0,49152.0,969707520.0,68571136.0,145575936.0,66474770432.0
3.131,0.031,96.838,0.0,0.0,0.0,0.0,0.0,984236032.0,68571136.0,145588224.0,66460229632.0
3.130,0.063,96.808,0.0,0.0,0.0,0.0,0.0,1001140224.0,68571136.0,145588224.0,66443325440.0
3.099,0.063,96.839,0.0,0.0,0.0,0.0,0.0,1015701504.0,68571136.0,145588224.0,66428764160.0
3.130,0.063,96.808,0.0,0.0,0.0,0.0,0.0,1032437760.0,68571136.0,145588224.0,66412027904.0
3.161,0.125,96.714,0.0,0.0,0.0,0.0,0.0,1048244224.0,68571136.0,145588224.0,66396221440.0
3.035,0.125,96.840,0.0,0.0,0.0,0.0,0.0,1191096320.0,68571136.0,145588224.0,66253369344.0
3.099,0.094,96.808,0.0,0.0,0.0,0.0,0.0,1199276032.0,68571136.0,145588224.0,66245189632.0
3.130,0.063,96.808,0.0,0.0,0.0,0.0,0.0,1199276032.0,68571136.0,145588224.0,66245189632.0
3.160,0.125,96.715,0.0,0.0,0.0,0.0,0.0,1199276032.0,68571136.0,145588224.0,66245189632.0
3.132,0.031,96.837,0.0,0.0,0.0,0.0,0.0,1199276032.0,68571136.0,145588224.0,66245189632.0
3.133,0.063,96.805,0.0,0.0,0.0,0.0,0.0,1199161344.0,68571136.0,145588224.0,66245304320.0
3.131,0.063,96.807,0.0,0.0,0.0,0.0,0.0,1198833664.0,68571136.0,145588224.0,66245632000.0


"Host:","compute-641-9.local",,,,"User:","a57779"
"Cmdline:","dstat -cdm --output is.B.x.csv",,,,"Date:","25 Feb 2016 14:50:16 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
