"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-641-12.local",,,,"User:","a57779"
"Cmdline:","dstat -cdm --output cg.C.x.csv",,,,"Date:","25 Feb 2016 17:10:45 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
50.358,7.797,41.773,0.066,0.000,0.006,268.960,18537.506,917958656.0,79863808.0,92557312.0,66568245248.0
2.783,0.407,96.811,0.0,0.0,0.0,0.0,0.0,1396658176.0,79863808.0,92585984.0,66089517056.0
3.132,0.063,96.806,0.0,0.0,0.0,0.0,0.0,1396649984.0,79863808.0,92585984.0,66089525248.0
3.133,0.031,96.836,0.0,0.0,0.0,0.0,0.0,1396649984.0,79863808.0,92585984.0,66089525248.0
3.132,0.063,96.806,0.0,0.0,0.0,0.0,0.0,1396518912.0,79863808.0,92585984.0,66089656320.0
3.130,0.031,96.839,0.0,0.0,0.0,0.0,0.0,1396518912.0,79863808.0,92585984.0,66089656320.0
3.132,0.063,96.242,0.564,0.0,0.0,0.0,12288.0,1396518912.0,79863808.0,92585984.0,66089656320.0
3.130,0.063,96.776,0.031,0.0,0.0,0.0,4096.0,1396428800.0,79863808.0,92585984.0,66089746432.0
3.160,0.063,96.777,0.0,0.0,0.0,0.0,0.0,1396412416.0,79863808.0,92585984.0,66089762816.0
3.132,0.031,96.837,0.0,0.0,0.0,0.0,0.0,1396412416.0,79863808.0,92585984.0,66089762816.0
3.131,0.063,96.807,0.0,0.0,0.0,0.0,0.0,1396412416.0,79863808.0,92585984.0,66089762816.0
3.130,0.031,96.839,0.0,0.0,0.0,0.0,0.0,1396387840.0,79863808.0,92585984.0,66089787392.0
3.130,0.063,96.776,0.0,0.0,0.031,0.0,0.0,1396371456.0,79863808.0,92585984.0,66089803776.0
3.130,0.063,96.808,0.0,0.0,0.0,0.0,0.0,1396383744.0,79863808.0,92585984.0,66089791488.0
3.160,0.063,96.777,0.0,0.0,0.0,0.0,0.0,1400958976.0,79863808.0,92585984.0,66085216256.0
3.131,0.031,96.838,0.0,0.0,0.0,0.0,0.0,1400958976.0,79863808.0,92585984.0,66085216256.0
3.130,0.063,96.808,0.0,0.0,0.0,0.0,0.0,1400958976.0,79863808.0,92585984.0,66085216256.0
3.129,0.063,96.809,0.0,0.0,0.0,0.0,0.0,1400958976.0,79863808.0,92585984.0,66085216256.0
3.132,0.031,96.837,0.0,0.0,0.0,0.0,8192.0,1400958976.0,79863808.0,92585984.0,66085216256.0
3.132,0.063,96.806,0.0,0.0,0.0,0.0,0.0,1400958976.0,79863808.0,92585984.0,66085216256.0
3.164,0.031,96.805,0.0,0.0,0.0,0.0,0.0,1400958976.0,79863808.0,92585984.0,66085216256.0
3.130,0.063,96.808,0.0,0.0,0.0,0.0,0.0,1400958976.0,79863808.0,92585984.0,66085216256.0
3.132,0.031,96.837,0.0,0.0,0.0,0.0,0.0,1400958976.0,79863808.0,92585984.0,66085216256.0
3.161,0.063,96.776,0.0,0.0,0.0,0.0,0.0,1400967168.0,79863808.0,92585984.0,66085208064.0
3.131,0.063,96.807,0.0,0.0,0.0,0.0,0.0,1400967168.0,79863808.0,92585984.0,66085208064.0
3.131,0.031,96.838,0.0,0.0,0.0,0.0,0.0,1400967168.0,79863808.0,92585984.0,66085208064.0
3.133,0.063,96.805,0.0,0.0,0.0,0.0,0.0,1400967168.0,79863808.0,92585984.0,66085208064.0
3.129,0.063,96.809,0.0,0.0,0.0,0.0,0.0,1400967168.0,79863808.0,92585984.0,66085208064.0
3.160,0.063,96.777,0.0,0.0,0.0,0.0,0.0,1400967168.0,79863808.0,92585984.0,66085208064.0
3.130,0.063,96.808,0.0,0.0,0.0,0.0,0.0,1400967168.0,79863808.0,92585984.0,66085208064.0
3.161,0.094,96.745,0.0,0.0,0.0,0.0,0.0,1400967168.0,79863808.0,92585984.0,66085208064.0
3.131,0.031,96.838,0.0,0.0,0.0,0.0,0.0,1400942592.0,79863808.0,92585984.0,66085232640.0
3.133,0.063,96.805,0.0,0.0,0.0,0.0,0.0,1400942592.0,79863808.0,92585984.0,66085232640.0
3.133,0.063,96.805,0.0,0.0,0.0,0.0,0.0,1400967168.0,79863808.0,92585984.0,66085208064.0
3.132,0.031,96.837,0.0,0.0,0.0,0.0,0.0,1400967168.0,79863808.0,92585984.0,66085208064.0
3.131,0.063,96.807,0.0,0.0,0.0,0.0,0.0,1400967168.0,79863808.0,92585984.0,66085208064.0
3.132,0.031,96.837,0.0,0.0,0.0,0.0,0.0,1400967168.0,79863808.0,92585984.0,66085208064.0
3.129,0.063,96.809,0.0,0.0,0.0,0.0,0.0,1400967168.0,79863808.0,92585984.0,66085208064.0
3.133,0.031,96.836,0.0,0.0,0.0,0.0,0.0,1400967168.0,79863808.0,92585984.0,66085208064.0
3.159,0.063,96.778,0.0,0.0,0.0,0.0,0.0,1400967168.0,79863808.0,92585984.0,66085208064.0
3.131,0.031,96.838,0.0,0.0,0.0,0.0,0.0,1400967168.0,79863808.0,92585984.0,66085208064.0
3.130,0.031,96.839,0.0,0.0,0.0,0.0,0.0,1400967168.0,79863808.0,92585984.0,66085208064.0
3.130,0.063,96.808,0.0,0.0,0.0,0.0,0.0,1400963072.0,79863808.0,92590080.0,66085208064.0
3.132,0.031,96.837,0.0,0.0,0.0,0.0,0.0,1400971264.0,79863808.0,92590080.0,66085199872.0
3.162,0.063,96.775,0.0,0.0,0.0,0.0,0.0,1400971264.0,79863808.0,92590080.0,66085199872.0
3.131,0.063,96.807,0.0,0.0,0.0,0.0,0.0,1400971264.0,79863808.0,92590080.0,66085199872.0
3.133,0.031,96.836,0.0,0.0,0.0,0.0,0.0,1400971264.0,79863808.0,92590080.0,66085199872.0
3.129,0.094,96.277,0.469,0.0,0.031,0.0,0.0,1400971264.0,79863808.0,92590080.0,66085199872.0
3.131,0.063,96.681,0.125,0.0,0.0,0.0,12288.0,1400963072.0,79863808.0,92590080.0,66085208064.0
3.159,0.063,96.778,0.0,0.0,0.0,0.0,0.0,1400963072.0,79863808.0,92590080.0,66085208064.0
3.131,0.063,96.807,0.0,0.0,0.0,0.0,0.0,1400963072.0,79863808.0,92590080.0,66085208064.0
3.161,0.031,96.808,0.0,0.0,0.0,0.0,0.0,1400938496.0,79863808.0,92590080.0,66085232640.0
3.130,0.063,96.808,0.0,0.0,0.0,0.0,0.0,1400938496.0,79863808.0,92590080.0,66085232640.0
3.129,0.063,96.809,0.0,0.0,0.0,0.0,0.0,1400954880.0,79863808.0,92590080.0,66085216256.0
3.133,0.031,96.836,0.0,0.0,0.0,0.0,0.0,1400954880.0,79863808.0,92590080.0,66085216256.0
