"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-431-5.local",,,,"User:","a57779"
"Cmdline:","dstat -cdm --output is.B.x.csv",,,,"Date:","25 Feb 2016 21:23:22 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
14.717,1.337,83.879,0.063,0.000,0.004,6017.649,409529.439,786243584.0,373891072.0,1944743936.0,47636115456.0
4.168,0.0,95.832,0.0,0.0,0.0,0.0,0.0,805609472.0,373891072.0,1944768512.0,47616724992.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,824483840.0,373891072.0,1944768512.0,47597850624.0
4.130,0.042,95.828,0.0,0.0,0.0,0.0,0.0,843485184.0,373891072.0,1944768512.0,47578849280.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,8192.0,862044160.0,373891072.0,1944768512.0,47560290304.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,880918528.0,373891072.0,1944768512.0,47541415936.0
4.214,0.083,95.620,0.083,0.0,0.0,0.0,12288.0,899919872.0,373891072.0,1944768512.0,47522414592.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,916484096.0,373891072.0,1944768512.0,47505850368.0
4.048,0.125,95.826,0.0,0.0,0.0,0.0,0.0,1061306368.0,373891072.0,1944768512.0,47361028096.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1061306368.0,373891072.0,1944768512.0,47361028096.0
4.174,0.042,95.785,0.0,0.0,0.0,0.0,0.0,1061306368.0,373891072.0,1944768512.0,47361028096.0
4.168,0.083,95.748,0.0,0.0,0.0,0.0,0.0,1061306368.0,373891072.0,1944768512.0,47361028096.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,1061306368.0,373891072.0,1944768512.0,47361028096.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1061179392.0,373891072.0,1944768512.0,47361155072.0
4.214,0.042,95.745,0.0,0.0,0.0,0.0,0.0,1061179392.0,373891072.0,1944768512.0,47361155072.0
4.170,0.083,95.746,0.0,0.0,0.0,0.0,0.0,1061179392.0,373891072.0,1944768512.0,47361155072.0


"Host:","compute-431-5.local",,,,"User:","a57779"
"Cmdline:","dstat -cdm --output is.B.x.csv",,,,"Date:","25 Feb 2016 21:23:39 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
14.717,1.337,83.879,0.063,0.000,0.004,6017.645,409529.166,786419712.0,373891072.0,1944772608.0,47635910656.0
4.207,0.083,95.710,0.0,0.0,0.0,0.0,0.0,805396480.0,373891072.0,1944772608.0,47616933888.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,824270848.0,373891072.0,1944772608.0,47598059520.0
4.130,0.083,95.786,0.0,0.0,0.0,0.0,0.0,843272192.0,373891072.0,1944772608.0,47579058176.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,859947008.0,373891072.0,1944772608.0,47562383360.0
4.210,0.083,95.707,0.0,0.0,0.0,0.0,0.0,878694400.0,373891072.0,1944772608.0,47543635968.0
4.170,0.083,95.663,0.083,0.0,0.0,0.0,16384.0,897568768.0,373891072.0,1944772608.0,47524761600.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,916570112.0,373891072.0,1944772608.0,47505760256.0
4.087,0.125,95.788,0.0,0.0,0.0,0.0,0.0,1061527552.0,373891072.0,1944772608.0,47360802816.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1061527552.0,373891072.0,1944772608.0,47360802816.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,1061400576.0,373891072.0,1944772608.0,47360929792.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1061392384.0,373891072.0,1944772608.0,47360937984.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,1061392384.0,373891072.0,1944772608.0,47360937984.0
4.170,0.042,95.705,0.083,0.0,0.0,0.0,12288.0,1061392384.0,373891072.0,1944772608.0,47360937984.0
