"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-431-9.local",,,,"User:","a57779"
"Cmdline:","dstat -cdm --output ep.C.x.csv",,,,"Date:","26 Feb 2016 01:09:33 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
24.096,1.756,74.118,0.028,0.000,0.003,11465.963,494452.365,999485440.0,368697344.0,8404074496.0,40968736768.0
4.167,0.042,95.792,0.0,0.0,0.0,0.0,8192.0,999616512.0,368697344.0,8404078592.0,40968601600.0
4.174,0.0,95.701,0.125,0.0,0.0,0.0,24576.0,999608320.0,368697344.0,8404078592.0,40968609792.0
4.212,0.083,95.705,0.0,0.0,0.0,0.0,0.0,999620608.0,368697344.0,8404201472.0,40968474624.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,999620608.0,368697344.0,8404201472.0,40968474624.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,999501824.0,368697344.0,8404201472.0,40968593408.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,999362560.0,368697344.0,8404201472.0,40968732672.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,999235584.0,368697344.0,8404201472.0,40968859648.0
4.210,0.042,95.748,0.0,0.0,0.0,0.0,0.0,999108608.0,368697344.0,8404201472.0,40968986624.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,998981632.0,368697344.0,8404201472.0,40969113600.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,998973440.0,368697344.0,8404201472.0,40969121792.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,998973440.0,368697344.0,8404201472.0,40969121792.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,998957056.0,368697344.0,8404201472.0,40969138176.0
4.210,0.042,95.748,0.0,0.0,0.0,0.0,0.0,998830080.0,368697344.0,8404201472.0,40969265152.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,998703104.0,368697344.0,8404201472.0,40969392128.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,998686720.0,368697344.0,8404201472.0,40969408512.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,998559744.0,368697344.0,8404201472.0,40969535488.0
4.212,0.0,95.788,0.0,0.0,0.0,0.0,0.0,998559744.0,368697344.0,8404201472.0,40969535488.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,998559744.0,368697344.0,8404201472.0,40969535488.0
4.174,0.083,95.743,0.0,0.0,0.0,0.0,0.0,998432768.0,368697344.0,8404201472.0,40969662464.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,998395904.0,368697344.0,8404201472.0,40969699328.0
4.212,0.042,95.746,0.0,0.0,0.0,0.0,0.0,998395904.0,368697344.0,8404201472.0,40969699328.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,998395904.0,368697344.0,8404201472.0,40969699328.0
4.168,0.042,95.748,0.0,0.0,0.042,0.0,0.0,998395904.0,368697344.0,8404201472.0,40969699328.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,998395904.0,368697344.0,8404201472.0,40969699328.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,998268928.0,368697344.0,8404201472.0,40969826304.0
4.212,0.042,95.746,0.0,0.0,0.0,0.0,0.0,998268928.0,368697344.0,8404201472.0,40969826304.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,998268928.0,368697344.0,8404201472.0,40969826304.0
4.212,0.042,95.621,0.125,0.0,0.0,0.0,40960.0,998658048.0,368701440.0,8404197376.0,40969437184.0
4.172,0.042,95.703,0.083,0.0,0.0,0.0,4096.0,998469632.0,368701440.0,8404197376.0,40969625600.0
