"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-431-9.local",,,,"User:","a57779"
"Cmdline:","dstat -cdm --output is.C.x.csv",,,,"Date:","26 Feb 2016 02:22:47 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
24.092,1.756,74.121,0.028,0.000,0.003,11463.982,494367.118,987291648.0,368701440.0,8410140672.0,40974860288.0
4.163,0.083,95.754,0.0,0.0,0.0,0.0,0.0,1025294336.0,368701440.0,8410140672.0,40936857600.0
4.132,0.042,95.826,0.0,0.0,0.0,0.0,4096.0,1062887424.0,368701440.0,8410161152.0,40899244032.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1100890112.0,368701440.0,8410161152.0,40861241344.0
4.130,0.083,95.786,0.0,0.0,0.0,0.0,0.0,1140609024.0,368701440.0,8410161152.0,40821522432.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1178365952.0,368701440.0,8410161152.0,40783765504.0
4.130,0.042,95.661,0.167,0.0,0.0,0.0,12288.0,1216233472.0,368701440.0,8410161152.0,40745897984.0
4.130,0.042,95.828,0.0,0.0,0.0,0.0,4096.0,1253855232.0,368701440.0,8410161152.0,40708276224.0
4.132,0.042,95.826,0.0,0.0,0.0,0.0,0.0,1291468800.0,368701440.0,8410161152.0,40670662656.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1329217536.0,368701440.0,8410161152.0,40632913920.0
4.130,0.042,95.828,0.0,0.0,0.0,0.0,0.0,1366966272.0,368701440.0,8410161152.0,40595165184.0
4.130,0.083,95.786,0.0,0.0,0.0,0.0,0.0,1404715008.0,368701440.0,8410161152.0,40557416448.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1442557952.0,368701440.0,8410161152.0,40519573504.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1480380416.0,368701440.0,8410161152.0,40481751040.0
4.132,0.042,95.826,0.0,0.0,0.0,0.0,0.0,1518116864.0,368701440.0,8410161152.0,40444014592.0
3.798,0.417,95.785,0.0,0.0,0.0,0.0,0.0,2060197888.0,368701440.0,8410161152.0,39901933568.0
4.132,0.042,95.826,0.0,0.0,0.0,0.0,0.0,2093432832.0,368701440.0,8410161152.0,39868698624.0
4.214,0.042,95.745,0.0,0.0,0.0,0.0,0.0,2093559808.0,368701440.0,8410161152.0,39868571648.0
4.174,0.042,95.785,0.0,0.0,0.0,0.0,0.0,2093559808.0,368701440.0,8410161152.0,39868571648.0
4.168,0.042,95.748,0.0,0.0,0.042,0.0,0.0,2093559808.0,368701440.0,8410161152.0,39868571648.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,2093559808.0,368701440.0,8410161152.0,39868571648.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,2093559808.0,368701440.0,8410161152.0,39868571648.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,2093432832.0,368701440.0,8410161152.0,39868698624.0
4.174,0.0,95.701,0.125,0.0,0.0,0.0,12288.0,2093432832.0,368701440.0,8410161152.0,39868698624.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,2093432832.0,368701440.0,8410161152.0,39868698624.0
4.212,0.042,95.746,0.0,0.0,0.0,0.0,0.0,2093432832.0,368701440.0,8410161152.0,39868698624.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,2093432832.0,368701440.0,8410161152.0,39868698624.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,2093441024.0,368701440.0,8410161152.0,39868690432.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,2093305856.0,368701440.0,8410161152.0,39868825600.0
4.174,0.042,95.785,0.0,0.0,0.0,0.0,0.0,2093305856.0,368701440.0,8410161152.0,39868825600.0
4.214,0.0,95.786,0.0,0.0,0.0,0.0,0.0,2093305856.0,368701440.0,8410161152.0,39868825600.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,2093305856.0,368701440.0,8410161152.0,39868825600.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,2093314048.0,368701440.0,8410161152.0,39868817408.0

"Host:","compute-431-9.local",,,,"User:","a57779"
"Cmdline:","dstat -cdm --output is.C.x.csv",,,,"Date:","26 Feb 2016 02:23:22 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
24.092,1.756,74.121,0.028,0.000,0.003,11463.967,494366.439,1016119296.0,368701440.0,8410165248.0,40946008064.0
4.168,0.042,95.790,0.0,0.0,0.0,0.0,0.0,1053986816.0,368701440.0,8410165248.0,40908140544.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1091862528.0,368701440.0,8410165248.0,40870264832.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1129611264.0,368701440.0,8410165248.0,40832516096.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,1167368192.0,368701440.0,8410165248.0,40794759168.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1207185408.0,368701440.0,8410165248.0,40754941952.0
4.132,0.083,95.659,0.125,0.0,0.0,0.0,16384.0,1245057024.0,368701440.0,8410169344.0,40717066240.0
4.134,0.042,95.825,0.0,0.0,0.0,0.0,0.0,1282924544.0,368701440.0,8410169344.0,40679198720.0
4.128,0.083,95.788,0.0,0.0,0.0,0.0,0.0,1320554496.0,368701440.0,8410169344.0,40641568768.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,1358540800.0,368701440.0,8410169344.0,40603582464.0
4.130,0.083,95.786,0.0,0.0,0.0,0.0,0.0,1396281344.0,368701440.0,8410169344.0,40565841920.0
4.128,0.042,95.788,0.0,0.0,0.042,0.0,0.0,1434157056.0,368701440.0,8410169344.0,40527966208.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1471905792.0,368701440.0,8410169344.0,40490217472.0
4.130,0.083,95.786,0.0,0.0,0.0,0.0,0.0,1509781504.0,368701440.0,8410169344.0,40452341760.0
4.132,0.042,95.826,0.0,0.0,0.0,0.0,0.0,1547530240.0,368701440.0,8410169344.0,40414593024.0
3.838,0.417,95.745,0.0,0.0,0.0,0.0,0.0,2089476096.0,368701440.0,8410169344.0,39872647168.0
4.130,0.083,95.786,0.0,0.0,0.0,0.0,0.0,2122592256.0,368701440.0,8410169344.0,39839531008.0
4.175,0.0,95.825,0.0,0.0,0.0,0.0,0.0,2122584064.0,368701440.0,8410169344.0,39839539200.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,2122584064.0,368701440.0,8410169344.0,39839539200.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,2122584064.0,368701440.0,8410169344.0,39839539200.0
4.212,0.042,95.746,0.0,0.0,0.0,0.0,0.0,2122457088.0,368701440.0,8410169344.0,39839666176.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,2122457088.0,368701440.0,8410169344.0,39839666176.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,8192.0,2122457088.0,368701440.0,8410169344.0,39839666176.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,2122457088.0,368701440.0,8410169344.0,39839666176.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,2122457088.0,368701440.0,8410169344.0,39839666176.0
4.174,0.042,95.785,0.0,0.0,0.0,0.0,0.0,2122457088.0,368701440.0,8410169344.0,39839666176.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,2122330112.0,368701440.0,8410169344.0,39839793152.0
4.174,0.042,95.785,0.0,0.0,0.0,0.0,0.0,2122330112.0,368701440.0,8410169344.0,39839793152.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,2122330112.0,368701440.0,8410169344.0,39839793152.0
4.214,0.0,95.786,0.0,0.0,0.0,0.0,0.0,2122330112.0,368701440.0,8410169344.0,39839793152.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,2122330112.0,368701440.0,8410169344.0,39839793152.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,2122330112.0,368701440.0,8410169344.0,39839793152.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,2122211328.0,368701440.0,8410169344.0,39839911936.0

"Host:","compute-431-9.local",,,,"User:","a57779"
"Cmdline:","dstat -cdm --output is.C.x.csv",,,,"Date:","26 Feb 2016 02:24:32 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
24.092,1.756,74.122,0.028,0.000,0.003,11463.935,494365.085,1025863680.0,368701440.0,8410173440.0,40936255488.0
4.168,0.0,95.832,0.0,0.0,0.0,0.0,0.0,1065836544.0,368701440.0,8410173440.0,40896282624.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,8192.0,1103847424.0,368701440.0,8410173440.0,40858271744.0
4.174,0.042,95.785,0.0,0.0,0.0,0.0,0.0,1141850112.0,368701440.0,8410173440.0,40820269056.0
4.128,0.083,95.788,0.0,0.0,0.0,0.0,0.0,1179471872.0,368701440.0,8410173440.0,40782647296.0
4.174,0.042,95.785,0.0,0.0,0.0,0.0,0.0,1217220608.0,368701440.0,8410173440.0,40744898560.0
4.128,0.083,95.621,0.167,0.0,0.0,0.0,16384.0,1254969344.0,368701440.0,8410173440.0,40707149824.0
4.132,0.042,95.826,0.0,0.0,0.0,0.0,0.0,1292705792.0,368701440.0,8410173440.0,40669413376.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1330458624.0,368701440.0,8410173440.0,40631660544.0
4.134,0.042,95.825,0.0,0.0,0.0,0.0,0.0,1368076288.0,368701440.0,8410173440.0,40594042880.0
4.130,0.042,95.828,0.0,0.0,0.0,0.0,0.0,1405952000.0,368701440.0,8410173440.0,40556167168.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1443807232.0,368701440.0,8410173440.0,40518311936.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1481428992.0,368701440.0,8410173440.0,40480690176.0
4.130,0.042,95.828,0.0,0.0,0.0,0.0,0.0,1519304704.0,368701440.0,8410173440.0,40442814464.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1557053440.0,368701440.0,8410173440.0,40405065728.0
3.798,0.417,95.785,0.0,0.0,0.0,0.0,0.0,2099249152.0,368701440.0,8410173440.0,39862870016.0
4.130,0.042,95.828,0.0,0.0,0.0,0.0,0.0,2132738048.0,368701440.0,8410173440.0,39829381120.0
4.210,0.042,95.748,0.0,0.0,0.0,0.0,0.0,2132738048.0,368701440.0,8410173440.0,39829381120.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,2132611072.0,368701440.0,8410173440.0,39829508096.0
4.174,0.042,95.785,0.0,0.0,0.0,0.0,0.0,2132611072.0,368701440.0,8410173440.0,39829508096.0
4.174,0.042,95.785,0.0,0.0,0.0,0.0,0.0,2132619264.0,368701440.0,8410173440.0,39829499904.0
4.212,0.042,95.746,0.0,0.0,0.0,0.0,0.0,2132611072.0,368701440.0,8410173440.0,39829508096.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,2132611072.0,368701440.0,8410173440.0,39829508096.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,2132606976.0,368701440.0,8410177536.0,39829508096.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,2132480000.0,368701440.0,8410177536.0,39829635072.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,2132480000.0,368701440.0,8410177536.0,39829635072.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,2132480000.0,368701440.0,8410177536.0,39829635072.0
4.212,0.042,95.746,0.0,0.0,0.0,0.0,0.0,2132480000.0,368701440.0,8410177536.0,39829635072.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,2132480000.0,368701440.0,8410177536.0,39829635072.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,2132606976.0,368701440.0,8410177536.0,39829508096.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,2132480000.0,368701440.0,8410177536.0,39829635072.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,2132480000.0,368701440.0,8410177536.0,39829635072.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,2132480000.0,368701440.0,8410177536.0,39829635072.0


"Host:","compute-431-9.local",,,,"User:","a57779"
"Cmdline:","dstat -cdm --output is.C.x.csv",,,,"Date:","26 Feb 2016 02:25:07 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
24.092,1.756,74.122,0.028,0.000,0.003,11463.919,494364.406,1006710784.0,368701440.0,8410177536.0,40955404288.0
4.122,0.125,95.754,0.0,0.0,0.0,0.0,0.0,1044414464.0,368701440.0,8410177536.0,40917700608.0
4.128,0.083,95.788,0.0,0.0,0.0,0.0,0.0,1084514304.0,368701440.0,8410177536.0,40877600768.0
4.168,0.083,95.623,0.125,0.0,0.0,0.0,20480.0,1122508800.0,368701440.0,8410177536.0,40839606272.0
4.170,0.083,95.746,0.0,0.0,0.0,0.0,0.0,1160384512.0,368701440.0,8410177536.0,40801730560.0
4.127,0.125,95.748,0.0,0.0,0.0,0.0,0.0,1198133248.0,368701440.0,8410177536.0,40763981824.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1236008960.0,368701440.0,8410177536.0,40726106112.0
4.127,0.125,95.748,0.0,0.0,0.0,0.0,0.0,1273630720.0,368701440.0,8410177536.0,40688484352.0
4.168,0.083,95.748,0.0,0.0,0.0,0.0,0.0,1311436800.0,368701440.0,8410177536.0,40650678272.0
4.130,0.042,95.828,0.0,0.0,0.0,0.0,0.0,1349058560.0,368701440.0,8410177536.0,40613056512.0
4.170,0.083,95.746,0.0,0.0,0.0,0.0,0.0,1386934272.0,368701440.0,8410177536.0,40575180800.0
4.168,0.083,95.748,0.0,0.0,0.0,0.0,0.0,1424809984.0,368701440.0,8410177536.0,40537305088.0
4.128,0.083,95.788,0.0,0.0,0.0,0.0,0.0,1462558720.0,368701440.0,8410177536.0,40499556352.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1500307456.0,368701440.0,8410177536.0,40461807616.0
4.128,0.083,95.788,0.0,0.0,0.0,0.0,0.0,1538056192.0,368701440.0,8410177536.0,40424058880.0
3.793,0.417,95.790,0.0,0.0,0.0,0.0,0.0,2080264192.0,368701440.0,8410177536.0,39881850880.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,2113753088.0,368701440.0,8410177536.0,39848361984.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,2113753088.0,368701440.0,8410177536.0,39848361984.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,2113753088.0,368701440.0,8410177536.0,39848361984.0
4.214,0.0,95.786,0.0,0.0,0.0,0.0,0.0,2113626112.0,368701440.0,8410177536.0,39848488960.0
4.168,0.042,95.790,0.0,0.0,0.0,0.0,0.0,2113626112.0,368701440.0,8410177536.0,39848488960.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,2113626112.0,368701440.0,8410177536.0,39848488960.0
4.168,0.083,95.748,0.0,0.0,0.0,0.0,0.0,2113499136.0,368701440.0,8410177536.0,39848615936.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,2113499136.0,368701440.0,8410177536.0,39848615936.0
4.212,0.042,95.746,0.0,0.0,0.0,0.0,0.0,2113499136.0,368701440.0,8410177536.0,39848615936.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,2113363968.0,368701440.0,8410177536.0,39848751104.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,2113363968.0,368701440.0,8410177536.0,39848751104.0
4.170,0.083,95.746,0.0,0.0,0.0,0.0,0.0,2113363968.0,368701440.0,8410177536.0,39848751104.0
4.210,0.042,95.748,0.0,0.0,0.0,0.0,0.0,2113363968.0,368701440.0,8410177536.0,39848751104.0
