"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-431-9.local",,,,"User:","a57779"
"Cmdline:","dstat -cdm --output ep.B.x.csv",,,,"Date:","26 Feb 2016 02:06:01 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
24.093,1.756,74.121,0.028,0.000,0.003,11464.436,494386.637,998158336.0,368701440.0,8409083904.0,40965050368.0
4.165,0.042,95.793,0.0,0.0,0.0,0.0,0.0,998522880.0,368701440.0,8409227264.0,40964542464.0
4.170,0.042,95.621,0.167,0.0,0.0,0.0,20480.0,998715392.0,368701440.0,8409227264.0,40964349952.0
4.210,0.042,95.748,0.0,0.0,0.0,0.0,0.0,998842368.0,368701440.0,8409227264.0,40964222976.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,998969344.0,368701440.0,8409227264.0,40964096000.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,998969344.0,368701440.0,8409227264.0,40964096000.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,998834176.0,368701440.0,8409227264.0,40964231168.0
4.214,0.042,95.745,0.0,0.0,0.0,0.0,0.0,998514688.0,368701440.0,8409227264.0,40964550656.0
4.172,0.042,95.661,0.125,0.0,0.0,0.0,12288.0,998498304.0,368701440.0,8409227264.0,40964567040.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,998498304.0,368701440.0,8409227264.0,40964567040.0
4.175,0.0,95.825,0.0,0.0,0.0,0.0,0.0,998371328.0,368701440.0,8409227264.0,40964694016.0
4.174,0.042,95.785,0.0,0.0,0.0,0.0,0.0,998371328.0,368701440.0,8409227264.0,40964694016.0
4.175,0.0,95.825,0.0,0.0,0.0,0.0,0.0,998363136.0,368701440.0,8409227264.0,40964702208.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,998227968.0,368701440.0,8409227264.0,40964837376.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,998227968.0,368701440.0,8409227264.0,40964837376.0
4.212,0.0,95.746,0.0,0.0,0.042,0.0,0.0,998100992.0,368701440.0,8409227264.0,40964964352.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,998100992.0,368701440.0,8409227264.0,40964964352.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,998100992.0,368701440.0,8409227264.0,40964964352.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,12288.0,998100992.0,368701440.0,8409227264.0,40964964352.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,997974016.0,368701440.0,8409227264.0,40965091328.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,997974016.0,368701440.0,8409227264.0,40965091328.0
4.212,0.0,95.788,0.0,0.0,0.0,0.0,0.0,997974016.0,368701440.0,8409227264.0,40965091328.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,997974016.0,368701440.0,8409227264.0,40965091328.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,997974016.0,368701440.0,8409227264.0,40965091328.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,997974016.0,368701440.0,8409227264.0,40965091328.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,997937152.0,368701440.0,8409227264.0,40965128192.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,997937152.0,368701440.0,8409227264.0,40965128192.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,997937152.0,368701440.0,8409227264.0,40965128192.0
4.210,0.042,95.748,0.0,0.0,0.0,0.0,0.0,997937152.0,368701440.0,8409227264.0,40965128192.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,997945344.0,368701440.0,8409227264.0,40965120000.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,997937152.0,368701440.0,8409227264.0,40965128192.0
4.170,0.0,95.788,0.0,0.0,0.042,0.0,0.0,997937152.0,368701440.0,8409227264.0,40965128192.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,997937152.0,368701440.0,8409227264.0,40965128192.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,997937152.0,368701440.0,8409227264.0,40965128192.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,997937152.0,368701440.0,8409227264.0,40965128192.0
4.210,0.042,95.748,0.0,0.0,0.0,0.0,0.0,997937152.0,368701440.0,8409227264.0,40965128192.0
