"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-641-9.local",,,,"User:","a57779"
"Cmdline:","dstat -cdm --output cg.B.x.csv",,,,"Date:","25 Feb 2016 19:51:18 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
62.318,3.220,34.336,0.118,0.000,0.008,27138.865,1127334.893,927494144.0,90992640.0,172826624.0,66467311616.0
3.031,0.219,96.750,0.0,0.0,0.0,0.0,0.0,1107529728.0,90992640.0,172826624.0,66287276032.0
3.130,0.063,96.808,0.0,0.0,0.0,0.0,0.0,1107517440.0,90992640.0,172847104.0,66287267840.0
3.131,0.063,96.807,0.0,0.0,0.0,0.0,0.0,1107390464.0,90992640.0,172847104.0,66287394816.0
3.132,0.063,96.806,0.0,0.0,0.0,0.0,0.0,1107263488.0,90992640.0,172847104.0,66287521792.0
3.130,0.094,96.244,0.532,0.0,0.0,0.0,327680.0,1107140608.0,91000832.0,172838912.0,66287644672.0
3.159,0.125,96.716,0.0,0.0,0.0,0.0,0.0,1106878464.0,91000832.0,172838912.0,66287906816.0
3.134,0.031,96.835,0.0,0.0,0.0,0.0,0.0,1106661376.0,91000832.0,172847104.0,66288115712.0
3.162,0.063,96.775,0.0,0.0,0.0,0.0,0.0,1106534400.0,91000832.0,172847104.0,66288242688.0
3.130,0.063,96.776,0.0,0.0,0.031,0.0,0.0,1106415616.0,91000832.0,172847104.0,66288361472.0
3.128,0.063,96.810,0.0,0.0,0.0,0.0,0.0,1106362368.0,91000832.0,172847104.0,66288414720.0
3.131,0.063,96.807,0.0,0.0,0.0,0.0,0.0,1106362368.0,91000832.0,172847104.0,66288414720.0
3.160,0.094,96.746,0.0,0.0,0.0,0.0,0.0,1106235392.0,91000832.0,172847104.0,66288541696.0
3.131,0.063,96.807,0.0,0.0,0.0,0.0,0.0,1108967424.0,91000832.0,172847104.0,66285809664.0
3.130,0.031,96.839,0.0,0.0,0.0,0.0,0.0,1108840448.0,91000832.0,172847104.0,66285936640.0
3.130,0.063,96.808,0.0,0.0,0.0,0.0,0.0,1108688896.0,91000832.0,172847104.0,66286088192.0
3.160,0.031,96.809,0.0,0.0,0.0,0.0,0.0,1108688896.0,91000832.0,172847104.0,66286088192.0
3.132,0.063,96.806,0.0,0.0,0.0,0.0,0.0,1108561920.0,91000832.0,172847104.0,66286215168.0
3.128,0.094,96.778,0.0,0.0,0.0,0.0,0.0,1108545536.0,91000832.0,172847104.0,66286231552.0
3.159,0.094,96.747,0.0,0.0,0.0,0.0,0.0,1108553728.0,91000832.0,172847104.0,66286223360.0
3.129,0.063,96.809,0.0,0.0,0.0,0.0,0.0,1108688896.0,91000832.0,172847104.0,66286088192.0
3.129,0.094,96.777,0.0,0.0,0.0,0.0,0.0,1108688896.0,91000832.0,172847104.0,66286088192.0
3.129,0.094,96.777,0.0,0.0,0.0,0.0,0.0,1108688896.0,91000832.0,172847104.0,66286088192.0
3.159,0.094,96.747,0.0,0.0,0.0,0.0,0.0,1108561920.0,91000832.0,172847104.0,66286215168.0
3.130,0.063,96.808,0.0,0.0,0.0,0.0,0.0,1108561920.0,91000832.0,172847104.0,66286215168.0
3.160,0.063,96.777,0.0,0.0,0.0,0.0,0.0,1108553728.0,91000832.0,172847104.0,66286223360.0
3.128,0.125,96.747,0.0,0.0,0.0,0.0,0.0,1108553728.0,91000832.0,172847104.0,66286223360.0
3.129,0.094,96.777,0.0,0.0,0.0,0.0,0.0,1108553728.0,91000832.0,172847104.0,66286223360.0
3.129,0.125,96.746,0.0,0.0,0.0,0.0,0.0,1108553728.0,91000832.0,172847104.0,66286223360.0
3.159,0.094,96.747,0.0,0.0,0.0,0.0,0.0,1108434944.0,91000832.0,172847104.0,66286342144.0
3.132,0.031,96.837,0.0,0.0,0.0,0.0,0.0,1108434944.0,91000832.0,172847104.0,66286342144.0
3.132,0.063,96.806,0.0,0.0,0.0,0.0,0.0,1108434944.0,91000832.0,172847104.0,66286342144.0
3.128,0.031,96.841,0.0,0.0,0.0,0.0,0.0,1108434944.0,91000832.0,172847104.0,66286342144.0
3.133,0.031,96.836,0.0,0.0,0.0,0.0,0.0,1108377600.0,91000832.0,172847104.0,66286399488.0
3.133,0.063,96.805,0.0,0.0,0.0,0.0,0.0,1108377600.0,91000832.0,172847104.0,66286399488.0
3.159,0.094,96.747,0.0,0.0,0.0,0.0,0.0,1108369408.0,91000832.0,172847104.0,66286407680.0
3.129,0.031,96.840,0.0,0.0,0.0,0.0,0.0,1108377600.0,91000832.0,172847104.0,66286399488.0
3.134,0.031,96.835,0.0,0.0,0.0,0.0,0.0,1108377600.0,91000832.0,172847104.0,66286399488.0
3.132,0.063,96.806,0.0,0.0,0.0,0.0,0.0,1108496384.0,91000832.0,172847104.0,66286280704.0
3.162,0.063,96.775,0.0,0.0,0.0,0.0,0.0,1108504576.0,91000832.0,172847104.0,66286272512.0
3.130,0.063,96.808,0.0,0.0,0.0,0.0,12288.0,1108512768.0,91000832.0,172847104.0,66286264320.0
3.132,0.063,96.806,0.0,0.0,0.0,0.0,0.0,1108512768.0,91000832.0,172847104.0,66286264320.0
3.129,0.031,96.777,0.063,0.0,0.0,0.0,0.0,1108508672.0,91004928.0,172847104.0,66286264320.0
3.133,0.031,96.303,0.533,0.0,0.0,0.0,12288.0,1108500480.0,91009024.0,172851200.0,66286264320.0
3.158,0.125,96.717,0.0,0.0,0.0,0.0,0.0,1108500480.0,91009024.0,172851200.0,66286264320.0
3.162,0.063,96.775,0.0,0.0,0.0,0.0,0.0,1108500480.0,91009024.0,172851200.0,66286264320.0
3.131,0.063,96.807,0.0,0.0,0.0,0.0,0.0,1108357120.0,91009024.0,172851200.0,66286407680.0
3.133,0.031,96.836,0.0,0.0,0.0,0.0,0.0,1108357120.0,91009024.0,172851200.0,66286407680.0
3.129,0.094,96.777,0.0,0.0,0.0,0.0,0.0,1108357120.0,91009024.0,172851200.0,66286407680.0
3.134,0.031,96.835,0.0,0.0,0.0,0.0,0.0,1108365312.0,91009024.0,172851200.0,66286399488.0
3.129,0.031,96.840,0.0,0.0,0.0,0.0,0.0,1108365312.0,91009024.0,172851200.0,66286399488.0
3.162,0.063,96.775,0.0,0.0,0.0,0.0,0.0,1108365312.0,91009024.0,172851200.0,66286399488.0
3.133,0.031,96.836,0.0,0.0,0.0,0.0,0.0,1108365312.0,91009024.0,172851200.0,66286399488.0
