"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-641-9.local",,,,"User:","a57779"
"Cmdline:","dstat -cdm --output is.C.x.csv",,,,"Date:","25 Feb 2016 21:18:02 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
62.249,3.216,34.410,0.118,0.000,0.008,27107.093,1126015.975,916029440.0,92209152.0,176365568.0,66474020864.0
3.126,0.094,96.780,0.0,0.0,0.0,0.0,4096.0,933015552.0,92209152.0,176390144.0,66457010176.0
3.099,0.094,96.745,0.063,0.0,0.0,0.0,20480.0,949792768.0,92213248.0,176386048.0,66440232960.0
3.130,0.063,96.808,0.0,0.0,0.0,0.0,0.0,968691712.0,92213248.0,176390144.0,66421329920.0
3.130,0.094,96.776,0.0,0.0,0.0,0.0,0.0,985341952.0,92213248.0,176390144.0,66404679680.0
3.129,0.094,96.777,0.0,0.0,0.0,0.0,0.0,1002000384.0,92213248.0,176390144.0,66388021248.0
3.130,0.063,96.808,0.0,0.0,0.0,0.0,0.0,1018777600.0,92213248.0,176390144.0,66371244032.0
3.129,0.063,96.809,0.0,0.0,0.0,0.0,0.0,1037627392.0,92213248.0,176390144.0,66352394240.0
3.130,0.063,96.808,0.0,0.0,0.0,0.0,0.0,1054404608.0,92213248.0,176390144.0,66335617024.0
3.128,0.094,96.778,0.0,0.0,0.0,0.0,0.0,1071161344.0,92213248.0,176390144.0,66318860288.0
3.098,0.094,96.809,0.0,0.0,0.0,0.0,0.0,1087930368.0,92213248.0,176390144.0,66302091264.0
3.130,0.063,96.808,0.0,0.0,0.0,0.0,0.0,1106796544.0,92213248.0,176390144.0,66283225088.0
3.129,0.063,96.809,0.0,0.0,0.0,0.0,0.0,1123573760.0,92213248.0,176390144.0,66266447872.0
3.129,0.094,96.777,0.0,0.0,0.0,0.0,0.0,1140350976.0,92213248.0,176390144.0,66249670656.0
3.128,0.094,96.778,0.0,0.0,0.0,0.0,0.0,1159352320.0,92213248.0,176390144.0,66230669312.0
3.130,0.031,96.839,0.0,0.0,0.0,0.0,0.0,1176137728.0,92213248.0,176390144.0,66213883904.0
3.130,0.156,96.714,0.0,0.0,0.0,0.0,0.0,1194708992.0,92213248.0,176390144.0,66195312640.0
3.130,0.094,96.776,0.0,0.0,0.0,0.0,0.0,1211740160.0,92213248.0,176390144.0,66178281472.0
3.099,0.063,96.839,0.0,0.0,0.0,0.0,0.0,1230606336.0,92213248.0,176390144.0,66159415296.0
3.160,0.063,96.777,0.0,0.0,0.0,0.0,0.0,1247252480.0,92213248.0,176390144.0,66142769152.0
3.129,0.063,96.777,0.0,0.0,0.031,0.0,0.0,1264029696.0,92213248.0,176390144.0,66125991936.0
3.098,0.094,96.809,0.0,0.0,0.0,0.0,0.0,1280806912.0,92213248.0,176390144.0,66109214720.0
3.098,0.156,96.746,0.0,0.0,0.0,0.0,0.0,1299464192.0,92213248.0,176390144.0,66090557440.0
3.128,0.094,96.778,0.0,0.0,0.0,0.0,0.0,1315852288.0,92213248.0,176390144.0,66074169344.0
3.099,0.094,96.808,0.0,0.0,0.0,0.0,0.0,1332613120.0,92213248.0,176390144.0,66057408512.0
3.129,0.094,96.777,0.0,0.0,0.0,0.0,0.0,1349279744.0,92213248.0,176390144.0,66040741888.0
3.097,0.125,96.778,0.0,0.0,0.0,0.0,0.0,1368248320.0,92213248.0,176390144.0,66021773312.0
3.098,0.094,96.809,0.0,0.0,0.0,0.0,0.0,1384968192.0,92213248.0,176390144.0,66005053440.0
