"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-641-12.local",,,,"User:","a57779"
"Cmdline:","dstat -cdm --output cg.C.x.csv",,,,"Date:","26 Feb 2016 00:39:11 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
50.140,7.763,42.025,0.066,0.000,0.006,268.058,18467.937,889110528.0,90632192.0,90705920.0,66588176384.0
2.781,0.406,96.812,0.0,0.0,0.0,0.0,0.0,1371193344.0,90632192.0,90800128.0,66105999360.0
3.158,0.063,96.779,0.0,0.0,0.0,0.0,0.0,1371193344.0,90632192.0,90800128.0,66105999360.0
3.130,0.031,96.839,0.0,0.0,0.0,0.0,0.0,1371566080.0,90632192.0,90800128.0,66105626624.0
3.129,0.031,96.840,0.0,0.0,0.0,0.0,0.0,1371516928.0,90632192.0,90800128.0,66105675776.0
3.159,0.063,96.778,0.0,0.0,0.0,0.0,0.0,1371508736.0,90632192.0,90800128.0,66105683968.0
3.128,0.031,96.215,0.626,0.0,0.0,0.0,16384.0,1371508736.0,90636288.0,90796032.0,66105683968.0
3.130,0.063,96.808,0.0,0.0,0.0,0.0,0.0,1371504640.0,90636288.0,90800128.0,66105683968.0
3.128,0.063,96.810,0.0,0.0,0.0,0.0,0.0,1371480064.0,90636288.0,90800128.0,66105708544.0
3.158,0.063,96.779,0.0,0.0,0.0,0.0,8192.0,1371369472.0,90636288.0,90800128.0,66105819136.0
3.129,0.031,96.840,0.0,0.0,0.0,0.0,0.0,1371369472.0,90636288.0,90800128.0,66105819136.0
3.129,0.063,96.809,0.0,0.0,0.0,0.0,0.0,1371361280.0,90636288.0,90800128.0,66105827328.0
3.160,0.031,96.809,0.0,0.0,0.0,0.0,0.0,1371234304.0,90636288.0,90800128.0,66105954304.0
3.130,0.031,96.839,0.0,0.0,0.0,0.0,0.0,1376444416.0,90636288.0,90800128.0,66100744192.0
3.129,0.063,96.809,0.0,0.0,0.0,0.0,0.0,1376444416.0,90636288.0,90800128.0,66100744192.0
3.129,0.031,96.840,0.0,0.0,0.0,0.0,0.0,1376444416.0,90636288.0,90800128.0,66100744192.0
3.129,0.063,96.809,0.0,0.0,0.0,0.0,0.0,1376436224.0,90636288.0,90800128.0,66100752384.0
