"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-641-12.local",,,,"User:","a57779"
"Cmdline:","dstat -cdm --output ep.A.x.csv",,,,"Date:","26 Feb 2016 01:05:15 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
50.128,7.761,42.039,0.066,0.000,0.006,267.989,18463.433,881070080.0,90791936.0,91594752.0,66595168256.0
3.155,0.062,96.782,0.0,0.0,0.0,0.0,0.0,881336320.0,90791936.0,91598848.0,66594897920.0
3.128,0.063,96.810,0.0,0.0,0.0,0.0,0.0,881434624.0,90791936.0,91627520.0,66594770944.0
3.158,0.031,96.811,0.0,0.0,0.0,0.0,0.0,881434624.0,90791936.0,91627520.0,66594770944.0
3.128,0.063,96.810,0.0,0.0,0.0,0.0,0.0,881426432.0,90791936.0,91627520.0,66594779136.0
3.132,0.063,96.806,0.0,0.0,0.0,0.0,0.0,881426432.0,90791936.0,91627520.0,66594779136.0
3.161,0.063,96.182,0.595,0.0,0.0,0.0,16384.0,881364992.0,90791936.0,91627520.0,66594840576.0
3.128,0.063,96.810,0.0,0.0,0.0,0.0,0.0,880984064.0,90791936.0,91627520.0,66595221504.0
3.132,0.063,96.806,0.0,0.0,0.0,0.0,0.0,880975872.0,90791936.0,91627520.0,66595229696.0


"Host:","compute-641-12.local",,,,"User:","a57779"
"Cmdline:","dstat -cdm --output ep.A.x.csv",,,,"Date:","26 Feb 2016 01:05:25 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
50.128,7.761,42.039,0.066,0.000,0.006,267.989,18463.406,879140864.0,90791936.0,91627520.0,66597064704.0
3.126,0.094,96.780,0.0,0.0,0.0,0.0,0.0,879513600.0,90791936.0,91627520.0,66596691968.0
3.131,0.063,96.807,0.0,0.0,0.0,0.0,0.0,879267840.0,90791936.0,91627520.0,66596937728.0
3.129,0.094,96.777,0.0,0.0,0.0,0.0,0.0,879411200.0,90791936.0,91627520.0,66596794368.0
3.129,0.094,96.777,0.0,0.0,0.0,0.0,0.0,879411200.0,90791936.0,91627520.0,66596794368.0
3.160,0.063,96.777,0.0,0.0,0.0,0.0,0.0,879411200.0,90791936.0,91627520.0,66596794368.0
3.129,0.063,96.214,0.594,0.0,0.0,0.0,16384.0,879165440.0,90791936.0,91627520.0,66597040128.0
3.131,0.063,96.807,0.0,0.0,0.0,0.0,0.0,879165440.0,90791936.0,91627520.0,66597040128.0
3.130,0.063,96.808,0.0,0.0,0.0,0.0,0.0,878911488.0,90791936.0,91627520.0,66597294080.0


"Host:","compute-641-12.local",,,,"User:","a57779"
"Cmdline:","dstat -cdm --output ep.A.x.csv",,,,"Date:","26 Feb 2016 01:05:36 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
50.128,7.761,42.039,0.066,0.000,0.006,267.988,18463.376,879005696.0,90791936.0,91627520.0,66597199872.0
3.129,0.063,96.809,0.0,0.0,0.0,0.0,0.0,879030272.0,90791936.0,91627520.0,66597175296.0
3.129,0.063,96.809,0.0,0.0,0.0,0.0,0.0,879157248.0,90791936.0,91627520.0,66597048320.0
3.130,0.031,96.839,0.0,0.0,0.0,0.0,0.0,879157248.0,90791936.0,91627520.0,66597048320.0
3.130,0.094,96.776,0.0,0.0,0.0,0.0,0.0,879030272.0,90791936.0,91627520.0,66597175296.0
3.161,0.094,96.745,0.0,0.0,0.0,0.0,0.0,878964736.0,90791936.0,91627520.0,66597240832.0
3.131,0.063,96.212,0.595,0.0,0.0,0.0,16384.0,878956544.0,90791936.0,91627520.0,66597249024.0
3.131,0.094,96.775,0.0,0.0,0.0,0.0,0.0,878829568.0,90791936.0,91627520.0,66597376000.0
3.131,0.063,96.807,0.0,0.0,0.0,0.0,0.0,878698496.0,90791936.0,91627520.0,66597507072.0


"Host:","compute-641-12.local",,,,"User:","a57779"
"Cmdline:","dstat -cdm --output ep.A.x.csv",,,,"Date:","26 Feb 2016 01:05:47 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
50.128,7.761,42.040,0.066,0.000,0.006,267.988,18463.347,878358528.0,90791936.0,91627520.0,66597847040.0
3.127,0.063,96.811,0.0,0.0,0.0,0.0,0.0,878612480.0,90791936.0,91627520.0,66597593088.0
3.160,0.063,96.777,0.0,0.0,0.0,0.0,0.0,878358528.0,90791936.0,91627520.0,66597847040.0
3.131,0.063,96.212,0.595,0.0,0.0,0.0,20480.0,878358528.0,90791936.0,91627520.0,66597847040.0
3.129,0.063,96.809,0.0,0.0,0.0,0.0,0.0,878239744.0,90791936.0,91627520.0,66597965824.0
3.132,0.063,96.806,0.0,0.0,0.0,0.0,0.0,878239744.0,90791936.0,91627520.0,66597965824.0
3.159,0.063,96.778,0.0,0.0,0.0,0.0,0.0,878157824.0,90791936.0,91631616.0,66598043648.0
3.132,0.063,96.806,0.0,0.0,0.0,0.0,0.0,877920256.0,90791936.0,91631616.0,66598281216.0
3.132,0.063,96.806,0.0,0.0,0.0,0.0,0.0,877903872.0,90791936.0,91631616.0,66598297600.0


"Host:","compute-641-12.local",,,,"User:","a57779"
"Cmdline:","dstat -cdm --output ep.A.x.csv",,,,"Date:","26 Feb 2016 01:05:57 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
50.128,7.761,42.040,0.066,0.000,0.006,267.988,18463.319,880648192.0,90791936.0,91635712.0,66595549184.0
3.157,0.031,96.812,0.0,0.0,0.0,0.0,0.0,880656384.0,90791936.0,91635712.0,66595540992.0
3.132,0.063,96.806,0.0,0.0,0.0,0.0,0.0,880410624.0,90791936.0,91635712.0,66595786752.0
3.131,0.094,96.775,0.0,0.0,0.0,0.0,0.0,880402432.0,90791936.0,91635712.0,66595794944.0
3.162,0.094,96.744,0.0,0.0,0.0,0.0,0.0,880275456.0,90791936.0,91635712.0,66595921920.0
3.130,0.063,96.808,0.0,0.0,0.0,0.0,0.0,880148480.0,90791936.0,91635712.0,66596048896.0
3.131,0.063,96.212,0.595,0.0,0.0,0.0,16384.0,880148480.0,90791936.0,91635712.0,66596048896.0
3.129,0.094,96.777,0.0,0.0,0.0,0.0,0.0,880021504.0,90791936.0,91635712.0,66596175872.0
3.130,0.094,96.776,0.0,0.0,0.0,0.0,8192.0,877928448.0,90791936.0,91635712.0,66598268928.0
