"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-431-9.local",,,,"User:","a57779"
"Cmdline:","dstat -cdm --output cg.B.x.csv",,,,"Date:","24 Feb 2016 23:16:48 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
24.165,1.760,74.044,0.028,0.000,0.003,11508.080,496251.837,1004654592.0,368648192.0,8407060480.0,40960630784.0
4.045,0.125,95.830,0.0,0.0,0.0,0.0,0.0,1187545088.0,368648192.0,8407064576.0,40777736192.0
4.210,0.042,95.748,0.0,0.0,0.0,0.0,0.0,1187536896.0,368648192.0,8407064576.0,40777744384.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1187528704.0,368648192.0,8407064576.0,40777752576.0
4.174,0.0,95.659,0.167,0.0,0.0,0.0,16384.0,1187528704.0,368648192.0,8407064576.0,40777752576.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1187151872.0,368648192.0,8407064576.0,40778129408.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,1187143680.0,368648192.0,8407064576.0,40778137600.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1187143680.0,368648192.0,8407064576.0,40778137600.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1186832384.0,368648192.0,8407064576.0,40778448896.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,1186832384.0,368648192.0,8407064576.0,40778448896.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1186832384.0,368648192.0,8407064576.0,40778448896.0
4.212,0.042,95.746,0.0,0.0,0.0,0.0,0.0,1186578432.0,368648192.0,8407064576.0,40778702848.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,1186430976.0,368648192.0,8407064576.0,40778850304.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1186353152.0,368648192.0,8407064576.0,40778928128.0
4.172,0.0,95.786,0.0,0.0,0.042,0.0,28672.0,1188511744.0,368648192.0,8407064576.0,40776769536.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1188511744.0,368648192.0,8407064576.0,40776769536.0
4.175,0.0,95.825,0.0,0.0,0.0,0.0,0.0,1188511744.0,368648192.0,8407064576.0,40776769536.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1188257792.0,368648192.0,8407064576.0,40777023488.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,1188257792.0,368648192.0,8407064576.0,40777023488.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1188257792.0,368648192.0,8407064576.0,40777023488.0
4.215,0.0,95.785,0.0,0.0,0.0,0.0,0.0,1188257792.0,368648192.0,8407064576.0,40777023488.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1188257792.0,368648192.0,8407064576.0,40777023488.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,1188257792.0,368648192.0,8407064576.0,40777023488.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1188003840.0,368648192.0,8407064576.0,40777277440.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1188003840.0,368648192.0,8407064576.0,40777277440.0
